MAKING	make	MAKING
CHRISTMAS	christma	CHRISTMAS
GREAT	great	GREAT
AGAIN	again	AGAIN
!	!	!

First	first	First
Lady	ladi	Lady
Melania	melania	Melania
Trump	trump	Trump
and	and	and
Barron	barron	Barron
Trump	trump	Trump
received	receiv	received
the	the	the
official	offici	official
2017	2017	2017
White	white	White
House	hous	House
Christmas	christma	Christmas
Tree	tree	Tree
today	today	today
.	.	.

It	it	It
s	s	s
a	a	a
19	19	19
-and-a-half-foot	-and-a-half-foot	-and-a-half-foot
Balsam	balsam	Balsam
fir	fir	fir
from	from	from
Wisconsin	wisconsin	Wisconsin
that	that	that
was	was	wa
picked	pick	picked
out	out	out
in	in	in
September	septemb	September
The	the	The
National	nation	National
Christmas	christma	Christmas
Tree	tree	Tree
Association	associ	Association
and	and	and
White	white	White
House	hous	House
officials	offici	official
decide	decid	decide
on	on	on
the	the	the
tree	tree	tree
in	in	in
a	a	a
contest	contest	contest
held	held	held
every	everi	every
year	year	year
CHAPMAN	chapman	CHAPMAN
FAMILY	famili	FAMILY
WINS	win	WINS
!	!	!
Silent	silent	Silent
Night	night	Night
Evergreens	evergreen	Evergreens
,	,	,
owned	own	owned
by	by	by
the	the	the
Chapman	chapman	Chapman
family	famili	family
,	,	,
last	last	last
provided	provid	provided
the	the	the
official	offici	official
White	white	White
House	hous	House
Christmas	christma	Christmas
tree	tree	tree
in	in	in
1998	1998	1998
and	and	and
2003	2003	2003
,	,	,
according	accord	according
to	to	to
the	the	the
National	nation	National
Christmas	christma	Christmas
Tree	tree	Tree
Association	associ	Association
.	.	.
The	the	The
Chapman	chapman	Chapman
family	famili	family
got	got	got
to	to	to
present	present	present
the	the	the
tree	tree	tree
at	at	at
the	the	the
White	white	White
House	hous	House
and	and	and
meet	meet	meet
First	first	First
Lady	ladi	Lady
Melania	melania	Melania
Trump	trump	Trump
and	and	and
Barron	barron	Barron
Trump	trump	Trump
.	.	.
After	after	After
the	the	the
first	first	first
lady	ladi	lady
and	and	and
son	son	son
Barron	barron	Barron
gave	gave	gave
their	their	their
symbolic	symbol	symbolic
approval	approv	approval
,	,	,
the	the	the
tree	tree	tree
will	will	will
be	be	be
set	set	set
up	up	up
and	and	and
decorated	decor	decorated
in	in	in
the	the	the
Blue	blue	Blue
Room	room	Room
of	of	of
the	the	the
White	white	White
House	hous	House
.	.	.
THE	the	THE
FIRST	first	FIRST
LADY	ladi	LADY
WROTE	wrote	WROTE
ON	on	ON
TWITTER	twitter	TWITTER
Thank	thank	Thank
you	you	you
Silent	silent	Silent
Night	night	Night
Evergreens	evergreen	Evergreens
in	in	in
Wisconsin	wisconsin	Wisconsin
for	for	for
our	our	our
beautiful	beauti	beautiful
tree	tree	tree
!	!	!

POTUS	potus	POTUS
,	,	,
Barron	barron	Barron
I	i	I
are	are	are
excited	excit	excited
for	for	for
Christmas	christma	Christmas
in	in	in
our	our	our
new	new	new
home	home	home
!	!	!

Thank	thank	Thank
you	you	you
Silent	silent	Silent
Night	night	Night
Evergreens	evergreen	Evergreens
in	in	in
Wisconsin	wisconsin	Wisconsin
for	for	for
our	our	our
beautiful	beauti	beautiful
tree	tree	tree
!	!	!

@POTUS	@potus	@POTUS
,	,	,
Barron	barron	Barron
I	i	I
are	are	are
excited	excit	excited
for	for	for
Christmas	christma	Christmas
in	in	in
our	our	our
new	new	new
home	home	home
!	!	!

pic.twitter.com/so6HVG1st8	pic.twitter.com/so6hvg1st8	pic.twitter.com/so6HVG1st8
Melania	melania	Melania
Trump	trump	Trump
@FLOTUS	@flotus	@FLOTUS
November	novemb	November
21	21	21
,	,	,
2017	2017	2017

