Yes	yes	Yes
,	,	,
the	the	the
EPA	epa	EPA
has	has	ha
a	a	a
PR	pr	PR
department	depart	department
BUT	but	BUT
they	they	they
spent	spent	spent
over	over	over
15	15	15
million	million	million
on	on	on
outside	outsid	outside
public	public	public
relations	relat	relation
consultants	consult	consultant
!	!	!
I	i	I
guess	guess	guess
it	it	it
takes	take	take
millions	million	million
upon	upon	upon
millions	million	million
to	to	to
brainwash	brainwash	brainwash
the	the	the
American	american	American
people	peopl	people
into	into	into
thinking	think	thinking
the	the	the
EPA	epa	EPA
is	is	is
even	even	even
necessary	necessari	necessary
.	.	.
The	the	The
overregulation	overregul	overregulation
and	and	and
overspending	overspend	overspending
is	is	is
legendary	legendari	legendary
and	and	and
needs	need	need
to	to	to
stop	stop	stop
!	!	!
A	a	A
Democrat	democrat	Democrat
has	has	ha
even	even	even
jumped	jump	jumped
into	into	into
a	a	a
federal	feder	federal
lawsuit	lawsuit	lawsuit
against	against	against
overregulation	overregul	overregulation
by	by	by
the	the	the
EPA	epa	EPA
Missouri	missouri	Missouri
s	s	s
Democratic	democrat	Democratic
attorney	attorney	attorney
general	general	general
announced	announc	announced
on	on	on
Friday	friday	Friday
that	that	that
his	his	his
state	state	state
will	will	will
join	join	join
a	a	a
federal	feder	federal
lawsuit	lawsuit	lawsuit
seeking	seek	seeking
to	to	to
block	block	block
the	the	the
implementation	implement	implementation
of	of	of
controversial	controversi	controversial
new	new	new
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
regulations	regul	regulation
.	.	.
DEFUND	defund	DEFUND
THE	the	THE
EPA	epa	EPA
!	!	!
The	the	The
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
EPA	epa	EPA
spent	spent	spent
over	over	over
15	15	15
million	million	million
on	on	on
outside	outsid	outside
public	public	public
relations	relat	relation
consultants	consult	consultant
despite	despit	despite
employing	employ	employing
nearly	near	nearly
200	200	200
full	full	full
-time	-time	-time
in	in	in
house	hous	house
PR	pr	PR
workers	worker	worker
.	.	.
A	a	A
new	new	new
report	report	report
on	on	on
EPA	epa	EPA
spending	spend	spending
released	releas	released
by	by	by
Open	open	Open
the	the	the
Books	book	Books
,	,	,
a	a	a
nonprofit	nonprofit	nonprofit
organization	organ	organization
dedicated	dedic	dedicated
to	to	to
transparency	transpar	transparency
,	,	,
found	found	found
numerous	numer	numerous
examples	exampl	example
of	of	of
questionable	question	questionable
expenditures	expenditur	expenditure
within	within	within
the	the	the
agency	agenc	agency
.	.	.
Among	among	Among
them	them	them
,	,	,
the	the	the
EPA	epa	EPA
spent	spent	spent
over	over	over
15	15	15
.	.	.
1	1	1
million	million	million
on	on	on
outside	outsid	outside
public	public	public
relations	relat	relation
consultants	consult	consultant
between	between	between
2000	2000	2000
and	and	and
2014	2014	2014
.	.	.
The	the	The
funding	fund	funding
was	was	wa
on	on	on
top	top	top
of	of	of
the	the	the
141	141	141
.	.	.
496	496	496
million	million	million
in	in	in
salaries	salari	salary
and	and	and
1	1	1
.	.	.
5	5	5
million	million	million
in	in	in
bonuses	bonus	bonus
on	on	on
full	full	full
-time	-time	-time
public	public	public
affairs	affair	affair
officers	offic	officer
the	the	the
EPA	epa	EPA
has	has	ha
spent	spent	spent
since	sinc	since
2007	2007	2007
.	.	.
As	as	As
of	of	of
2012	2012	2012
,	,	,
the	the	the
EPA	epa	EPA
employed	employ	employed
198	198	198
public	public	public
affairs	affair	affair
employees	employe	employee
.	.	.
The	the	The
average	averag	average
EPA	epa	EPA
employee	employe	employee
salary	salari	salary
is	is	is
111	111	111
,	,	,
165	165	165
.	.	.
Everyone	everyon	Everyone
is	is	is
under	under	under
the	the	the
impression	impress	impression
that	that	that
the	the	the
EPA	epa	EPA
is	is	is
spending	spend	spending
money	money	money
to	to	to
clean	clean	clean
the	the	the
environment	environ	environment
.	.	.
But	but	But
,	,	,
it	it	it
turns	turn	turn
out	out	out
EPA	epa	EPA
is	is	is
running	run	running
a	a	a
160	160	160
million	million	million
PR	pr	PR
Machine	machin	Machine
,	,	,
715	715	715
million	million	million
police	polic	police
agency	agenc	agency
,	,	,
a	a	a
near	near	near
1	1	1
billion	billion	billion
employment	employ	employment
agency	agenc	agency
for	for	for
seniors	senior	senior
,	,	,
and	and	and
a	a	a
1	1	1
.	.	.
2	2	2
billion	billion	billion
in	in	in
-house	-hous	-house
law	law	law
firm	firm	firm
,	,	,
said	said	said
Adam	adam	Adam
Andrzejewski	andrzejewski	Andrzejewski
,	,	,
the	the	the
founder	founder	founder
of	of	of
Open	open	Open
the	the	the
Books	book	Books
.	.	.
The	the	The
EPA	epa	EPA
wasting	wast	wasting
160	160	160
million	million	million
on	on	on
public	public	public
relations	relat	relation
dwarfs	dwarf	dwarf
our	our	our
recent	recent	recent
exposure	exposur	exposure
of	of	of
their	their	their
high	high	high
-end	-end	-end
furniture	furnitur	furniture
purchases	purchas	purchase
92	92	92
million	million	million
,	,	,
he	he	he
said	said	said
.	.	.
Nothing	noth	Nothing
is	is	is
emblematic	emblemat	emblematic
of	of	of
government	govern	government
excess	excess	excess
like	like	like
an	an	an
army	armi	army
of	of	of
highly	high	highly
compensated	compens	compensated
PR	pr	PR
agents	agent	agent
sitting	sit	sitting
in	in	in
their	their	their
easy	easi	easy
chairs	chair	chair
.	.	.
It	it	It
s	s	s
simply	simpli	simply
waste	wast	waste
.	.	.
Open	open	Open
the	the	the
Books	book	Books
also	also	also
found	found	found
the	the	the
EPA	epa	EPA
spent	spent	spent
261	261	261
,	,	,
456	456	456
on	on	on
badges	badg	badge
and	and	and
insignia	insignia	insignia
,	,	,
millions	million	million
on	on	on
gym	gym	gym
equipment	equip	equipment
,	,	,
and	and	and
17	17	17
,	,	,
820	820	820
on	on	on
Games	game	Games
,	,	,
Toys	toy	Toys
and	and	and
Wheeled	wheel	Wheeled
Goods	good	Goods
.	.	.
The	the	The
agency	agenc	agency
spent	spent	spent
23	23	23
,	,	,
884	884	884
for	for	for
awards	award	award
and	and	and
trophies	trophi	trophy
for	for	for
the	the	the
EPA	epa	EPA
Office	offic	Office
of	of	of
Research	research	Research
and	and	and
Development	develop	Development
ORD	ord	ORD
ceremony	ceremoni	ceremony
in	in	in
2012	2012	2012
and	and	and
2013	2013	2013
.	.	.
The	the	The
EPA	epa	EPA
culture	cultur	culture
of	of	of
wasteful	wast	wasteful
spending	spend	spending
extended	extend	extended
into	into	into
their	their	their
own	own	own
award	award	award
ceremonies	ceremoni	ceremony
,	,	,
said	said	said
Andrzejewski	andrzejewski	Andrzejewski
.	.	.
Tagging	tag	Tagging
the	the	the
awards	award	award
as	as	a
athletic	athlet	athletic
and	and	and
sporting	sport	sporting
equipment	equip	equipment
in	in	in
their	their	their
checkbook	checkbook	checkbook
,	,	,
they	they	they
spent	spent	spent
hundreds	hundr	hundred
of	of	of
thousands	thousand	thousand
of	of	of
dollars	dollar	dollar
to	to	to
pat	pat	pat
themselves	themselv	themselves
on	on	on
their	their	their
own	own	own
backs	back	back
.	.	.
Andrzejewski	andrzejewski	Andrzejewski
noted	note	noted
that	that	that
the	the	the
EPA	epa	EPA
also	also	also
has	has	ha
given	given	given
144	144	144
million	million	million
in	in	in
performance	perform	performance
bonuses	bonus	bonus
since	sinc	since
2007	2007	2007
.	.	.
It	it	It
s	s	s
an	an	an
imbedded	imbed	imbedded
culture	cultur	culture
that	that	that
gave	gave	gave
4	4	4
million	million	million
in	in	in
additional	addit	additional
awards	award	award
,	,	,
badges	badg	badge
,	,	,
and	and	and
trophies	trophi	trophy
to	to	to
themselves	themselv	themselves
paid	paid	paid
for	for	for
at	at	at
taxpayer	taxpay	taxpayer
expense	expens	expense
,	,	,
he	he	he
said	said	said
.	.	.
Read	read	Read
more	more	more
WFB	wfb	WFB
