It	it	It
s	s	s
getting	get	getting
to	to	to
the	the	the
point	point	point
that	that	that
as	as	a
frightening	frighten	frightening
as	as	a
the	the	the
premise	premis	premise
is	is	is
of	of	of
a	a	a
Donald	donald	Donald
Trump	trump	Trump
presidency	presid	presidency
is	is	is
,	,	,
the	the	the
movement	movement	movement
he	he	he
has	has	ha
created	creat	created
has	has	ha
a	a	a
life	life	life
of	of	of
its	it	it
own	own	own
and	and	and
it	it	it
s	s	s
beyond	beyond	beyond
frightening	frighten	frightening
.	.	.

Many	mani	Many
are	are	are
armed	arm	armed
,	,	,
dangerous	danger	dangerous
and	and	and
itching	itch	itching
for	for	for
a	a	a
Civil	civil	Civil
War	war	War
,	,	,
no	no	no
matter	matter	matter
how	how	how
the	the	the
election	elect	election
turns	turn	turn
out	out	out
.	.	.
One	one	One
such	such	such
supporter	support	supporter
attended	attend	attended
a	a	a
rally	ralli	rally
of	of	of
Trump	trump	Trump
s	s	s
running	run	running
mate	mate	mate
,	,	,
Mike	mike	Mike
Pence	penc	Pence
,	,	,
on	on	on
Tuesday	tuesday	Tuesday
in	in	in
Albuquerque	albuquerqu	Albuquerque
,	,	,
N	n	N
.	.	.
M	m	M
.	.	.
The	the	The
woman	woman	woman
,	,	,
who	who	who
is	is	is
identified	identifi	identified
only	onli	only
as	as	a
Brenda	brenda	Brenda
,	,	,
really	realli	really
,	,	,
really	realli	really
wants	want	want
Trump	trump	Trump
to	to	to
win	win	win
and	and	and
if	if	if
he	he	he
doesn	doesn	doesn
t	t	t
,	,	,
she	she	she
says	say	say
there	there	there
will	will	will
be	be	be
Second	second	Second
Amendment	amend	Amendment
remedies	remedi	remedy
.	.	.

There	there	There
will	will	will
also	also	also
be	be	be
Second	second	Second
Amendment	amend	Amendment
remedies	remedi	remedy
if	if	if
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
win	win	win
,	,	,
because	becaus	because
apparently	appar	apparently
Obama	obama	Obama
will	will	will
declare	declar	declare
martial	martial	martial
law	law	law
.	.	.

If	if	If
Hillary	hillari	Hillary
Clinton	clinton	Clinton
wins	win	win
the	the	the
election	elect	election
and	and	and
she	she	she
s	s	s
on	on	on
that	that	that
Second	second	Second
Amendment	amend	Amendment
,	,	,
taking	take	taking
your	your	your
guns	gun	gun
away	away	away
,	,	,
there	there	there
is	is	is
going	go	going
to	to	to
be	be	be
a	a	a
civil	civil	civil
war	war	war
in	in	in
this	this	this
state	state	state
or	or	or
elsewhere	elsewher	elsewhere
in	in	in
the	the	the
country	countri	country
,	,	,
the	the	the
woman	woman	woman
who	who	who
identified	identifi	identified
herself	herself	herself
as	as	a
Brenda	brenda	Brenda
predicted	predict	predicted
,	,	,
to	to	to
some	some	some
applause	applaus	applause
in	in	in
Albuquerque	albuquerqu	Albuquerque
,	,	,
N	n	N
.	.	.
M	m	M
.	.	.
But	but	But
,	,	,
if	if	if
President	presid	President
Trump	trump	Trump
would	would	would
win	win	win
,	,	,
the	the	the
woman	woman	woman
continued	continu	continued
,	,	,
to	to	to
hollers	holler	holler
from	from	from
the	the	the
crowd	crowd	crowd
,	,	,
there	there	there
s	s	s
also	also	also
going	go	going
to	to	to
be	be	be
a	a	a
war	war	war
,	,	,
because	becaus	because
Obama	obama	Obama
is	is	is
going	go	going
to	to	to
pull	pull	pull
that	that	that
martial	martial	martial
law	law	law
on	on	on
the	the	the
United	unit	United
States	state	States
.	.	.

Source	sourc	Source
The	the	The
HillPence	hillpenc	HillPence
tried	tri	tried
to	to	to
reassure	reassur	reassure
Brenda	brenda	Brenda
that	that	that
Clinton	clinton	Clinton
won	won	won
t	t	t
win	win	win
,	,	,
but	but	but
he	he	he
did	did	did
nothing	noth	nothing
to	to	to
tamp	tamp	tamp
down	down	down
the	the	the
threat	threat	threat
of	of	of
violence	violenc	violence
,	,	,
and	and	and
why	whi	why
would	would	would
he	he	he
?	?	?

That	that	That
would	would	would
be	be	be
off	off	off
message	messag	message
.	.	.

Trump	trump	Trump
might	might	might
not	not	not
be	be	be
overtly	overt	overtly
calling	call	calling
for	for	for
violence	violenc	violence
,	,	,
but	but	but
when	when	when
he	he	he
suggests	suggest	suggests
that	that	that
Second	second	Second
Amendment	amend	Amendment
people	peopl	people
can	can	can
do	do	do
something	someth	something
about	about	about
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
well	well	well
,	,	,
all	all	all
it	it	it
takes	take	take
is	is	is
one	one	one
wrong	wrong	wrong
person	person	person
to	to	to
read	read	read
into	into	into
that	that	that
message	messag	message
.	.	.
Trump	trump	Trump
s	s	s
other	other	other
message	messag	message
is	is	is
more	more	more
subtle	subtl	subtle
,	,	,
but	but	but
possibly	possibl	possibly
even	even	even
more	more	more
dangerous	danger	dangerous
.	.	.

At	at	At
this	this	this
point	point	point
,	,	,
Trump	trump	Trump
pretty	pretti	pretty
much	much	much
knows	know	know
he	he	he
s	s	s
about	about	about
to	to	to
lose	lose	lose
the	the	the
election	elect	election
and	and	and
he	he	he
s	s	s
setting	set	setting
himself	himself	himself
up	up	up
with	with	with
a	a	a
basket	basket	basket
of	of	of
excuses	excus	excuse
none	none	none
of	of	of
which	which	which
blame	blame	blame
him	him	him
or	or	or
his	his	his
campaign	campaign	campaign
.	.	.

Trump	trump	Trump
s	s	s
portrayal	portray	portrayal
of	of	of
all	all	all
his	his	his
detractors	detractor	detractor
,	,	,
including	includ	including
Clinton	clinton	Clinton
voters	voter	voter
,	,	,
is	is	is
that	that	that
they	they	they
are	are	are
cheating	cheat	cheating
.	.	.

He	he	He
told	told	told
a	a	a
crowd	crowd	crowd
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
that	that	that
the	the	the
only	onli	only
way	way	way
he	he	he
could	could	could
lose	lose	lose
there	there	there
is	is	is
if	if	if
there	there	there
s	s	s
cheating	cheat	cheating
.	.	.

Trump	trump	Trump
is	is	is
currently	current	currently
losing	lose	losing
Pennsylvania	pennsylvania	Pennsylvania
by	by	by
seven	seven	seven
points	point	point
.	.	.
Facts	fact	Facts
don	don	don
t	t	t
matter	matter	matter
to	to	to
Trump	trump	Trump
voters	voter	voter
.	.	.

They	they	They
are	are	are
convinced	convinc	convinced
that	that	that
Trump	trump	Trump
is	is	is
some	some	some
sort	sort	sort
of	of	of
messiah	messiah	messiah
and	and	and
that	that	that
if	if	if
people	peopl	people
don	don	don
t	t	t
get	get	get
that	that	that
,	,	,
they	they	they
deserve	deserv	deserve
to	to	to
be	be	be
punished	punish	punished
.	.	.

If	if	If
the	the	the
nation	nation	nation
doesn	doesn	doesn
t	t	t
vote	vote	vote
for	for	for
Trump	trump	Trump
,	,	,
you	you	you
can	can	can
guarantee	guarante	guarantee
that	that	that
at	at	at
least	least	least
some	some	some
of	of	of
his	his	his
armed	arm	armed
followers	follow	follower
will	will	will
cry	cri	cry
foul	foul	foul
.	.	.

Whether	whether	Whether
Trump	trump	Trump
wins	win	win
or	or	or
loses	lose	loses
,	,	,
it	it	it
won	won	won
t	t	t
be	be	be
pretty	pretti	pretty
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Spencer	spencer	Spencer
Platt	platt	Platt
at	at	at
Getty	getti	Getty
Images	imag	Images
.	.	.

