According	accord	According
to	to	to
the	the	the
right	right	right
-wing	-wing	-wing
pastor	pastor	pastor
,	,	,
Mark	mark	Mark
Burns	burn	Burns
,	,	,
Democratic	democrat	Democratic
primary	primari	primary
candidate	candid	candidate
Bernie	berni	Bernie
Sanders	sander	Sanders
,	,	,
does	doe	doe
not	not	not
believe	believ	believe
in	in	in
god	god	god
.	.	.

That	that	That
s	s	s
what	what	what
Burns	burn	Burns
told	told	told
an	an	an
audience	audienc	audience
of	of	of
Trump	trump	Trump
supporters	support	supporter
Thursday	thursday	Thursday
in	in	in
Hickory	hickori	Hickory
,	,	,
North	north	North
Carolina	carolina	Carolina
during	dure	during
a	a	a
Donald	donald	Donald
Trump	trump	Trump
campaign	campaign	campaign
event	event	event
.	.	.

Sanders	sander	Sanders
is	is	is
a	a	a
Jewish	jewish	Jewish
man	man	man
who	who	who
has	has	ha
lived	live	lived
a	a	a
mostly	most	mostly
secular	secular	secular
life	life	life
.	.	.
Burns	burn	Burns
even	even	even
went	went	went
as	as	a
far	far	far
to	to	to
say	say	say
that	that	that
Bernie	berni	Bernie
Sanders	sander	Sanders
needs	need	need
to	to	to
convert	convert	convert
to	to	to
Christianity	christian	Christianity
.	.	.

Here	here	Here
s	s	s
what	what	what
Burns	burn	Burns
said	said	said
in	in	in
full	full	full
Bernie	berni	Bernie
Sanders	sander	Sanders
,	,	,
who	who	who
doesn	doesn	doesn
t	t	t
believe	believ	believe
in	in	in
God	god	God
,	,	,
how	how	how
in	in	in
the	the	the
world	world	world
are	are	are
we	we	we
going	go	going
to	to	to
let	let	let
Bernie	berni	Bernie
I	i	I
mean	mean	mean
,	,	,
really	realli	really
?	?	?

Bernie	berni	Bernie
s	s	s
got	got	got
to	to	to
get	get	get
saved	save	saved
,	,	,
Bernie	berni	Bernie
s	s	s
got	got	got
to	to	to
meet	meet	meet
Jesus	jesus	Jesus
.	.	.

He	he	He
s	s	s
got	got	got
to	to	to
have	have	have
a	a	a
coming	come	coming
to	to	to
Jesus	jesus	Jesus
meeting	meet	meeting
.	.	.

While	while	While
he	he	he
does	doe	doe
not	not	not
participate	particip	participate
in	in	in
organized	organ	organized
religion	religion	religion
,	,	,
Sanders	sander	Sanders
has	has	ha
expressed	express	expressed
that	that	that
he	he	he
does	doe	doe
believe	believ	believe
in	in	in
god	god	god
.	.	.

During	dure	During
an	an	an
interview	interview	interview
in	in	in
Rolling	roll	Rolling
Stone	stone	Stone
,	,	,
Sanders	sander	Sanders
was	was	wa
asked	ask	asked
if	if	if
he	he	he
believed	believ	believed
in	in	in
god	god	god
.	.	.

Sanders	sander	Sanders
responded	respond	responded
,	,	,
saying	say	saying
Yeah	yeah	Yeah
,	,	,
I	i	I
do	do	do
.	.	.

I	i	I
do	do	do
.	.	.

I	i	I
m	m	m
not	not	not
into	into	into
organized	organ	organized
religion	religion	religion
.	.	.

But	but	But
I	i	I
believe	believ	believe
that	that	that
what	what	what
impacts	impact	impact
you	you	you
impacts	impact	impact
me	me	me
,	,	,
that	that	that
we	we	we
are	are	are
all	all	all
united	unit	united
in	in	in
one	one	one
way	way	way
or	or	or
another	anoth	another
.	.	.

When	when	When
children	children	child
go	go	go
hungry	hungri	hungry
,	,	,
I	i	I
get	get	get
impacted	impact	impacted
.	.	.

When	when	When
kids	kid	kid
die	die	die
because	becaus	because
they	they	they
can	can	can
t	t	t
afford	afford	afford
medicine	medicin	medicine
,	,	,
I	i	I
get	get	get
impacted	impact	impacted
.	.	.

We	we	We
are	are	are
one	one	one
world	world	world
and	and	and
one	one	one
people	peopl	people
.	.	.

And	and	And
that	that	that
belief	belief	belief
leads	lead	lead
me	me	me
to	to	to
the	the	the
conclusion	conclus	conclusion
that	that	that
we	we	we
just	just	just
cannot	cannot	cannot
turn	turn	turn
our	our	our
back	back	back
on	on	on
human	human	human
suffering	suffer	suffering
.	.	.

Sanders	sander	Sanders
beliefs	belief	belief
are	are	are
found	found	found
in	in	in
both	both	both
the	the	the
Jewish	jewish	Jewish
faith	faith	faith
.	.	.

From	from	From
the	the	the
Talmud	talmud	Talmud
,	,	,
Whoever	whoever	Whoever
destroys	destroy	destroys
a	a	a
soul	soul	soul
,	,	,
it	it	it
is	is	is
considered	consid	considered
as	as	a
if	if	if
he	he	he
destroyed	destroy	destroyed
an	an	an
entire	entir	entire
world	world	world
.	.	.

And	and	And
whoever	whoever	whoever
saves	save	save
a	a	a
life	life	life
,	,	,
it	it	it
is	is	is
considered	consid	considered
as	as	a
if	if	if
he	he	he
saved	save	saved
an	an	an
entire	entir	entire
world	world	world
.	.	.

