Token	Stem	Lemma
When	when	When
high	high	high
-profile	-profil	-profile
women	women	woman
like	like	like
Sarah	sarah	Sarah
Palin	palin	Palin
stay	stay	stay
silent	silent	silent
it	it	it
enables	enabl	enables
sexual	sexual	sexual
predators	predat	predator
and	and	and
puts	put	put
more	more	more
women	women	woman
at	at	at
risk	risk	risk
of	of	of
being	be	being
sexually	sexual	sexually
harassed	harass	harassed
and	and	and
assaulted	assault	assaulted
As	as	As
Fox	fox	Fox
News	news	News
continues	continu	continues
to	to	to
reel	reel	reel
in	in	in
the	the	the
aftermath	aftermath	aftermath
of	of	of
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
s	s	s
sexual	sexual	sexual
harassment	harass	harassment
scandal	scandal	scandal
just	just	just
a	a	a
year	year	year
after	after	after
the	the	the
network	network	network
dealt	dealt	dealt
with	with	with
Roger	roger	Roger
Ailes	ail	Ailes
own	own	own
sexual	sexual	sexual
harassment	harass	harassment
scandal	scandal	scandal
former	former	former
contributors	contributor	contributor
and	and	and
anchors	anchor	anchor
have	have	have
been	been	been
coming	come	coming
forward	forward	forward
to	to	to
tell	tell	tell
their	their	their
stories	stori	story
of	of	of
how	how	how
they	they	they
were	were	were
treated	treat	treated
by	by	by
their	their	their
male	male	male
colleagues	colleagu	colleague
there	there	there
But	but	But
not	not	not
Sarah	sarah	Sarah
Palin	palin	Palin
Palin	palin	Palin
would	would	would
rather	rather	rather
pretend	pretend	pretend
that	that	that
nothing	noth	nothing
happened	happen	happened
to	to	to
her	her	her
and	and	and
that	that	that
her	her	her
male	male	male
colleagues	colleagu	colleague
were	were	were
totally	total	totally
professional	profession	professional
and	and	and
considerate	consider	considerate
During	dure	During
an	an	an
interview	interview	interview
with	with	with
Jake	jake	Jake
Tapper	tapper	Tapper
on	on	on
CNN	cnn	CNN
Palin	palin	Palin
danced	danc	danced
around	around	around
the	the	the
question	question	question
of	of	of
whether	whether	whether
she	she	she
experienced	experienc	experienced
sexual	sexual	sexual
harassment	harass	harassment
at	at	at
the	the	the
network	network	network
and	and	and
made	made	made
it	it	it
sound	sound	sound
like	like	like
her	her	her
decision	decis	decision
to	to	to
leave	leav	leave
Fox	fox	Fox
News	news	News
was	was	wa
more	more	more
about	about	about
looking	look	looking
for	for	for
different	differ	different
opportunities	opportun	opportunity
TAPPER	tapper	TAPPER
It	it	It
sounds	sound	sound
like	like	like
you	you	you
experienced	experienc	experienced
something	someth	something
PALIN	palin	PALIN
I	i	I
just	just	just
you	you	you
know	know	know
it	it	it
was	was	wa
just	just	just
time	time	time
to	to	to
part	part	part
ways	way	way
and	and	and
and	and	and
you	you	you
know	know	know
get	get	get
get	get	get
out	out	out
there	there	there
in	in	in
I	i	I
guess	guess	guess
a	a	a
more	more	more
diverse	divers	diverse
arena	arena	arena
to	to	to
express	express	express
views	view	view
In	in	In
fact	fact	fact
Palin	palin	Palin
had	had	had
far	far	far
stronger	stronger	stronger
words	word	word
for	for	for
the	the	the
victims	victim	victim
who	who	who
were	were	were
repeatedly	repeat	repeatedly
sexually	sexual	sexually
harassed	harass	harassed
at	at	at
Fox	fox	Fox
News	news	News
than	than	than
she	she	she
did	did	did
for	for	for
the	the	the
perpetrators	perpetr	perpetrator
If	if	If
a	a	a
woman	woman	woman
believes	believ	belief
that	that	that
