Donald	donald	Donald
Trump	trump	Trump
s	s	s
coronation	coron	coronation
party	parti	party
has	has	ha
just	just	just
kicked	kick	kicked
off	off	off
,	,	,
and	and	and
it	it	it
is	is	is
not	not	not
going	go	going
well	well	well
at	at	at
all	all	all
.	.	.

The	the	The
Colorado	colorado	Colorado
delegation	deleg	delegation
,	,	,
led	led	led
by	by	by
Free	free	Free
the	the	the
Delegates	deleg	Delegates
founder	founder	founder
Kendal	kendal	Kendal
Unruh	unruh	Unruh
,	,	,
walked	walk	walked
off	off	off
the	the	the
convention	convent	convention
floor	floor	floor
after	after	after
the	the	the
convention	convent	convention
refused	refus	refused
to	to	to
give	give	give
them	them	them
a	a	a
vote	vote	vote
regarding	regard	regarding
a	a	a
roll	roll	roll
call	call	call
vote	vote	vote
and	and	and
change	chang	change
the	the	the
rules	rule	rule
regarding	regard	regarding
the	the	the
binding	bind	binding
obligation	oblig	obligation
to	to	to
vote	vote	vote
for	for	for
Trump	trump	Trump
.	.	.
And	and	And
that	that	that
s	s	s
just	just	just
the	the	the
beginning	begin	beginning
.	.	.

One	one	One
top	top	top
fundraiser	fundrais	fundraiser
for	for	for
the	the	the
RNC	rnc	RNC
and	and	and
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
has	has	ha
had	had	had
enough	enough	enough
.	.	.
Gary	gari	Gary
Emineth	emineth	Emineth
,	,	,
who	who	who
signed	sign	signed
on	on	on
in	in	in
recent	recent	recent
weeks	week	week
to	to	to
help	help	help
the	the	the
Republican	republican	Republican
Party	parti	Party
get	get	get
Trump	trump	Trump
elected	elect	elected
,	,	,
is	is	is
done	done	done
with	with	with
the	the	the
whole	whole	whole
GOP	gop	GOP
circus	circus	circus
.	.	.

He	he	He
was	was	wa
an	an	an
unbound	unbound	unbound
delegate	deleg	delegate
,	,	,
but	but	but
he	he	he
wanted	want	wanted
to	to	to
have	have	have
the	the	the
bound	bound	bound
delegates	deleg	delegate
be	be	be
able	abl	able
to	to	to
vote	vote	vote
their	their	their
