Everyone	everyon	Everyone
had	had	had
their	their	their
suspicions	suspicion	suspicion
as	as	a
to	to	to
the	the	the
timing	time	timing
of	of	of
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
s	s	s
letter	letter	letter
regarding	regard	regarding
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
email	email	email
server	server	server
that	that	that
he	he	he
later	later	later
rescinded	rescind	rescinded
in	in	in
relation	relat	relation
to	to	to
the	the	the
election	elect	election
.	.	.
In	in	In
addition	addit	addition
,	,	,
many	mani	many
were	were	were
fairly	fair	fairly
certain	certain	certain
that	that	that
Russia	russia	Russia
had	had	had
direct	direct	direct
involvement	involv	involvement
in	in	in
our	our	our
election	elect	election
.	.	.
And	and	And
now	now	now
,	,	,
as	as	a
it	it	it
turns	turn	turn
out	out	out
,	,	,
both	both	both
things	thing	thing
definitely	definit	definitely
did	did	did
affect	affect	affect
the	the	the
election	elect	election
,	,	,
and	and	and
the	the	the
first	first	first
person	person	person
who	who	who
will	will	will
agree	agre	agree
with	with	with
that	that	that
definitely	definit	definitely
seems	seem	seems
to	to	to
be	be	be
Hillary	hillari	Hillary
Clinton	clinton	Clinton
herself	herself	herself
.	.	.
Breaking	break	Breaking
her	her	her
silence	silenc	silence
while	while	while
speaking	speak	speaking
to	to	to
donors	donor	donor
about	about	about
what	what	what
seemed	seem	seemed
to	to	to
directly	direct	directly
impact	impact	impact
the	the	the
election	elect	election
away	away	away
from	from	from
her	her	her
winning	win	winning
,	,	,
Clinton	clinton	Clinton
didn	didn	didn
t	t	t
hold	hold	hold
back	back	back
and	and	and
called	call	called
out	out	out
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
by	by	by
name	name	name
.	.	.
According	accord	According
to	to	to
NBC	nbc	NBC
News	news	News
Hillary	hillari	Hillary
Clinton	clinton	Clinton
told	told	told
donors	donor	donor
on	on	on
Thursday	thursday	Thursday
night	night	night
that	that	that
her	her	her
loss	loss	loss
was	was	wa
partly	part	partly
due	due	due
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
election	elect	election
hacks	hack	hack
directed	direct	directed
by	by	by
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
and	and	and
FBI	fbi	FBI
director	director	director
James	jame	James
Comey	comey	Comey
s	s	s
election	elect	election
-eve	-eve	-eve
letter	letter	letter
to	to	to
Congress	congress	Congress
related	relat	related
to	to	to
her	her	her
use	use	use
of	of	of
a	a	a
private	privat	private
email	email	email
server	server	server
.	.	.
Putin	putin	Putin
publicly	public	publicly
blamed	blame	blamed
me	me	me
for	for	for
the	the	the
outpouring	outpour	outpouring
of	of	of
outrage	outrag	outrage
by	by	by
his	his	his
own	own	own
people	peopl	people
that	that	that
is	is	is
the	the	the
direct	direct	direct
line	line	line
between	between	between
what	what	what
he	he	he
said	said	said
back	back	back
then	then	then
and	and	and
what	what	what
he	he	he
did	did	did
in	in	in
this	this	this
Election	elect	Election
,	,	,
Clinton	clinton	Clinton
is	is	is
heard	heard	heard
saying	say	saying
in	in	in
an	an	an
audio	audio	audio
recording	record	recording
first	first	first
obtained	obtain	obtained
by	by	by
the	the	the
New	new	New
York	york	York
Times	time	Times
and	and	and
verified	verifi	verified
as	as	a
authentic	authent	authentic
by	by	by
several	sever	several
sources	sourc	source
present	present	present
at	at	at
the	the	the
event	event	event
to	to	to
NBC	nbc	NBC
News	news	News
.	.	.
Clinton	clinton	Clinton
also	also	also
said	said	said
He	he	He
is	is	is
determined	determin	determined
not	not	not
only	onli	only
to	to	to
score	score	score
a	a	a
point	point	point
against	against	against
me	me	me
,	,	,
which	which	which
he	he	he
did	did	did
,	,	,
but	but	but
also	also	also
to	to	to
undermine	undermin	undermine
our	our	our
democracy	democraci	democracy
.	.	.
And	and	And
as	as	a
it	it	it
turns	turn	turn
out	out	out
,	,	,
Putin	putin	Putin
was	was	wa
directly	direct	directly
involved	involv	involved
with	with	with
the	the	the
hacks	hack	hack
and	and	and
how	how	how
the	the	the
information	inform	information
gained	gain	gained
was	was	wa
to	to	to
be	be	be
used	use	used
.	.	.
In	in	In
fact	fact	fact
,	,	,
NBC	nbc	NBC
News	news	News
reported	report	reported
Putin	putin	Putin
s	s	s
objectives	object	objective
were	were	were
multifaceted	multifacet	multifaceted
,	,	,
a	a	a
high	high	high
-level	-level	-level
intelligence	intellig	intelligence
source	sourc	source
told	told	told
NBC	nbc	NBC
News	news	News
.	.	.
What	what	What
began	began	began
as	as	a
a	a	a
vendetta	vendetta	vendetta
against	against	against
Hillary	hillari	Hillary
Clinton	clinton	Clinton
morphed	morph	morphed
into	into	into
an	an	an
effort	effort	effort
to	to	to
show	show	show
corruption	corrupt	corruption
in	in	in
American	american	American
politics	polit	politics
and	and	and
to	to	to
split	split	split
off	off	off
key	key	key
American	american	American
allies	alli	ally
by	by	by
creating	creat	creating
the	the	the
image	imag	image
that	that	that
other	other	other
countries	countri	country
couldn	couldn	couldn
t	t	t
depend	depend	depend
on	on	on
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
to	to	to
be	be	be
a	a	a
credible	credibl	credible
global	global	global
leader	leader	leader
anymore	anymor	anymore
,	,	,
the	the	the
official	offici	official
said	said	said
.	.	.
Putin	putin	Putin
very	veri	very
clearly	clear	clearly
wanted	want	wanted
Donald	donald	Donald
Trump	trump	Trump
to	to	to
win	win	win
and	and	and
used	use	used
information	inform	information
gained	gain	gained
to	to	to
release	releas	release
only	onli	only
what	what	what
he	he	he
wanted	want	wanted
to	to	to
skilfully	skil	skilfully
get	get	get
what	what	what
he	he	he
wanted	want	wanted
out	out	out
the	the	the
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
election	elect	election
.	.	.
And	and	And
now	now	now
that	that	that
all	all	all
of	of	of
this	this	this
has	has	ha
been	been	been
revealed	reveal	revealed
,	,	,
President	presid	President
Obama	obama	Obama
is	is	is
vowing	vow	vowing
retaliation	retali	retaliation
against	against	against
Russia	russia	Russia
,	,	,
saying	say	saying
I	i	I
think	think	think
there	there	there
is	is	is
no	no	no
doubt	doubt	doubt
that	that	that
when	when	when
any	ani	any
foreign	foreign	foreign
government	govern	government
tries	tri	try
to	to	to
impact	impact	impact
the	the	the
integrity	integr	integrity
of	of	of
our	our	our
elections	elect	election
that	that	that
we	we	we
need	need	need
to	to	to
take	take	take
action	action	action
and	and	and
we	we	we
will	will	will
at	at	at
a	a	a
time	time	time
and	and	and
place	place	place
of	of	of
our	our	our
own	own	own
choosing	choos	choosing
some	some	some
of	of	of
it	it	it
may	may	may
be	be	be
explicit	explicit	explicit
and	and	and
publicized	public	publicized
;	;	;
some	some	some
of	of	of
it	it	it
may	may	may
not	not	not
be	be	be
.	.	.
And	and	And
while	while	while
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
campaign	campaign	campaign
are	are	are
clearly	clear	clearly
pleased	pleas	pleased
with	with	with
the	the	the
election	elect	election
results	result	result
and	and	and
want	want	want
to	to	to
peacefully	peac	peacefully
continue	continu	continue
a	a	a
transition	transit	transition
while	while	while
thinking	think	thinking
all	all	all
accusations	accus	accusation
against	against	against
Russia	russia	Russia
are	are	are
just	just	just
excuses	excus	excuse
for	for	for
a	a	a
Clinton	clinton	Clinton
loss	loss	loss
,	,	,
evidence	evid	evidence
proves	prove	prof
quite	quit	quite
to	to	to
the	the	the
contrary	contrari	contrary
.	.	.
Hopefully	hope	Hopefully
,	,	,
we	we	we
will	will	will
get	get	get
to	to	to
the	the	the
bottom	bottom	bottom
of	of	of
this	this	this
and	and	and
justice	justic	justice
will	will	will
prevail	prevail	prevail
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Justin	justin	Justin
Sullivan	sullivan	Sullivan
Getty	getti	Getty
Images	imag	Images
