Music	music	Music
mogul	mogul	mogul
Russell	russel	Russell
Simmons	simmon	Simmons
has	has	ha
been	been	been
friends	friend	friend
with	with	with
Republican	republican	Republican
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
for	for	for
the	the	the
past	past	past
30	30	30
years	year	year
,	,	,
and	and	and
has	has	ha
finally	final	finally
come	come	come
forward	forward	forward
to	to	to
express	express	express
his	his	his
opinion	opinion	opinion
on	on	on
Trump	trump	Trump
s	s	s
run	run	run
for	for	for
the	the	the
presidency	presid	presidency
.	.	.
In	in	In
a	a	a
recent	recent	recent
interview	interview	interview
with	with	with
Fortune	fortun	Fortune
,	,	,
Simmons	simmon	Simmons
revealed	reveal	revealed
that	that	that
although	although	although
Trump	trump	Trump
had	had	had
many	mani	many
political	polit	political
and	and	and
personal	person	personal
beliefs	belief	belief
that	that	that
he	he	he
didn	didn	didn
t	t	t
agree	agre	agree
with	with	with
,	,	,
he	he	he
still	still	still
found	found	found
Trump	trump	Trump
to	to	to
be	be	be
a	a	a
likable	likabl	likable
person	person	person
.	.	.
However	howev	However
,	,	,
Simmons	simmon	Simmons
made	made	made
it	it	it
perfectly	perfect	perfectly
clear	clear	clear
that	that	that
he	he	he
didn	didn	didn
t	t	t
think	think	think
Trump	trump	Trump
was	was	wa
a	a	a
suitable	suitabl	suitable
person	person	person
for	for	for
the	the	the
presidency	presid	presidency
.	.	.
In	in	In
expressing	express	expressing
how	how	how
unqualified	unqualifi	unqualified
Trump	trump	Trump
was	was	wa
to	to	to
run	run	run
the	the	the
country	countri	country
,	,	,
Simmons	simmon	Simmons
was	was	wa
candid	candid	candid
about	about	about
the	the	the
racist	racist	racist
and	and	and
anti	anti	anti
-semitic	-semit	-semitic
comments	comment	comment
he	he	he
heard	heard	heard
and	and	and
witnessed	wit	witnessed
Trump	trump	Trump
make	make	make
over	over	over
the	the	the
last	last	last
three	three	three
decades	decad	decade
.	.	.
Simmons	simmon	Simmons
said	said	said
People	peopl	People
carry	carri	carry
beliefs	belief	belief
that	that	that
are	are	are
hurtful	hurt	hurtful
,	,	,
none	none	none
of	of	of
us	us	u
are	are	are
enlightened	enlighten	enlightened
I	i	I
would	would	would
laugh	laugh	laugh
off	off	off
things	thing	thing
he	he	he
said	said	said
that	that	that
were	were	were
off	off	off
-color	-color	-color
,	,	,
that	that	that
kind	kind	kind
of	of	of
didn	didn	didn
t	t	t
represent	repres	represent
my	my	my
viewpoints	viewpoint	viewpoint
.	.	.
Certainly	certain	Certainly
,	,	,
I	i	I
heard	heard	heard
things	thing	thing
that	that	that
seemed	seem	seemed
a	a	a
little	littl	little
racist	racist	racist
.	.	.
Simmons	simmon	Simmons
observed	observ	observed
that	that	that
Trump	trump	Trump
s	s	s
remarks	remark	remark
,	,	,
