House	hous	House
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
has	has	ha
endorsed	endors	endorsed
Donald	donald	Donald
Trump	trump	Trump
for	for	for
president	presid	president
,	,	,
but	but	but
it	it	it
is	is	is
clear	clear	clear
that	that	that
he	he	he
wishes	wish	wish
he	he	he
hadn	hadn	hadn
t	t	t
felt	felt	felt
like	like	like
he	he	he
had	had	had
to	to	to
do	do	do
so	so	so
.	.	.
First	first	First
,	,	,
Ryan	ryan	Ryan
had	had	had
to	to	to
condemn	condemn	condemn
Trump	trump	Trump
s	s	s
ban	ban	ban
on	on	on
Muslims	muslim	Muslims
,	,	,
before	befor	before
the	the	the
GOP	gop	GOP
primary	primari	primary
was	was	wa
even	even	even
over	over	over
.	.	.
Then	then	Then
,	,	,
he	he	he
had	had	had
to	to	to
speak	speak	speak
out	out	out
again	again	again
when	when	when
Trump	trump	Trump
refused	refus	refused
to	to	to
immediately	immedi	immediately
disavow	disavow	disavow
David	david	David
Duke	duke	Duke
and	and	and
the	the	the
Ku	ku	Ku
Klux	klux	Klux
Klan	klan	Klan
.	.	.
After	after	After
that	that	that
,	,	,
he	he	he
had	had	had
to	to	to
speak	speak	speak
out	out	out
against	against	against
Trump	trump	Trump
s	s	s
racist	racist	racist
statements	statement	statement
regarding	regard	regarding
Judge	judg	Judge
Gonzalo	gonzalo	Gonzalo
Curiel	curiel	Curiel
s	s	s
heritage	heritag	heritage
.	.	.
And	and	And
now	now	now
,	,	,
the	the	the
presumptive	presumpt	presumptive
nominee	nomine	nominee
has	has	ha
tweeted	tweet	tweeted
out	out	out
an	an	an
image	imag	image
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
with	with	with
a	a	a
Star	star	Star
of	of	of
David	david	David
over	over	over
a	a	a
pile	pile	pile
of	of	of
cash	cash	cash
,	,	,
and	and	and
once	onc	once
again	again	again
,	,	,
Speaker	speaker	Speaker
Ryan	ryan	Ryan
finds	find	find
himself	himself	himself
in	in	in
a	a	a
flap	flap	flap
regarding	regard	regarding
