Only	onli	Only
Hillary	hillari	Hillary
would	would	would
go	go	go
to	to	to
Flint	flint	Flint
,	,	,
MI	mi	MI
to	to	to
use	use	use
the	the	the
water	water	water
crisis	crisi	crisis
in	in	in
a	a	a
city	citi	city
run	run	run
by	by	by
Democrats	democrat	Democrats
to	to	to
prop	prop	prop
up	up	up
her	her	her
campaign	campaign	campaign
.	.	.

Americans	american	Americans
should	should	should
have	have	have
known	known	known
that	that	that
with	with	with
the	the	the
extensive	extens	extensive
list	list	list
of	of	of
scandals	scandal	scandal
in	in	in
Hillary	hillari	Hillary
s	s	s
past	past	past
,	,	,
there	there	there
had	had	had
to	to	to
be	be	be
a	a	a
water	water	water
pollution	pollut	pollution
scandal	scandal	scandal
.	.	.

Well	well	Well
,	,	,
as	as	a
it	it	it
turns	turn	turn
out	out	out
there	there	there
is	is	is
and	and	and
it	it	it
s	s	s
a	a	a
whopper	whopper	whopper
!	!	!

Hillary	hillari	Hillary
Clinton	clinton	Clinton
has	has	ha
turned	turn	turned
the	the	the
drinking	drink	drinking
water	water	water
crisis	crisi	crisis
in	in	in
Flint	flint	Flint
,	,	,
Michigan	michigan	Michigan
,	,	,
into	into	into
a	a	a
central	central	central
issue	issu	issue
for	for	for
her	her	her
campaign	campaign	campaign
and	and	and
will	will	will
look	look	look
to	to	to
capitalize	capit	capitalize
on	on	on
that	that	that
focus	focus	focus
when	when	when
she	she	she
faces	face	face
Bernie	berni	Bernie
Sanders	sander	Sanders
at	at	at
Saturday	saturday	Saturday
s	s	s
Democratic	democrat	Democratic
debate	debat	debate
in	in	in
the	the	the
troubled	troubl	troubled
city	citi	city
,	,	,
but	but	but
in	in	in
the	the	the
1992	1992	1992
Democratic	democrat	Democratic
primary	primari	primary
,	,	,
it	it	it
was	was	wa
Bill	bill	Bill
Clinton	clinton	Clinton
who	who	who
was	was	wa
on	on	on
defense	defens	defense
for	for	for
standing	stand	standing
by	by	by
as	as	a
Arkansas	arkansa	Arkansas
water	water	water
was	was	wa
polluted	pollut	polluted
.	.	.
Former	former	Former
senator	senat	senator
Tom	tom	Tom
Harkin	harkin	Harkin
D	d	D
.	.	.
,	,	,
Iowa	iowa	Iowa
went	went	went
after	after	after
Clinton	clinton	Clinton
during	dure	during
a	a	a
candidate	candid	candidate
forum	forum	forum
that	that	that
year	year	year
for	for	for
putting	put	putting
himself	himself	himself
forward	forward	forward
as	as	a
an	an	an
