There	there	There
are	are	are
startling	startl	startling
accusations	accus	accusation
against	against	against
a	a	a
Norman	norman	Norman
teacher	teacher	teacher
.	.	.
A	a	A
student	student	student
said	said	said
the	the	the
premise	premis	premise
of	of	of
his	his	his
lecture	lectur	lecture
stated	state	stated
all	all	all
white	white	white
people	peopl	people
are	are	are
racist	racist	racist
.	.	.
The	the	The
Norman	norman	Norman
North	north	North
student	student	student
said	said	said
the	the	the
teacher	teacher	teacher
was	was	wa
lecturing	lectur	lecturing
on	on	on
how	how	how
to	to	to
heal	heal	heal
the	the	the
racial	racial	racial
divide	divid	divide
.	.	.
She	she	She
was	was	wa
stunned	stun	stunned
by	by	by
what	what	what
was	was	wa
being	be	being
taught	taught	taught
,	,	,
so	so	so
she	she	she
pulled	pull	pulled
out	out	out
her	her	her
phone	phone	phone
and	and	and
started	start	started
recording	record	recording
.	.	.
In	in	In
the	the	the
audio	audio	audio
,	,	,
you	you	you
can	can	can
hear	hear	hear
the	the	the
teacher	teacher	teacher
say	say	say
to	to	to
be	be	be
white	white	white
is	is	is
to	to	to
be	be	be
racist	racist	racist
,	,	,
period	period	period
.	.	.
The	the	The
student	student	student
said	said	said
she	she	she
was	was	wa
instantly	instant	instantly
offended	offend	offended
.	.	.
Half	half	Half
of	of	of
my	my	my
family	famili	family
is	is	is
Hispanic	hispan	Hispanic
,	,	,
so	so	so
I	i	I
just	just	just
felt	felt	felt
like	like	like
,	,	,
you	you	you
know	know	know
,	,	,
him	him	him
calling	call	calling
me	me	me
racist	racist	racist
just	just	just
because	becaus	because
I	i	I
m	m	m
white	white	white
I	i	I
mean	mean	mean
,	,	,
where	where	where
s	s	s
your	your	your
proof	proof	proof
in	in	in
that	that	that
,	,	,
she	she	she
said	said	said
.	.	.
The	the	The
words	word	word
that	that	that
followed	follow	followed
were	were	were
even	even	even
more	more	more
shocking	shock	shocking
to	to	to
her	her	her
.	.	.
In	in	In
the	the	the
recording	record	recording
you	you	you
hear	hear	hear
the	the	the
teacher	teacher	teacher
ask	ask	ask
Am	am	Am
I	i	I
racist	racist	racist
?	?	?
And	and	And
,	,	,
I	i	I
say	say	say
yeah	yeah	yeah
.	.	.
I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
be	be	be
.	.	.
It	it	It
s	s	s
not	not	not
like	like	like
I	i	I
choose	choos	choose
to	to	to
be	be	be
racist	racist	racist
,	,	,
but	but	but
do	do	do
I	i	I
do	do	do
things	thing	thing
because	becaus	because
of	of	of
the	the	the
way	way	way
I	i	I
was	was	wa
raised	rais	raised
?	?	?
I	i	I
felt	felt	felt
like	like	like
he	he	he
was	was	wa
encouraging	encourag	encouraging
people	peopl	people
to	to	to
kind	kind	kind
of	of	of
pick	pick	pick
on	on	on
people	peopl	people
for	for	for
being	be	being
white	white	white
,	,	,
the	the	the
student	student	student
said	said	said
.	.	.
Why	whi	Why
is	is	is
it	it	it
okay	okay	okay
to	to	to
demonize	demon	demonize
one	one	one
race	race	race
to	to	to
children	children	child
that	that	that
you	you	you
are	are	are
supposed	suppos	supposed
to	to	to
be	be	be
teaching	teach	teaching
a	a	a
curriculum	curriculum	curriculum
to	to	to
,	,	,
her	her	her
dad	dad	dad
asked	ask	asked
.	.	.
Norman	norman	Norman
Public	public	Public
Schools	school	Schools
released	releas	released
the	the	the
following	follow	following
statement	statement	statement
regarding	regard	regarding
the	the	the
issue	issu	issue
Racism	racism	Racism
is	is	is
an	an	an
important	import	important
topic	topic	topic
that	that	that
we	we	we
discuss	discuss	discus
in	in	in
our	our	our
schools	school	school
.	.	.
While	while	While
discussing	discuss	discussing
a	a	a
variety	varieti	variety
of	of	of
philosophical	philosoph	philosophical
perspectives	perspect	perspective
on	on	on
culture	cultur	culture
,	,	,
race	race	race
and	and	and
ethics	ethic	ethic
,	,	,
a	a	a
teacher	teacher	teacher
was	was	wa
attempting	attempt	attempting
to	to	to
convey	convey	convey
to	to	to
students	student	student
in	in	in
an	an	an
elective	elect	elective
philosophy	philosophi	philosophy
course	cours	course
a	a	a
perspective	perspect	perspective
that	that	that
had	had	had
been	been	been
shared	share	shared
at	at	at
a	a	a
university	univers	university
lecture	lectur	lecture
he	he	he
had	had	had
attended	attend	attended
.	.	.
We	we	We
regret	regret	regret
that	that	that
the	the	the
discussion	discuss	discussion
was	was	wa
poorly	poor	poorly
handled	handl	handled
.	.	.
When	when	When
the	the	the
district	district	district
was	was	wa
notified	notifi	notified
of	of	of
this	this	this
concern	concern	concern
it	it	it
was	was	wa
immediately	immedi	immediately
addressed	address	addressed
.	.	.
We	we	We
are	are	are
committed	commit	committed
to	to	to
ensuring	ensur	ensuring
inclusiveness	inclus	inclusiveness
in	in	in
our	our	our
schools	school	school
.	.	.
Dr	dr	Dr
.	.	.
Joe	joe	Joe
Siano	siano	Siano
,	,	,
superintendent	superintend	superintendent
of	of	of
Norman	norman	Norman
Public	public	Public
Schools	school	Schools
You	you	You
start	start	start
telling	tell	telling
someone	someon	someone
something	someth	something
over	over	over
and	and	and
over	over	over
again	again	again
that	that	that
s	s	s
an	an	an
opinion	opinion	opinion
,	,	,
and	and	and
they	they	they
start	start	start
taking	take	taking
it	it	it
as	as	a
fact	fact	fact
,	,	,
the	the	the
student	student	student
said	said	said
.	.	.
So	so	So
,	,	,
I	i	I
wanted	want	wanted
him	him	him
to	to	to
apologize	apolog	apologize
and	and	and
make	make	make
it	it	it
obvious	obvious	obvious
and	and	and
apparent	appar	apparent
to	to	to
everyone	everyon	everyone
that	that	that
was	was	wa
his	his	his
opinion	opinion	opinion
.	.	.
Via	via	Via
kforVia	kforvia	kforVia
Daily	daili	Daily
Mail	mail	Mail
