Here	here	Here
s	s	s
more	more	more
proof	proof	proof
that	that	that
liberals	liber	liberal
don	don	don
t	t	t
like	like	like
free	free	free
speech	speech	speech
unless	unless	unless
it	it	it
s	s	s
THEIR	their	THEIR
speech	speech	speech
It	it	It
s	s	s
no	no	no
secret	secret	secret
that	that	that
CNN	cnn	CNN
is	is	is
anti	anti	anti
-Trump	-trump	-Trump
with	with	with
their	their	their
coverage	coverag	coverage
every	everi	every
single	singl	single
day	day	day
.	.	.
They	they	They
ve	ve	ve
also	also	also
been	been	been
caught	caught	caught
telling	tell	telling
some	some	some
huge	huge	huge
whoppers	whopper	whopper
on	on	on
air	air	air
that	that	that
social	social	social
media	media	medium
calls	call	call
them	them	them
out	out	out
on	on	on
.	.	.
Blatant	blatant	Blatant
lies	lie	lie
about	about	about
President	presid	President
Trump	trump	Trump
caused	caus	caused
him	him	him
to	to	to
go	go	go
after	after	after
the	the	the
network	network	network
with	with	with
the	the	the
nickname	nicknam	nickname
of	of	of
fake	fake	fake
news	news	news
.	.	.
Well	well	Well
,	,	,
it	it	it
stuck	stuck	stuck
and	and	and
now	now	now
they	they	they
are	are	are
known	known	known
as	as	a
FNN	fnn	FNN
aka	aka	aka
Fake	fake	Fake
News	news	News
Network	network	Network
.	.	.
Jaxon	jaxon	Jaxon
Jester	jester	Jester
wanted	want	wanted
to	to	to
boldly	bold	boldly
wear	wear	wear
a	a	a
FNN	fnn	FNN
t	t	t
-shirt	-shirt	-shirt
for	for	for
a	a	a
field	field	field
trip	trip	trip
to	to	to
Atlanta	atlanta	Atlanta
s	s	s
CNN	cnn	CNN
headquarters	headquart	headquarters
but	but	but
his	his	his
teacher	teacher	teacher
made	made	made
him	him	him
take	take	take
the	the	the
shirt	shirt	shirt
off	off	off
His	his	His
right	right	right
to	to	to
freedom	freedom	freedom
of	of	of
speech	speech	speech
was	was	wa
violated	violat	violated
and	and	and
the	the	the
entire	entir	entire
incident	incid	incident
has	has	ha
raised	rais	raised
questions	question	question
about	about	about
who	who	who
did	did	did
the	the	the
right	right	right
thing	thing	thing
UNDER	under	UNDER
FIRE	fire	FIRE
A	a	A
Georgia	georgia	Georgia
family	famili	family
is	is	is
under	under	under
fire	fire	fire
for	for	for
allowing	allow	allowing
a	a	a
seventh	seventh	seventh
grader	grader	grader
to	to	to
wear	wear	wear
a	a	a
T	t	T
-shirt	-shirt	-shirt
that	that	that
