Rudy	rudi	Rudy
Giuliani	giuliani	Giuliani
threw	threw	threw
a	a	a
hissy	hissi	hissy
fit	fit	fit
over	over	over
Louisiana	louisiana	Louisiana
Governor	governor	Governor
John	john	John
Bel	bel	Bel
Edwards	edward	Edwards
reaction	reaction	reaction
to	to	to
Donald	donald	Donald
Trump	trump	Trump
visiting	visit	visiting
the	the	the
flood	flood	flood
damage	damag	damage
in	in	in
his	his	his
state	state	state
,	,	,
and	and	and
Edwards	edward	Edwards
called	call	called
him	him	him
out	out	out
for	for	for
it	it	it
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
the	the	the
former	former	former
New	new	New
York	york	York
mayor	mayor	mayor
who	who	who
now	now	now
forgets	forget	forgets
about	about	about
9	9	9
11	11	11
posted	post	posted
a	a	a
statement	statement	statement
on	on	on
Twitter	twitter	Twitter
whining	whine	whining
about	about	about
Bel	bel	Bel
Edwards	edward	Edwards
asking	ask	asking
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
to	to	to
do	do	do
something	someth	something
to	to	to
help	help	help
the	the	the
victims	victim	victim
of	of	of
the	the	the
flooding	flood	flooding
instead	instead	instead
of	of	of
just	just	just
showing	show	showing
up	up	up
to	to	to
do	do	do
a	a	a
photo	photo	photo
-op	-op	-op
.	.	.
Instead	instead	Instead
of	of	of
following	follow	following
Gov	gov	Gov
.	.	.
Bel	bel	Bel
Edwards	edward	Edwards
s	s	s
advice	advic	advice
,	,	,
Trump	trump	Trump
proceeded	proceed	proceeded
to	to	to
get	get	get
that	that	that
photo	photo	photo
-op	-op	-op
,	,	,
which	which	which
consisted	consist	consisted
of	of	of
him	him	him
handing	hand	handing
out	out	out
play	play	play
-doh	-doh	-doh
instead	instead	instead
of	of	of
real	real	real
supplies	suppli	supply
such	such	such
as	as	a
food	food	food
and	and	and
water	water	water
.	.	.
But	but	But
Giuliani	giuliani	Giuliani
criticized	critic	criticized
Bel	bel	Bel
Edwards	edward	Edwards
for	for	for
making	make	making
such	such	such
a	a	a
request	request	request
and	and	and
said	said	said
that	that	that
reaction	reaction	reaction
towards	toward	towards
President	presid	President
Obama	obama	Obama
is	is	is
not	not	not
the	the	the
same	same	same
negative	negat	negative
reaction	reaction	reaction
President	presid	President
Bush	bush	Bush
received	receiv	received
after	after	after
Hurricane	hurrican	Hurricane
Katrina	katrina	Katrina
.	.	.
Giuliani	giuliani	Giuliani
said	said	said
that	that	that
Trump	trump	Trump
showed	show	showed
true	true	true
leadership	leadership	leadership
by	by	by
going	go	going
to	to	to
the	the	the
flood	flood	flood
ravaged	ravag	ravaged
state	state	state
and	and	and
then	then	then
plugged	plug	plugged
his	his	his
book	book	book
in	in	in
the	the	the
same	same	same
breath	breath	breath
.	.	.
Then	then	Then
he	he	he
bragged	brag	bragged
about	about	about
being	be	being
the	the	the
mayor	mayor	mayor
of	of	of
NYC	nyc	NYC
during	dure	during
the	the	the
September	septemb	September
11th	11th	11th
attacks	attack	attack
.	.	.
Here	here	Here
s	s	s
the	the	the
full	full	full
post	post	post
via	via	via
Twitter	twitter	Twitter
.	.	.
Giuliani	giuliani	Giuliani
statement	statement	statement
on	on	on
Louisiana	louisiana	Louisiana
s	s	s
governor	governor	governor
criticizing	critic	criticizing
Trump	trump	Trump
trip	trip	trip
During	dure	During
the	the	the
September	septemb	September
11	11	11
attacks	attack	attack
,	,	,
I	i	I
welcomed	welcom	welcomed
pic.twitter.com/wFDRW5qhyi	pic.twitter.com/wfdrw5qhyi	pic.twitter.com/wFDRW5qhyi
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
August	august	August
19	19	19
,	,	,
2016On	2016on	2016On
Sunday	sunday	Sunday
,	,	,
Bel	bel	Bel
Edwards	edward	Edwards
fired	fire	fired
back	back	back
by	by	by
telling	tell	telling
CNN	cnn	CNN
s	s	s
Dana	dana	Dana
Bash	bash	Bash
that	that	that
there	there	there
is	is	is
not	not	not
a	a	a
double	doubl	double
standard	standard	standard
here	here	here
.	.	.
I	i	I
believe	believ	believe
Mayor	mayor	Mayor
Giuliani	giuliani	Giuliani
got	got	got
it	it	it
completely	complet	completely
wrong	wrong	wrong
.	.	.
I	i	I
have	have	have
not	not	not
been	been	been
critical	critic	critical
of	of	of
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
visit	visit	visit
.	.	.
I	i	I
have	have	have
tried	tri	tried
not	not	not
to	to	to
comment	comment	comment
because	becaus	because
I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
get	get	get
tied	tie	tied
up	up	up
in	in	in
the	the	the
politics	polit	politics
of	of	of
whether	whether	whether
it	it	it
s	s	s
the	the	the
president	presid	president
,	,	,
whether	whether	whether
it	it	it
s	s	s
Hillary	hillari	Hillary
Clinton	clinton	Clinton
or	or	or
whether	whether	whether
it	it	it
s	s	s
Donald	donald	Donald
Trump	trump	Trump
.	.	.
I	i	I
have	have	have
tried	tri	tried
not	not	not
to	to	to
comment	comment	comment
.	.	.
And	and	And
the	the	the
comments	comment	comment
that	that	that
I	i	I
have	have	have
made	made	made
have	have	have
been	been	been
very	veri	very
reserved	reserv	reserved
.	.	.
So	so	So
I	i	I
think	think	think
he	he	he
was	was	wa
off	off	off
base	base	base
there	there	there
with	with	with
that	that	that
comment	comment	comment
.	.	.
So	so	So
I	i	I
think	think	think
he	he	he
was	was	wa
off	off	off
base	base	base
there	there	there
with	with	with
that	that	that
comment	comment	comment
.	.	.
Bel	bel	Bel
Edwards	edward	Edwards
went	went	went
on	on	on
to	to	to
point	point	point
out	out	out
that	that	that
the	the	the
reason	reason	reason
President	presid	President
Obama	obama	Obama
has	has	ha
not	not	not
visited	visit	visited
Baton	baton	Baton
Rouge	roug	Rouge
yet	yet	yet
is	is	is
because	becaus	because
he	he	he
asked	ask	asked
him	him	him
to	to	to
come	come	come
next	next	next
week	week	week
instead	instead	instead
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
CNN	cnn	CNN
.	.	.
But	but	But
Edwards	edward	Edwards
explained	explain	explained
why	whi	why
President	presid	President
Obama	obama	Obama
was	was	wa
right	right	right
not	not	not
to	to	to
visit	visit	visit
yet	yet	yet
during	dure	during
an	an	an
interview	interview	interview
with	with	with
Rachel	rachel	Rachel
Maddow	maddow	Maddow
on	on	on
Thursday	thursday	Thursday
.	.	.
It	it	It
is	is	is
a	a	a
major	major	major
ordeal	ordeal	ordeal
,	,	,
they	they	they
free	free	free
up	up	up
the	the	the
interstate	interst	interstate
for	for	for
him	him	him
.	.	.
We	we	We
have	have	have
to	to	to
take	take	take
hundreds	hundr	hundred
of	of	of
local	local	local
first	first	first
responders	respond	responder
,	,	,
police	polic	police
officers	offic	officer
,	,	,
sheriffs	sheriff	sheriff
,	,	,
deputies	deputi	deputy
and	and	and
state	state	state
troopers	trooper	trooper
to	to	to
provide	provid	provide
security	secur	security
for	for	for
that	that	that
type	type	type
of	of	of
visit	visit	visit
.	.	.
I	i	I
would	would	would
just	just	just
as	as	a
soon	soon	soon
have	have	have
those	those	those
people	peopl	people
engaged	engag	engaged
in	in	in
the	the	the
response	respons	response
rather	rather	rather
than	than	than
trying	tri	trying
to	to	to
secure	secur	secure
the	the	the
president	presid	president
.	.	.
So	so	So
I	i	I
d	d	d
ask	ask	ask
him	him	him
to	to	to
wait	wait	wait
,	,	,
if	if	if
he	he	he
would	would	would
,	,	,
another	anoth	another
couple	coupl	couple
weeks	week	week
