Ben	ben	Ben
Carson	carson	Carson
is	is	is
having	have	having
a	a	a
really	realli	really
bad	bad	bad
week	week	week
.	.	.
He	he	He
s	s	s
had	had	had
a	a	a
lot	lot	lot
of	of	of
bad	bad	bad
weeks	week	week
recently	recent	recently
,	,	,
but	but	but
this	this	this
one	one	one
is	is	is
particularly	particular	particularly
bad	bad	bad
.	.	.
The	the	The
last	last	last
Republican	republican	Republican
debate	debat	debate
was	was	wa
considered	consid	considered
Carson	carson	Carson
s	s	s
do	do	do
or	or	or
die	die	die
moment	moment	moment
and	and	and
he	he	he
died	die	died
unambiguously	unambigu	unambiguously
while	while	while
we	we	we
all	all	all
watched	watch	watched
.	.	.
The	the	The
once	onc	once
rising	rise	rising
star	star	star
of	of	of
the	the	the
2016	2016	2016
election	elect	election
went	went	went
out	out	out
,	,	,
not	not	not
with	with	with
a	a	a
bang	bang	bang
,	,	,
but	but	but
with	with	with
a	a	a
characteristic	characterist	characteristic
whisper	whisper	whisper
.	.	.
A	a	A
soft	soft	soft
,	,	,
monotone	monoton	monotone
word	word	word
salad	salad	salad
.	.	.
His	his	His
trademark	trademark	trademark
.	.	.
By	by	By
the	the	the
end	end	end
of	of	of
the	the	the
night	night	night
,	,	,
Carson	carson	Carson
was	was	wa
misquoting	misquot	misquoting
the	the	the
preamble	preambl	preamble
to	to	to
the	the	the
Constitution	constitut	Constitution
and	and	and
perhaps	perhap	perhaps
slowly	slowli	slowly
realizing	realiz	realizing
that	that	that
this	this	this
would	would	would
be	be	be
the	the	the
last	last	last
time	time	time
many	mani	many
people	peopl	people
would	would	would
ever	ever	ever
remember	rememb	remember
he	he	he
ever	ever	ever
had	had	had
run	run	run
for	for	for
president	presid	president
at	at	at
all	all	all
.	.	.
The	the	The
very	veri	very
next	next	next
day	day	day
,	,	,
while	while	while
Carson	carson	Carson
slept	slept	slept
off	off	off
his	his	his
post	post	post
-relevancy	-relev	-relevancy
hangover	hangov	hangover
and	and	and
waited	wait	waited
to	to	to
come	come	come
in	in	in
