Anyone	anyon	Anyone
up	up	up
for	for	for
a	a	a
European	european	European
vacation	vacat	vacation
?	?	?
How	how	How
about	about	about
sending	send	sending
your	your	your
young	young	young
daughters	daughter	daughter
to	to	to
Europe	europ	Europe
to	to	to
study	studi	study
for	for	for
a	a	a
semester	semest	semester
or	or	or
two	two	two
?	?	?
Is	is	Is
this	this	this
the	the	the
end	end	end
of	of	of
the	the	the
tourism	tourism	tourism
and	and	and
study	studi	study
abroad	abroad	abroad
business	busi	business
for	for	for
America	america	America
s	s	s
youth	youth	youth
?	?	?
More	more	More
reports	report	report
of	of	of
European	european	European
countries	countri	country
sacrificing	sacrif	sacrificing
their	their	their
young	young	young
girls	girl	girl
on	on	on
the	the	the
altar	altar	altar
of	of	of
Islamic	islam	Islamic
supremacism	supremac	supremacism
.	.	.
School	school	School
girls	girl	girl
were	were	were
sexually	sexual	sexually
assaulted	assault	assaulted
and	and	and
groped	grope	groped
by	by	by
the	the	the
boys	boy	boy
for	for	for
months	month	month
.	.	.
The	the	The
girls	girl	girl
had	had	had
suffered	suffer	suffered
for	for	for
so	so	so
long	long	long
without	without	without
reporting	report	reporting
the	the	the
abuse	abus	abuse
,	,	,
as	as	a
authorities	author	authority
most	most	most
obviously	obvious	obviously
turned	turn	turned
a	a	a
blind	blind	blind
eye	eye	eye
.	.	.
The	the	The
headmaster	headmast	headmaster
said	said	said
that	that	that
the	the	the
male	male	male
pupils	pupil	pupil
had	had	had
all	all	all
come	come	come
to	to	to
Austria	austria	Austria
as	as	a
unaccompanied	unaccompani	unaccompanied
minors	minor	minor
from	from	from
Syria	syria	Syria
and	and	and
Afghanistan	afghanistan	Afghanistan
and	and	and
she	she	she
believed	believ	believed
them	them	them
to	to	to
be	be	be
happy	happi	happy
and	and	and
grateful	grate	grateful
for	for	for
being	be	being
allowed	allow	allowed
to	to	to
live	live	live
in	in	in
Austria	austria	Austria
and	and	and
attend	attend	attend
school	school	school
,	,	,
adding	ad	adding
that	that	that
they	they	they
were	were	were
integrating	integr	integrating
themselves	themselv	themselves
very	veri	very
well	well	well
.	.	.
I	i	I
am	am	am
sure	sure	sure
that	that	that
the	the	the
victims	victim	victim
were	were	were
afraid	afraid	afraid
to	to	to
come	come	come
forward	forward	forward
.	.	.
Afraid	afraid	Afraid
they	they	they
d	d	d
be	be	be
called	call	called
racists	racist	racist
.	.	.
Afraid	afraid	Afraid
the	the	the
Muslims	muslim	Muslims
would	would	would
take	take	take
their	their	their
revenge	reveng	revenge
on	on	on
them	them	them
and	and	and
their	their	their
families	famili	family
.	.	.
Schoolgirls	schoolgirl	Schoolgirls
report	report	report
abuse	abus	abuse
by	by	by
young	young	young
asylum	asylum	asylum
seekers	seeker	seeker
,	,	,
The	the	The
Local	local	Local
,	,	,
January	januari	January
15	15	15
,	,	,
2015	2015	2015
thanks	thank	thanks
to	to	to
Lookmann	lookmann	Lookmann
Austrian	austrian	Austrian
officials	offici	official
are	are	are
investigating	investig	investigating
allegations	alleg	allegation
that	that	that
four	four	four
under	under	under
-age	-age	-age
asylum	asylum	asylum
seekers	seeker	seeker
sexually	sexual	sexually
harassed	harass	harassed
and	and	and
assaulted	assault	assaulted
three	three	three
schoolgirls	schoolgirl	schoolgirl
for	for	for
months	month	month
,	,	,
without	without	without
anybody	anybodi	anybody
taking	take	taking
action	action	action
.	.	.
The	the	The
four	four	four
boys	boy	boy
attended	attend	attended
the	the	the
Schlossstrasse	schlossstrass	Schlossstrasse
middle	middl	middle
school	school	school
in	in	in
Salzburg	salzburg	Salzburg
.	.	.
It	it	It
was	was	wa
only	onli	only
in	in	in
the	the	the
wake	wake	wake
of	of	of
the	the	the
widely	wide	widely
reported	report	reported
New	new	New
Year	year	Year
sexual	sexual	sexual
assaults	assault	assault
in	in	in
Cologne	cologn	Cologne
that	that	that
one	one	one
of	of	of
the	the	the
victims	victim	victim
,	,	,
aged	age	aged
14	14	14
,	,	,
made	made	made
a	a	a
complaint	complaint	complaint
to	to	to
police	polic	police
.	.	.
That	that	That
resulted	result	resulted
in	in	in
the	the	the
four	four	four
youngsters	youngster	youngster
,	,	,
aged	age	aged
14	14	14
,	,	,
15	15	15
and	and	and
16	16	16
,	,	,
being	be	being
suspended	suspend	suspended
.	.	.
Only	onli	Only
one	one	one
of	of	of
them	them	them
had	had	had
a	a	a
residence	resid	residence
permit	permit	permit
.	.	.
According	accord	According
to	to	to
a	a	a
report	report	report
in	in	in
the	the	the
Kronen	kronen	Kronen
Zeitung	zeitung	Zeitung
newspaper	newspap	newspaper
,	,	,
three	three	three
female	femal	female
students	student	student
say	say	say
they	they	they
were	were	were
assaulted	assault	assaulted
and	and	and
groped	grope	groped
by	by	by
the	the	the
boys	boy	boy
for	for	for
months	month	month
.	.	.
Last	last	Last
Wednesday	wednesday	Wednesday
an	an	an
attack	attack	attack
on	on	on
one	one	one
girl	girl	girl
was	was	wa
reportedly	report	reportedly
so	so	so
severe	sever	severe
that	that	that
it	it	it
came	came	came
to	to	to
the	the	the
attention	attent	attention
of	of	of
the	the	the
school	school	school
headmistress	headmistress	headmistress
Eva	eva	Eva
Szalony	szaloni	Szalony
,	,	,
who	who	who
made	made	made
a	a	a
complaint	complaint	complaint
to	to	to
police	polic	police
.	.	.
She	she	She
said	said	said
the	the	the
allegations	alleg	allegation
were	were	were
a	a	a
complete	complet	complete
shock	shock	shock
and	and	and
that	that	that
the	the	the
school	school	school
is	is	is
now	now	now
investigating	investig	investigating
why	whi	why
the	the	the
girls	girl	girl
had	had	had
suffered	suffer	suffered
for	for	for
so	so	so
long	long	long
without	without	without
reporting	report	reporting
the	the	the
abuse	abus	abuse
.	.	.
She	she	She
said	said	said
that	that	that
the	the	the
male	male	male
pupils	pupil	pupil
had	had	had
all	all	all
come	come	come
to	to	to
Austria	austria	Austria
as	as	a
unaccompanied	unaccompani	unaccompanied
minors	minor	minor
from	from	from
Syria	syria	Syria
and	and	and
Afghanistan	afghanistan	Afghanistan
and	and	and
she	she	she
believed	believ	believed
