When	when	When
you	you	you
ve	ve	ve
never	never	never
been	been	been
taught	taught	taught
what	what	what
a	a	a
figure	figur	figure
of	of	of
speech	speech	speech
is	is	is
,	,	,
you	you	you
will	will	will
take	take	take
everything	everyth	everything
everyone	everyon	everyone
ever	ever	ever
says	say	say
to	to	to
you	you	you
very	veri	very
literally	liter	literally
.	.	.
Same	same	Same
goes	goe	go
for	for	for
Christian	christian	Christian
fundamentalists	fundamentalist	fundamentalist
who	who	who
practice	practic	practice
the	the	the
literal	liter	literal
interpretation	interpret	interpretation
of	of	of
the	the	the
Bible	bibl	Bible
.	.	.
Candace	candac	Candace
Cameron	cameron	Cameron
Bure	bure	Bure
seems	seem	seems
to	to	to
be	be	be
both	both	both
.	.	.
While	while	While
appearing	appear	appearing
on	on	on
Fox	fox	Fox
Friends	friend	Friends
,	,	,
the	the	the
Fuller	fuller	Fuller
House	hous	House
star	star	star
and	and	and
sister	sister	sister
of	of	of
the	the	the
uber	uber	uber
fundie	fundi	fundie
Christian	christian	Christian
Kirk	kirk	Kirk
Cameron	cameron	Cameron
,	,	,
decided	decid	decided
she	she	she
would	would	would
weigh	weigh	weigh
in	in	in
on	on	on
what	what	what
Madeleine	madelein	Madeleine
Albright	albright	Albright
joked	joke	joked
about	about	about
while	while	while
introducing	introduc	introducing
Hillary	hillari	Hillary
Clinton	clinton	Clinton
at	at	at
a	a	a
recent	recent	recent
campaign	campaign	campaign
event	event	event
.	.	.
Albright	albright	Albright
said	said	said
There	there	There
s	s	s
a	a	a
special	special	special
place	place	place
in	in	in
hell	hell	hell
for	for	for
women	women	woman
who	who	who
don	don	don
t	t	t
help	help	help
each	each	each
other	other	other
.	.	.
It	it	It
was	was	wa
meant	meant	meant
in	in	in
jest	jest	jest
,	,	,
and	and	and
clearly	clear	clearly
not	not	not
to	to	to
be	be	be
taken	taken	taken
as	as	a
telling	tell	telling
women	women	woman
they	they	they
literally	liter	literally
belong	belong	belong
in	in	in
the	the	the
hell	hell	hell
as	as	a
described	describ	described
in	in	in
the	the	the
Bible	bibl	Bible
.	.	.
However	howev	However
,	,	,
Bure	bure	Bure
didn	didn	didn
t	t	t
see	see	see
it	it	it
that	that	that
way	way	way
at	at	at
all	all	all
.	.	.
Visibly	visibl	Visibly
upset	upset	upset
,	,	,
she	she	she
tells	tell	tell
the	the	the
Fox	fox	Fox
hosts	host	host
Anyone	anyon	Anyone
that	that	that
can	can	can
even	even	even
joke	joke	joke
,	,	,
if	if	if
it	it	it
was	was	wa
a	a	a
joke	joke	joke
,	,	,
about	about	about
hell	hell	hell
.	.	.
There	there	There
s	s	s
nothing	noth	nothing
to	to	to
me	me	me
that	that	that
s	s	s
funny	funni	funny
about	about	about
that	that	that
If	if	If
anybody	anybodi	anybody
actually	actual	actually
read	read	read
their	their	their
Bible	bibl	Bible
and	and	and
saw	saw	saw
what	what	what
the	the	the
description	descript	description
of	of	of
Hell	hell	Hell
,	,	,
it	it	it
s	s	s
disgusting	disgust	disgusting
.	.	.
To	to	To
be	be	be
honest	honest	honest
,	,	,
what	what	what
would	would	would
be	be	be
scarier	scarier	scarier
for	for	for
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
would	would	would
be	be	be
,	,	,
there	there	there
s	s	s
a	a	a
special	special	special
place	place	place
at	at	at
the	the	the
bottom	bottom	bottom
of	of	of
a	a	a
Chuck	chuck	Chuck
-E-Cheese	-e-chees	-E-Cheese
ball	ball	ball
pit	pit	pit
but	but	but
I	i	I
digress	digress	digress
.	.	.
Bure	bure	Bure
took	took	took
this	this	this
comment	comment	comment
made	made	made
by	by	by
Albright	albright	Albright
very	veri	very
personally	person	personally
and	and	and
then	then	then
somehow	somehow	somehow
magically	magic	magically
linked	link	linked
it	it	it
to	to	to
abortion	abort	abortion
,	,	,
because	becaus	because
why	whi	why
not	not	not
?	?	?
Then	then	Then
she	she	she
said	said	said
To	to	To
say	say	say
that	that	that
they	they	they
re	re	re
not	not	not
feminists	feminist	feminist
,	,	,
that	that	that
they	they	they
re	re	re
anti	anti	anti
-women	-women	-women
if	if	if
they	they	they
re	re	re
not	not	not
supporting	support	supporting
another	anoth	another
woman	woman	woman
is	is	is
you	you	you
know	know	know
,	,	,
that	that	that
to	to	to
me	me	me
is	is	is
what	what	what
s	s	s
wrong	wrong	wrong
with	with	with
feminism	femin	feminism
.	.	.
That	that	That
is	is	is
a	a	a
turnoff	turnoff	turnoff
for	for	for
me	me	me
as	as	a
a	a	a
woman	woman	woman
.	.	.
Someone	someon	Someone
clearly	clear	clearly
missed	miss	missed
the	the	the
day	day	day
in	in	in
her	her	her
Women	women	Women
s	s	s
Study	studi	Study
course	cours	course
that	that	that
explained	explain	explained
part	part	part
of	of	of
feminism	femin	feminism
is	is	is
empowering	empow	empowering
all	all	all
women	women	woman
,	,	,
even	even	even
women	women	woman
who	who	who
in	in	in
their	their	their
abortion	abort	abortion
choices	choic	choice
,	,	,
choose	choos	choose
life	life	life
and	and	and
those	those	those
who	who	who
advocate	advoc	advocate
for	for	for
that	that	that
cause	caus	cause
.	.	.
That	that	That
s	s	s
their	their	their
right	right	right
if	if	if
they	they	they
so	so	so
choose	choos	choose
.	.	.
No	no	No
one	one	one
is	is	is
telling	tell	telling
Bure	bure	Bure
how	how	how
to	to	to
think	think	think
,	,	,
and	and	and
Albright	albright	Albright
was	was	wa
simply	simpli	simply
pointing	point	pointing
out	out	out
the	the	the
fact	fact	fact
that	that	that
if	if	if
any	ani	any
woman	woman	woman
were	were	were
to	to	to
tell	tell	tell
another	anoth	another
woman	woman	woman
,	,	,
say	say	say
Candace	candac	Candace
Cameron	cameron	Cameron
Bure	bure	Bure
,	,	,
that	that	that
they	they	they
were	were	were
wrong	wrong	wrong
for	for	for
the	the	the
mere	mere	mere
fact	fact	fact
that	that	that
they	they	they
re	re	re
a	a	a
woman	woman	woman
,	,	,
then	then	then
there	there	there
s	s	s
a	a	a
special	special	special
place	place	place
in	in	in
H	h	H
-E-	-e-	-E-
double	doubl	double
hockey	hockey	hockey
