Thank	thank	Thank
goodness	good	goodness
we	we	we
finally	final	finally
have	have	have
a	a	a
President	presid	President
who	who	who
refuses	refus	refuse
to	to	to
dump	dump	dump
our	our	our
taxpayer	taxpay	taxpayer
funds	fund	fund
into	into	into
climate	climat	climate
scam	scam	scam
that	that	that
our	our	our
former	former	former
President	presid	President
actually	actual	actually
identified	identifi	identified
as	as	a
a	a	a
national	nation	national
security	secur	security
threat	threat	threat
According	accord	According
to	to	to
The	the	The
Federalist	federalist	Federalist
,	,	,
The	the	The
Trump	trump	Trump
administration	administr	administration
will	will	will
reverse	revers	reverse
course	cours	course
from	from	from
previous	previous	previous
Obama	obama	Obama
administration	administr	administration
policy	polici	policy
,	,	,
eliminating	elimin	eliminating
climate	climat	climate
change	chang	change
from	from	from
a	a	a
list	list	list
of	of	of
national	nation	national
security	secur	security
threats	threat	threat
.	.	.

The	the	The
National	nation	National
Security	secur	Security
Strategy	strategi	Strategy
to	to	to
be	be	be
released	releas	released
on	on	on
Monday	monday	Monday
will	will	will
emphasize	emphas	emphasize
the	the	the
importance	import	importance
of	of	of
balancing	balanc	balancing
energy	energi	energy
security	secur	security
with	with	with
economic	econom	economic
development	develop	development
and	and	and
environmental	environment	environmental
protection	protect	protection
,	,	,
according	accord	according
to	to	to
a	a	a
source	sourc	source
who	who	who
has	has	ha
seen	seen	seen
the	the	the
document	document	document
and	and	and
shared	share	shared
excerpts	excerpt	excerpt
of	of	of
a	a	a
late	late	late
draft	draft	draft
.	.	.

Climate	climat	Climate
policies	polici	policy
will	will	will
continue	continu	continue
to	to	to
shape	shape	shape
the	the	the
global	global	global
energy	energi	energy
system	system	system
,	,	,
a	a	a
draft	draft	draft
of	of	of
the	the	the
National	nation	National
Security	secur	Security
Strategy	strategi	Strategy
slated	slate	slated
to	to	to
be	be	be
released	releas	released
on	on	on
Monday	monday	Monday
said	said	said
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
leadership	leadership	leadership
is	is	is
indispensable	indispens	indispensable
to	to	to
countering	counter	countering
an	an	an
anti	anti	anti
-growth	-growth	-growth
,	,	,
energy	energi	energy
agenda	agenda	agenda
that	that	that
is	is	is
detrimental	detriment	detrimental
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
economic	econom	economic
and	and	and
energy	energi	energy
security	secur	security
interests	interest	interest
.	.	.

Given	given	Given
future	futur	future
global	global	global
energy	energi	energy
demand	demand	demand
,	,	,
much	much	much
of	of	of
the	the	the
developing	develop	developing
world	world	world
will	will	will
require	requir	require
fossil	fossil	fossil
fuels	fuel	fuel
,	,	,
as	as	a
well	well	well
as	as	a
other	other	other
forms	form	form
of	of	of
energy	energi	energy
,	,	,
to	to	to
power	power	power
their	their	their
economies	economi	economy
and	and	and
lift	lift	lift
their	their	their
people	peopl	people
out	out	out
of	of	of
poverty	poverti	poverty
.	.	.

During	dure	During
his	his	his
successful	success	successful
campaign	campaign	campaign
,	,	,
Trump	trump	Trump
mocked	mock	mocked
Obama	obama	Obama
s	s	s
placement	placement	placement
of	of	of
climate	climat	climate
change	chang	change
in	in	in
the	the	the
context	context	context
of	of	of
national	nation	national
security	secur	security
.	.	.

Here	here	Here
s	s	s
a	a	a
sample	sampl	sample
of	of	of
his	his	his
approach	approach	approach
from	from	from
a	a	a
campaign	campaign	campaign
speech	speech	speech
in	in	in
Hilton	hilton	Hilton
Head	head	Head
,	,	,
South	south	South
Carolina	carolina	Carolina
,	,	,
in	in	in
late	late	late
2015	2015	2015
So	so	So
Obama	obama	Obama
s	s	s
always	alway	always
talking	talk	talking
about	about	about
the	the	the
global	global	global
warming	warm	warming
,	,	,
that	that	that
global	global	global
warming	warm	warming
is	is	is
our	our	our
biggest	biggest	biggest
and	and	and
most	most	most
dangerous	danger	dangerous
problem	problem	problem
,	,	,
OK	ok	OK
?	?	?

No	no	No
,	,	,
no	no	no
,	,	,
think	think	think
of	of	of
it	it	it
.	.	.

I	i	I
mean	mean	mean
,	,	,
even	even	even
if	if	if
you	you	you
re	re	re
a	a	a
believer	believ	believer
in	in	in
global	global	global
warming	warm	warming
,	,	,
ISIS	isi	ISIS
is	is	is
a	a	a
big	big	big
problem	problem	problem
,	,	,
Russia	russia	Russia
s	s	s
a	a	a
problem	problem	problem
,	,	,
China	china	China
s	s	s
a	a	a
problem	problem	problem
.	.	.

We	we	We
ve	ve	ve
got	got	got
a	a	a
lot	lot	lot
of	of	of
problems	problem	problem
.	.	.

By	by	By
the	the	the
way	way	way
,	,	,
the	the	the
maniac	maniac	maniac
in	in	in
North	north	North
Korea	korea	Korea
is	is	is
a	a	a
problem	problem	problem
.	.	.

He	he	He
actually	actual	actually
has	has	ha
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
right	right	right
?	?	?

That	that	That
s	s	s
a	a	a
problem	problem	problem
.	.	.
We	we	We
ve	ve	ve
got	got	got
a	a	a
lot	lot	lot
of	of	of
problems	problem	problem
.	.	.

We	we	We
ve	ve	ve
got	got	got
a	a	a
lot	lot	lot
of	of	of
problems	problem	problem
.	.	.

That	that	That
s	s	s
right	right	right
,	,	,
we	we	we
don	don	don
t	t	t
win	win	win
anymore	anymor	anymore
.	.	.

He	he	He
said	said	said
we	we	we
want	want	want
to	to	to
win	win	win
.	.	.

We	we	We
don	don	don
t	t	t
win	win	win
anymore	anymor	anymore
.	.	.

We	we	We
re	re	re
going	go	going
to	to	to
win	win	win
a	a	a
lot	lot	lot
if	if	if
I	i	I
get	get	get
elected	elect	elected
,	,	,
we	we	we
re	re	re
going	go	going
to	to	to
win	win	win
a	a	a
lot	lot	lot
.	.	.

Applause	applaus	Applause
We	we	We
re	re	re
going	go	going
to	to	to
win	win	win
so	so	so
much	much	much
we	we	we
re	re	re
going	go	going
to	to	to
win	win	win
a	a	a
lot	lot	lot
.	.	.

We	we	We
re	re	re
going	go	going
to	to	to
win	win	win
a	a	a
lot	lot	lot
.	.	.

We	we	We
re	re	re
going	go	going
to	to	to
win	win	win
so	so	so
much	much	much
you	you	you
re	re	re
all	all	all
going	go	going
to	to	to
get	get	get
sick	sick	sick
and	and	and
tired	tire	tired
of	of	of
winning	win	winning
.	.	.

You	you	You
re	re	re
going	go	going
to	to	to
say	say	say
oh	oh	oh
no	no	no
,	,	,
not	not	not
again	again	again
.	.	.

I	i	I
m	m	m
only	onli	only
kidding	kid	kidding
.	.	.

You	you	You
never	never	never
get	get	get
tired	tire	tired
of	of	of
winning	win	winning
,	,	,
right	right	right
?	?	?

Never	never	Never
.	.	.

Applause	applaus	Applause
But	but	But
think	think	think
of	of	of
it	it	it
.	.	.

So	so	So
Obama	obama	Obama
s	s	s
talking	talk	talking
about	about	about
all	all	all
of	of	of
this	this	this
with	with	with
the	the	the
global	global	global
warming	warm	warming
and	and	and
the	the	the
a	a	a
lot	lot	lot
of	of	of
it	it	it
s	s	s
a	a	a
hoax	hoax	hoax
,	,	,
it	it	it
s	s	s
a	a	a
hoax	hoax	hoax
.	.	.

I	i	I
mean	mean	mean
,	,	,
it	it	it
