Immediately	immedi	Immediately
following	follow	following
the	the	the
election	elect	election
,	,	,
a	a	a
few	few	few
leftist	leftist	leftist
designers	design	designer
announced	announc	announced
they	they	they
wouldn	wouldn	wouldn
t	t	t
work	work	work
with	with	with
Melania	melania	Melania
Trump	trump	Trump
.	.	.

Their	their	Their
decision	decis	decision
to	to	to
not	not	not
offer	offer	offer
their	their	their
fashion	fashion	fashion
creations	creation	creation
to	to	to
Melania	melania	Melania
hasn	hasn	hasn
t	t	t
seemed	seem	seemed
to	to	to
have	have	have
had	had	had
much	much	much
of	of	of
an	an	an
effect	effect	effect
on	on	on
her	her	her
.	.	.

Melania	melania	Melania
has	has	ha
brought	brought	brought
elegance	eleg	elegance
,	,	,
class	class	class
and	and	and
most	most	most
of	of	of
all	all	all
,	,	,
style	style	style
back	back	back
to	to	to
the	the	the
White	white	White
House	hous	House
that	that	that
we	we	we
haven	haven	haven
t	t	t
seen	seen	seen
since	sinc	since
the	the	the
Jackie	jacki	Jackie
Kennedy	kennedi	Kennedy
era	era	era
.	.	.
Apparently	appar	Apparently
,	,	,
Vanity	vaniti	Vanity
Fair	fair	Fair
missed	miss	missed
the	the	the
excitement	excit	excitement
and	and	and
enthusiasm	enthusiasm	enthusiasm
so	so	so
many	mani	many
women	women	woman
and	and	and
men	men	men
seem	seem	seem
to	to	to
have	have	have
for	for	for
seeing	see	seeing
photos	photo	photo
of	of	of
the	the	the
always	alway	always
meticulously	meticul	meticulously
dressed	dress	dressed
First	first	First
Lady	ladi	Lady
Melania	melania	Melania
Trump	trump	Trump
,	,	,
because	becaus	because
somehow	somehow	somehow
,	,	,
her	her	her
name	name	name
was	was	wa
kept	kept	kept
off	off	off
their	their	their
Best	best	Best
Dressed	dress	Dressed
Women	women	Women
of	of	of
2017	2017	2017
list	list	list
,	,	,
but	but	but
several	sever	several
names	name	name
that	that	that
appeared	appear	appeared
on	on	on
their	their	their
list	list	list
have	have	have
many	mani	many
Americans	american	Americans
scratching	scratch	scratching
their	their	their
heads	head	head
in	in	in
disbelief	disbelief	disbelief
.	.	.
Melania	melania	Melania
made	made	made
her	her	her
first	first	first
major	major	major
fashion	fashion	fashion
statement	statement	statement
on	on	on
the	the	the
day	day	day
her	her	her
husband	husband	husband
was	was	wa
inaugurated	inaugur	inaugurated
as	as	a
our	our	our
45th	45th	45th
President	presid	President
,	,	,
where	where	where
she	she	she
was	was	wa
seen	seen	seen
wearing	wear	wearing
a	a	a
stunning	stun	stunning
two	two	two
-piece	-piec	-piece
,	,	,
robin	robin	robin
s	s	s
egg	egg	egg
blue	blue	blue
,	,	,
Ralph	ralph	Ralph
Lauren	lauren	Lauren
suit	suit	suit
.	.	.
Later	later	Later
in	in	in
the	the	the
evening	even	evening
,	,	,
Melania	melania	Melania
stunned	stun	stunned
again	again	again
in	in	in
a	a	a
sleek	sleek	sleek
white	white	white
,	,	,
off	off	off
-the-shoulder	-the-should	-the-shoulder
column	column	column
dress	dress	dress
with	with	with
a	a	a
modest	modest	modest
slit	slit	slit
revealing	reveal	revealing
her	her	her
toned	tone	toned
legs	leg	leg
,	,	,
as	as	a
she	she	she
and	and	and
President	presid	President
Trump	trump	Trump
danced	danc	danced
to	to	to
Frank	frank	Frank
Sinatra	sinatra	Sinatra
s	s	s
My	my	My
Way	way	Way
.	.	.

There	there	There
have	have	have
been	been	been
countless	countless	countless
photos	photo	photo
of	of	of
Melania	melania	Melania
carrying	carri	carrying
herself	herself	herself
with	with	with
grace	grace	grace
,	,	,
class	class	class
,	,	,
and	and	and
elegance	eleg	elegance
as	as	a
truly	truli	truly
one	one	one
of	of	of
the	the	the
most	most	most
well	well	well
-dressed	-dress	-dressed
First	first	First
Lady	ladi	Lady
s	s	s
in	in	in
history	histori	history
.	.	.
Melania	melania	Melania
stunned	stun	stunned
the	the	the
world	world	world
in	in	in
her	her	her
luxurious	luxuri	luxurious
black	black	black
pants	pant	pant
suit	suit	suit
on	on	on
her	her	her
first	first	first
overseas	oversea	overseas
trip	trip	trip
to	to	to
Saudi	saudi	Saudi
Arabia	arabia	Arabia
with	with	with
President	presid	President
Trump	trump	Trump
Again	again	Again
,	,	,
Melania	melania	Melania
pulled	pull	pulled
off	off	off
another	anoth	another
amazing	amaz	amazing
pants	pant	pant
suit	suit	suit
on	on	on
her	her	her
trip	trip	trip
to	to	to
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
that	that	that
even	even	even
made	made	made
some	some	some
of	of	of
us	us	u
forget	forget	forget
about	about	about
the	the	the
damage	damag	damage
Hillary	hillari	Hillary
Clinton	clinton	Clinton
had	had	had
done	done	done
to	to	to
the	the	the
image	imag	image
of	of	of
pants	pant	pant
suits	suit	suit
on	on	on
women	women	woman
.	.	.
But	but	But
Vanity	vaniti	Vanity
Fair	fair	Fair
s	s	s
list	list	list
apparently	appar	apparently
is	is	is
less	less	le
a	a	a
list	list	list
of	of	of
well	well	well
dressed	dress	dressed
individuals	individu	individual
and	and	and
couples	coupl	couple
,	,	,
and	and	and
more	more	more
a	a	a
list	list	list
of	of	of
individuals	individu	individual
who	who	who
lean	lean	lean
left	left	left
.	.	.

Here	here	Here
are	are	are
a	a	a
few	few	few
of	of	of
the	the	the
people	peopl	people
who	who	who
did	did	did
make	make	make
Vanity	vaniti	Vanity
Fair	fair	Fair
s	s	s
list	list	list
Here	here	Here
are	are	are
a	a	a
few	few	few
of	of	of
the	the	the
people	peopl	people
who	who	who
did	did	did
make	make	make
Vanity	vaniti	Vanity
Fair	fair	Fair
s	s	s
Best	best	Best
Dressed	dress	Dressed
Women	women	Women
list	list	list
Beyonce	beyonc	Beyonce
s	s	s
sister	sister	sister
,	,	,
Yes	yes	Yes
,	,	,
the	the	the
same	same	same
sister	sister	sister
who	who	who
was	was	wa
caught	caught	caught
on	on	on
camera	camera	camera
beating	beat	beating
and	and	and
kicking	kick	kicking
Jay	jay	Jay
Z	z	Z
in	in	in
an	an	an
elevator	elev	elevator
.	.	.
Solange	solang	Solange
Knowles	knowl	Knowles
made	made	made
the	the	the
list	list	list
.	.	.

Because	becaus	Because
why	whi	why
?	?	?
We	we	We
don	don	don
t	t	t
need	need	need
to	to	to
go	go	go
into	into	into
the	the	the
whole	whole	whole
love	love	love
-fest	-fest	-fest
between	between	between
Solange	solang	Solange
s	s	s
much	much	much
more	more	more
famous	famous	famous
sister	sister	sister
Beyonce	beyonc	Beyonce
and	and	and
the	the	the
Obama	obama	Obama
s	s	s
,	,	,
do	do	do
we	we	we
?	?	?
And	and	And
the	the	the
entertainer	entertain	entertainer
Rhianna	rhianna	Rhianna
,	,	,
who	who	who
usually	usual	usually
looks	look	look
like	like	like
she	she	she
just	just	just
walked	walk	walked
out	out	out
a	a	a
freak	freak	freak
show	show	show
,	,	,
and	and	and
calls	call	call
women	women	woman
up	up	up
to	to	to
the	the	the
stage	stage	stage
while	while	while
she	she	she
s	s	s
performing	perform	performing
to	to	to
grind	grind	grind
on	on	on
them	them	them
in	in	in
front	front	front
of	of	of
a	a	a
packed	pack	packed
house	hous	house
,	,	,
was	was	wa
also	also	also
named	name	named
as	as	a
one	one	one
of	of	of
Vanity	vaniti	Vanity
Fair	fair	Fair
s	s	s
Best	best	Best
Dressed	dress	Dressed
.	.	.

Did	did	Did
we	we	we
mention	mention	mention
that	that	that
she	she	she
was	was	wa
a	a	a
huge	huge	huge
Obama	obama	Obama
supporter	support	supporter
?	?	?

When	when	When
she	she	she
visited	visit	visited
the	the	the
White	white	White
House	hous	House
,	,	,
she	she	she
told	told	told
her	her	her
fans	fan	fan
that	that	that
the	the	the
best	best	best
part	part	part
of	of	of
the	the	the
visit	visit	visit
was	was	wa
that	that	that
Obama	obama	Obama
was	was	wa
black	black	black
.	.	.

She	she	She
probably	probabl	probably
just	just	just
forgot	forgot	forgot
that	that	that
he	he	he
is	is	is
also	also	also
white	white	white
.	.	.

Anyhow	anyhow	Anyhow
,	,	,
it	it	it
s	s	s
probably	probabl	probably
pretty	pretti	pretty
clear	clear	clear
why	whi	why
Vanity	vaniti	Vanity
Fair	fair	Fair
chose	chose	chose
her	her	her
.	.	.
Vanity	vaniti	Vanity
Fair	fair	Fair
even	even	even
had	had	had
a	a	a
Best	best	Best
Dressed	dress	Dressed
Couples	coupl	Couples
category	categori	category
,	,	,
and	and	and
to	to	to
the	the	the
surprise	surpris	surprise
of	of	of
no	no	no
one	one	one
,	,	,
the	the	the
Obama	obama	Obama
s	s	s
and	and	and
the	the	the
Macron	macron	Macron
s	s	s
made	made	made
the	the	the
list	list	list
that	that	that
should	should	should
have	have	have
been	been	been
renamed	renam	renamed
the	the	the
High	high	High
Profile	profil	Profile
People	peopl	People
On	on	On
The	the	The
Left	left	Left
Who	who	Who
Wear	wear	Wear
Clothes	cloth	Clothes
.	.	.

Of	of	Of
course	cours	course
,	,	,
Michelle	michell	Michelle
and	and	and
Barack	barack	Barack
made	made	made
the	the	the
list	list	list
.	.	.

Even	even	Even
funnier	funnier	funnier
,	,	,
is	is	is
the	the	the
fact	fact	fact
that	that	that
Vanity	vaniti	Vanity
Fair	fair	Fair
chose	chose	chose
this	this	this
photo	photo	photo
to	to	to
highlight	highlight	highlight
Michelle	michell	Michelle
s	s	s
great	great	great
taste	tast	taste
in	in	in
clothing	cloth	clothing
.	.	.
And	and	And
then	then	then
there	there	there
s	s	s
the	the	the
leftist	leftist	leftist
first	first	first
couple	coupl	couple
of	of	of
France	franc	France
,	,	,
the	the	the
Macron	macron	Macron
s	s	s
.	.	.

We	we	We
must	must	must
concede	conced	concede
,	,	,
that	that	that
Emmanuel	emmanuel	Emmanuel
and	and	and
Brigitte	brigitt	Brigitte
Macron	macron	Macron
are	are	are
the	the	the
only	onli	only
leftists	leftist	leftist
on	on	on
this	this	this
list	list	list
that	that	that
we	we	we
believe	believ	believe
actually	actual	actually
have	have	have
any	ani	any
business	busi	business
being	be	being
on	on	on
a	a	a
Best	best	Best
Dressed	dress	Dressed
list	list	list
.	.	.

Like	like	Like
Melania	melania	Melania
Trump	trump	Trump
,	,	,
France	franc	France
s	s	s
first	first	first
lady	ladi	lady
never	never	never
disappoints	disappoint	disappoints
when	when	when
it	it	it
comes	come	come
to	to	to
fashion	fashion	fashion
.	.	.

Vanity	vaniti	Vanity
Fair	fair	Fair
did	did	did
however	howev	however
mention	mention	mention
Melania	melania	Melania
and	and	and
her	her	her
fashion	fashion	fashion
sense	sens	sense
in	in	in
arecent	arec	arecent
article	articl	article
,	,	,
but	but	but
it	it	it
was	was	wa
anything	anyth	anything
but	but	but
flattering	flatter	flattering
,	,	,
as	as	a
they	they	they
attempted	attempt	attempted
to	to	to
accuse	accus	accuse
her	her	her
of	of	of
copying	copi	copying
of	of	of
all	all	all
people	peopl	people
Michelle	michell	Michelle
Obama	obama	Obama
,	,	,
as	as	a
a	a	a
way	way	way
to	to	to
make	make	make
her	her	her
more	more	more
appealing	appeal	appealing
to	to	to
Americans	american	Americans
.	.	.

LOL	lol	LOL
!	!	!
From	from	From
the	the	the
Vanity	vaniti	Vanity
Fair	fair	Fair
article	articl	article
Melania	melania	Melania
Trump	trump	Trump
appears	appear	appears
to	to	to
be	be	be
taking	take	taking
a	a	a
page	page	page
out	out	out
of	of	of
the	the	the
Michelle	michell	Michelle
Obama	obama	Obama
book	book	book
of	of	of
fashion	fashion	fashion
.	.	.

The	the	The
usually	usual	usually
designer	design	designer
-clad	-clad	-clad
Trump	trump	Trump
flew	flew	flew
from	from	from
Camp	camp	Camp
David	david	David
to	to	to
D	d	D
.	.	.
C	c	C
.	.	.
over	over	over
the	the	the
weekend	weekend	weekend
wearing	wear	wearing
a	a	a
surprisingly	surpris	surprisingly
affordable	afford	affordable
75	75	75
pink	pink	pink
gingham	gingham	gingham
shirt	shirt	shirt
from	from	from
J	j	J
.	.	.
Crew	crew	Crew
along	along	along
with	with	with
a	a	a
pair	pair	pair
of	of	of
matching	match	matching
J	j	J
Brand	brand	Brand
pink	pink	pink
pants	pant	pant
and	and	and
Manolo	manolo	Manolo
Blahnik	blahnik	Blahnik
flats	flat	flat
.	.	.

According	accord	According
to	to	to
Yahoo	yahoo	Yahoo
Style	style	Style
Canada	canada	Canada
,	,	,
the	the	the
button	button	button
-up	-up	-up
top	top	top
is	is	is
a	a	a
discontinued	discontinu	discontinued
piece	piec	piece
from	from	from
the	the	the
brand	brand	brand
s	s	s
2012	2012	2012
collection	collect	collection
.	.	.

Perhaps	perhap	Perhaps
she	she	she
s	s	s
been	been	been
waiting	wait	waiting
to	to	to
save	save	save
the	the	the
economical	econom	economical
top	top	top
for	for	for
just	just	just
the	the	the
right	right	right
moment	moment	moment
in	in	in
her	her	her
First	first	First
Lady	ladi	Lady
reign	reign	reign
.	.	.
The	the	The
mall	mall	mall
brand	brand	brand
is	is	is
a	a	a
major	major	major
departure	departur	departure
from	from	from
the	the	the
First	first	First
Lady	ladi	Lady
s	s	s
typical	typic	typical
designer	design	designer
wardrobe	wardrob	wardrobe
,	,	,
which	which	which
is	is	is
occasionally	occasion	occasionally
criticized	critic	criticized
for	for	for
being	be	being
over	over	over
the	the	the
top	top	top
and	and	and
out	out	out
of	of	of
touch	touch	touch
.	.	.

Trump	trump	Trump
s	s	s
predecessor	predecessor	predecessor
Michelle	michell	Michelle
Obama	obama	Obama
was	was	wa
often	often	often
lauded	laud	lauded
for	for	for
wearing	wear	wearing
J	j	J
.	.	.
Crew	crew	Crew
during	dure	during
her	her	her
time	time	time
in	in	in
the	the	the
White	white	White
House	hous	House
,	,	,
coming	come	coming
across	across	across
as	as	a
a	a	a
more	more	more
relatable	relat	relatable
and	and	and
accessible	access	accessible
First	first	First
Lady	ladi	Lady
than	than	than
many	mani	many
in	in	in
the	the	the
past	past	past
.	.	.

It	it	It
seems	seem	seems
entirely	entir	entirely
possible	possibl	possible
that	that	that
Trump	trump	Trump
is	is	is
ripping	rip	ripping
out	out	out
a	a	a
page	page	page
from	from	from
the	the	the
Obama	obama	Obama
handbook	handbook	handbook
in	in	in
order	order	order
to	to	to
drum	drum	drum
up	up	up
some	some	some
much	much	much
-needed	-need	-needed
goodwill	goodwil	goodwill
from	from	from
the	the	the
public	public	public
.	.	.

