Ahead	ahead	Ahead
of	of	of
the	the	the
launch	launch	launch
of	of	of
her	her	her
daily	daili	daily
morning	morn	morning
show	show	show
,	,	,
Megyn	megyn	Megyn
Kelly	kelli	Kelly
Today	today	Today
,	,	,
the	the	the
NBC	nbc	NBC
News	news	News
journalist	journalist	journalist
stopped	stop	stopped
by	by	by
The	the	The
Ellen	ellen	Ellen
DeGeneres	degener	DeGeneres
Show	show	Show
,	,	,
where	where	where
she	she	she
explained	explain	explained
how	how	how
Donald	donald	Donald
Trump	trump	Trump
influenced	influenc	influenced
her	her	her
decision	decis	decision
to	to	to
leave	leav	leave
Fox	fox	Fox
News	news	News
after	after	after
12	12	12
years	year	year
.	.	.

THRIt	thrit	THRIt
s	s	s
pretty	pretti	pretty
clear	clear	clear
by	by	by
Ellen	ellen	Ellen
s	s	s
reactions	reaction	reaction
to	to	to
Kelly	kelli	Kelly
s	s	s
answers	answer	answer
that	that	that
she	she	she
s	s	s
not	not	not
a	a	a
fan	fan	fan
,	,	,
and	and	and
that	that	that
as	as	a
an	an	an
employee	employe	employee
of	of	of
NBC	nbc	NBC
,	,	,
she	she	she
s	s	s
being	be	being
forced	forc	forced
to	to	to
take	take	take
one	one	one
for	for	for
the	the	the
team	team	team
with	with	with
this	this	this
very	veri	very
forced	forc	forced
interview	interview	interview
of	of	of
the	the	the
very	veri	very
unpopular	unpopular	unpopular
Megyn	megyn	Megyn
Kelly	kelli	Kelly
prior	prior	prior
to	to	to
the	the	the
debut	debut	debut
of	of	of
her	her	her
new	new	new
show	show	show
.	.	.
Watch	watch	Watch
,	,	,
as	as	a
Kelly	kelli	Kelly
attempts	attempt	attempt
to	to	to
convince	convinc	convince
Degeneres	degener	Degeneres
that	that	that
after	after	after
several	sever	several
years	year	year
of	of	of
making	make	making
a	a	a
fortune	fortun	fortune
on	on	on
FOX	fox	FOX
News	news	News
where	where	where
she	she	she
became	becam	became
popular	popular	popular
for	for	for
what	what	what
appeared	appear	appeared
to	to	to
be	be	be
her	her	her
passionate	passion	passionate
political	polit	political
views	view	view
,	,	,
that	that	that
she	she	she
was	was	wa
never	never	never
a	a	a
political	polit	political
person	person	person
.	.	.

LOL	lol	LOL
!	!	!

Kelly	kelli	Kelly
spent	spent	spent
a	a	a
good	good	good
time	time	time
of	of	of
her	her	her
interview	interview	interview
with	with	with
Degeneres	degener	Degeneres
deflecting	deflect	deflecting
from	from	from
her	her	her
unpopularity	unpopular	unpopularity
with	with	with
the	the	the
general	general	general
public	public	public
by	by	by
blaming	blame	blaming
President	presid	President
Trump	trump	Trump
for	for	for
her	her	her
decision	decis	decision
to	to	to
accept	accept	accept
17	17	17
million	million	million
from	from	from
NBC	nbc	NBC
to	to	to
make	make	make
the	the	the
move	move	move
to	to	to
fluff	fluff	fluff
journalism	journal	journalism
.	.	.

Donald	donald	Donald
Trump	trump	Trump
has	has	ha
a	a	a
way	way	way
of	of	of
clarifying	clarifi	clarifying
one	one	one
s	s	s
life	life	life
choices	choic	choice
and	and	and
that	that	that
was	was	wa
true	true	true
in	in	in
my	my	my
case	case	case
,	,	,
too	too	too
,	,	,
Kelly	kelli	Kelly
said	said	said
,	,	,
explaining	explain	explaining
how	how	how
she	she	she
was	was	wa
struck	struck	struck
by	by	by
how	how	how
her	her	her
primetime	primetim	primetime
news	news	news
coverage	coverag	coverage
became	becam	became
all	all	all
political	polit	political
.	.	.

When	when	When
Kelly	kelli	Kelly
contemplated	contempl	contemplated
