If	if	If
there	there	there
s	s	s
someone	someon	someone
who	who	who
has	has	ha
always	alway	always
stood	stood	stood
up	up	up
for	for	for
the	the	the
rights	right	right
of	of	of
women	women	woman
,	,	,
it	it	it
s	s	s
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.

In	in	In
fact	fact	fact
,	,	,
it	it	it
s	s	s
been	been	been
pretty	pretti	pretty
much	much	much
her	her	her
life	life	life
s	s	s
work	work	work
.	.	.

So	so	So
,	,	,
when	when	when
a	a	a
robotic	robot	robotic
,	,	,
mansplaining	mansplain	mansplaining
candidate	candid	candidate
like	like	like
Republican	republican	Republican
Sen	sen	Sen
.	.	.

Marco	marco	Marco
Rubio	rubio	Rubio
decided	decid	decided
he	he	he
would	would	would
throw	throw	throw
jabs	jab	jab
at	at	at
Clinton	clinton	Clinton
and	and	and
her	her	her
stance	stanc	stance
on	on	on
abortion	abort	abortion
rights	right	right
,	,	,
as	as	a
well	well	well
as	as	a
abortion	abort	abortion
rights	right	right
in	in	in
general	general	general
,	,	,
she	she	she
did	did	did
not	not	not
hold	hold	hold
back	back	back
her	her	her
opinion	opinion	opinion
of	of	of
the	the	the
Florida	florida	Florida
Senator	senat	Senator
.	.	.
On	on	On
ABC	abc	ABC
s	s	s
This	this	This
Week	week	Week
she	she	she
said	said	said
It	it	It
s	s	s
really	realli	really
quite	quit	quite
sad	sad	sad
to	to	to
see	see	see
what	what	what
Senator	senat	Senator
Rubio	rubio	Rubio
is	is	is
becoming	becom	becoming
in	in	in
this	this	this
campaign	campaign	campaign
.	.	.

Everybody	everybodi	Everybody
understands	understand	understands
that	that	that
he	he	he
is	is	is
diving	dive	diving
as	as	a
far	far	far
right	right	right
as	as	a
he	he	he
possibly	possibl	possibly
can	can	can
.	.	.

I	i	I
ve	ve	ve
been	been	been
on	on	on
record	record	record
for	for	for
many	mani	many
years	year	year
about	about	about
where	where	where
I	i	I
stand	stand	stand
on	on	on
abortion	abort	abortion
,	,	,
how	how	how
it	it	it
should	should	should
be	be	be
safe	safe	safe
and	and	and
legal	legal	legal
.	.	.

And	and	And
I	i	I
ve	ve	ve
had	had	had
the	the	the
same	same	same
position	posit	position
that	that	that
I	i	I
ve	ve	ve
had	had	had
for	for	for
a	a	a
very	veri	very
long	long	long
time	time	time
.	.	.

But	but	But
what	what	what
s	s	s
really	realli	really
going	go	going
on	on	on
here	here	here
is	is	is
an	an	an
effort	effort	effort
by	by	by
the	the	the
Republicans	republican	Republicans
to	to	to
keep	keep	keep
pushing	push	pushing
as	as	a
far	far	far
as	as	a
they	they	they
can	can	can
to	to	to
overturn	overturn	overturn
Roe	roe	Roe
v	v	v
.	.	.

Wade	wade	Wade
,	,	,
to	to	to
defund	defund	defund
Planned	plan	Planned
Parenthood	parenthood	Parenthood
,	,	,
to	to	to
make	make	make
accusations	accus	accusation
and	and	and
attacks	attack	attack
that	that	that
are	are	are
really	realli	really
extreme	extrem	extreme
It	it	It
s	s	s
just	just	just
so	so	so
unfortunate	unfortun	unfortunate
that	that	that
politicians	politician	politician
like	like	like
Senator	senat	Senator
Rubio	rubio	Rubio
are	are	are
trying	tri	trying
to	to	to
politicize	politic	politicize
these	these	these
kinds	kind	kind
of	of	of
concerns	concern	concern
and	and	and
I	i	I
don	don	don
t	t	t
think	think	think
he	he	he
should	should	should
be	be	be
allowed	allow	allowed
to	to	to
get	get	get
away	away	away
with	with	with
that	that	that
.	.	.

Rubio	rubio	Rubio
had	had	had
stated	state	stated
that	that	that
Clinton	clinton	Clinton
would	would	would
support	support	support
abortion	abort	abortion
even	even	even
on	on	on
the	the	the
due	due	due
date	date	date
of	of	of
that	that	that
unborn	unborn	unborn
child	child	child
during	dure	during
Saturday	saturday	Saturday
night	night	night
s	s	s
GOP	gop	GOP
debate	debat	debate
.	.	.
While	while	While
appearing	appear	appearing
on	on	on
CBS	cbs	CBS
Face	face	Face
the	the	the
Nation	nation	Nation
Clinton	clinton	Clinton
reiterated	reiter	reiterated
her	her	her
disgust	disgust	disgust
in	in	in
his	his	his
comments	comment	comment
,	,	,
saying	say	saying
I	i	I
think	think	think
it	it	it
s	s	s
pretty	pretti	pretty
pathetic	pathet	pathetic
.	.	.

This	this	This
is	is	is
something	someth	something
that	that	that
illustrates	illustr	illustrates
how	how	how
Senator	senat	Senator
Rubio	rubio	Rubio
has	has	ha
just	just	just
been	been	been
going	go	going
as	as	a
far	far	far
as	as	a
he	he	he
can	can	can
to	to	to
try	tri	try
to	to	to
,	,	,
I	i	I
guess	guess	guess
,	,	,
buttress	buttress	buttress
his	his	his
credentials	credenti	credential
with	with	with
certain	certain	certain
parts	part	part
of	of	of
the	the	the
Republican	republican	Republican
constituency	constitu	constituency
.	.	.

I	i	I
ve	ve	ve
been	been	been
on	on	on
record	record	record
for	for	for
years	year	year
about	about	about
where	where	where
I	i	I
stand	stand	stand
on	on	on
making	make	making
abortions	abort	abortion
safe	safe	safe
and	and	and
legal	legal	legal
,	,	,
the	the	the
exceptions	except	exception
that	that	that
are	are	are
appropriate	appropri	appropriate
that	that	that
should	should	should
be	be	be
looked	look	looked
into	into	into
.	.	.

And	and	And
the	the	the
very	veri	very
difficult	difficult	difficult
choices	choic	choice
that	that	that
very	veri	very
few	few	few
women	women	woman
have	have	have
to	to	to
confront	confront	confront
that	that	that
lead	lead	lead
to	to	to
excruciating	excruci	excruciating
kinds	kind	kind
of	of	of
decisions	decis	decision
.	.	.

Decisions	decis	Decisions
Rubio	rubio	Rubio
,	,	,
sans	san	sans
uterus	uterus	uterus
,	,	,
will	will	will
never	never	never
have	have	have
to	to	to
face	face	face
.	.	.
It	it	It
s	s	s
disgusting	disgust	disgusting
that	that	that
women	women	woman
and	and	and
their	their	their
reproductive	reproduct	reproductive
rights	right	right
are	are	are
politicized	politic	politicized
each	each	each
and	and	and
every	everi	every
election	elect	election
cycle	cycl	cycle
,	,	,
because	becaus	because
it	it	it
s	s	s
pretty	pretti	pretty
much	much	much
they	they	they
only	onli	only
social	social	social
issue	issu	issue
the	the	the
GOP	gop	GOP
has	has	ha
left	left	left
to	to	to
get	get	get
people	peopl	people
to	to	to
the	the	the
polls	poll	poll
,	,	,
especially	especi	especially
now	now	now
that	that	that
marriage	marriag	marriage
equality	equal	equality
is	is	is
law	law	law
of	of	of
the	the	the
land	land	land
.	.	.
What	what	What
a	a	a
woman	woman	woman
does	doe	doe
with	with	with
her	her	her
body	bodi	body
is	is	is
her	her	her
decision	decis	decision
,	,	,
and	and	and
her	her	her
decision	decis	decision
alone	alon	alone
.	.	.

No	no	No
ifs	if	ifs
,	,	,
ands	and	ands
or	or	or
buts	but	buts
about	about	about
it	it	it
.	.	.

And	and	And
unless	unless	unless
these	these	these
Republican	republican	Republican
men	men	men
are	are	are
cool	cool	cool
with	with	with
restrictions	restrict	restriction
for	for	for
their	their	their
bodies	bodi	body
as	as	a
well	well	well
,	,	,
they	they	they
better	better	better
STFU	stfu	STFU
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
calls	call	call
Rubio's	rubio	Rubio's
comments	comment	comment
on	on	on
her	her	her
abortion	abort	abortion
stance	stanc	stance
pathetic	pathet	pathetic
an	an	an
attempt	attempt	attempt
to	to	to
buttress	buttress	buttress
his	his	his
credentials	credenti	credential
https://t.co/u7wY0TcpCn	https://t.co/u7wy0tcpcn	https://t.co/u7wY0TcpCn
Face	face	Face
The	the	The
Nation	nation	Nation
@FaceTheNation	@facethen	@FaceTheNation
February	februari	February
7	7	7
,	,	,
2016Video	2016video	2016Video
Featured	featur	Featured
image	imag	image
CBS	cbs	CBS
News	news	News

