David	david	David
Letterman	letterman	Letterman
may	may	may
be	be	be
retired	retir	retired
but	but	but
his	his	his
opinion	opinion	opinion
about	about	about
Donald	donald	Donald
Trump	trump	Trump
still	still	still
carries	carri	carry
a	a	a
lot	lot	lot
of	of	of
weight	weight	weight
,	,	,
especially	especi	especially
when	when	when
you	you	you
consider	consid	consider
that	that	that
he	he	he
has	has	ha
interviewed	interview	interviewed
him	him	him
many	mani	many
times	time	time
over	over	over
the	the	the
years	year	year
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
the	the	the
New	new	New
York	york	York
Times	time	Times
,	,	,
the	the	the
legendary	legendari	legendary
comedian	comedian	comedian
who	who	who
formerly	former	formerly
hosted	host	hosted
The	the	The
Late	late	Late
Show	show	Show
talked	talk	talked
about	about	about
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
and	and	and
how	how	how
the	the	the
two	two	two
used	use	used
to	to	to
interact	interact	interact
on	on	on
the	the	the
program	program	program
whenever	whenev	whenever
Trump	trump	Trump
was	was	wa
a	a	a
guest	guest	guest
.	.	.
Nobody	nobodi	Nobody
took	took	took
him	him	him
seriously	serious	seriously
,	,	,
and	and	and
people	peopl	people
loved	love	loved
him	him	him
when	when	when
he	he	he
would	would	would
come	come	come
on	on	on
the	the	the
show	show	show
,	,	,
Letterman	letterman	Letterman
said	said	said
.	.	.
I	i	I
would	would	would
make	make	make
fun	fun	fun
of	of	of
his	his	his
hair	hair	hair
,	,	,
I	i	I
would	would	would
call	call	call
him	him	him
a	a	a
slumlord	slumlord	slumlord
,	,	,
I	i	I
would	would	would
make	make	make
fun	fun	fun
of	of	of
his	his	his
ties	tie	tie
and	and	and
he	he	he
could	could	could
just	just	just
take	take	take
a	a	a
punch	punch	punch
like	like	like
nothing	noth	nothing
.	.	.
He	he	He
was	was	wa
the	the	the
perfect	perfect	perfect
guest	guest	guest
.	.	.
That	that	That
s	s	s
a	a	a
complete	complet	complete
flip	flip	flip
from	from	from
the	the	the
Trump	trump	Trump
the	the	the
public	public	public
has	has	ha
seen	seen	seen
over	over	over
the	the	the
last	last	last
year	year	year
and	and	and
a	a	a
half	half	half
.	.	.
Trump	trump	Trump
is	is	is
known	known	known
for	for	for
having	have	having
a	a	a
thin	thin	thin
skin	skin	skin
and	and	and
he	he	he
often	often	often
lashes	lash	lash
out	out	out
over	over	over
the	the	the
smallest	smallest	smallest
slights	slight	slight
against	against	against
him	him	him
.	.	.
Just	just	Just
a	a	a
simple	simpl	simple
criticism	critic	criticism
is	is	is
enough	enough	enough
to	to	to
send	send	send
him	him	him
over	over	over
the	the	the
edge	edg	edge
,	,	,
whether	whether	whether
it	it	it
s	s	s
on	on	on
Twitter	twitter	Twitter
or	or	or
during	dure	during
his	his	his
rallies	ralli	rally
.	.	.
It	it	It
was	was	wa
during	dure	during
one	one	one
such	such	such
rally	ralli	rally
when	when	when
Trump	trump	Trump
attacked	attack	attacked
a	a	a
reporter	report	reporter
critical	critic	critical
of	of	of
his	his	his
campaign	campaign	campaign
by	by	by
mocking	mock	mocking
his	his	his
disability	disabl	disability
on	on	on
stage	stage	stage
in	in	in
one	one	one
of	of	of
the	the	the
most	most	most
disgraceful	disgrac	disgraceful
moments	moment	moment
of	of	of
the	the	the
2016	2016	2016
Election	elect	Election
season	season	season
.	.	.
And	and	And
