This	this	This
week	week	week
,	,	,
Senator	senat	Senator
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
sent	sent	sent
a	a	a
letter	letter	letter
to	to	to
the	the	the
Center	center	Center
for	for	for
Disease	diseas	Disease
Control	control	Control
s	s	s
Director	director	Director
,	,	,
Thomas	thoma	Thomas
Friedman	friedman	Friedman
.	.	.

In	in	In
the	the	the
letter	letter	letter
,	,	,
Warren	warren	Warren
urges	urg	urge
them	them	them
to	to	to
begin	begin	begin
to	to	to
consider	consid	consider
medical	medic	medical
marijuana	marijuana	marijuana
as	as	a
a	a	a
way	way	way
of	of	of
combating	combat	combating
skyrocketing	skyrocket	skyrocketing
rates	rate	rate
of	of	of
opioid	opioid	opioid
addiction	addict	addiction
.	.	.
Warren	warren	Warren
called	call	called
for	for	for
the	the	the
CDC	cdc	CDC
to	to	to
do	do	do
two	two	two
things	thing	thing
specifically	specif	specifically
in	in	in
her	her	her
letter	letter	letter
.	.	.

Warren	warren	Warren
wants	want	want
the	the	the
CDC	cdc	CDC
to	to	to
work	work	work
with	with	with
other	other	other
organizations	organ	organization
to	to	to
fill	fill	fill
in	in	in
the	the	the
gaps	gap	gap
in	in	in
the	the	the
government	govern	government
s	s	s
knowledge	knowledg	knowledge
on	on	on
the	the	the
the	the	the
use	use	use
,	,	,
uptake	uptak	uptake
and	and	and
effectiveness	effect	effectiveness
of	of	of
medical	medic	medical
marijuana	marijuana	marijuana
as	as	a
an	an	an
alternative	altern	alternative
to	to	to
opioids	opioid	opioids
for	for	for
pain	pain	pain
treatment	treatment	treatment
in	in	in
states	state	state
where	where	where
it	it	it
is	is	is
legal	legal	legal
.	.	.

Warren	warren	Warren
also	also	also
asked	ask	asked
for	for	for
them	them	them
to	to	to
find	find	find
out	out	out
more	more	more
about	about	about
the	the	the
the	the	the
impact	impact	impact
of	of	of
the	the	the
legalization	legal	legalization
of	of	of
medical	medic	medical
and	and	and
recreational	recreat	recreational
marijuana	marijuana	marijuana
on	on	on
opioid	opioid	opioid
overdose	overdos	overdose
deaths	death	death
.	.	.
The	the	The
CDC	cdc	CDC
s	s	s
own	own	own
website	websit	website
makes	make	make
it	it	it
very	veri	very
clear	clear	clear
that	that	that
there	there	there
is	is	is
a	a	a
problem	problem	problem
with	with	with
patients	patient	patient
being	be	being
overprescribed	overprescrib	overprescribed
opiates	opiat	opiate
and	and	and
the	the	the
deadly	dead	deadly
consequences	consequ	consequence
it	it	it
has	has	ha
had	had	had
on	on	on
society	societi	society
.	.	.

They	they	They
write	write	write
In	in	In
a	a	a
period	period	period
of	of	of
nine	nine	nine
months	month	month
,	,	,
a	a	a
tiny	tini	tiny
Kentucky	kentucki	Kentucky
county	counti	county
of	of	of
fewer	fewer	fewer
than	than	than
12	12	12
,	,	,
000	000	000
people	peopl	people
sees	see	see
a	a	a
53	53	53
-year-old	-year-old	-year-old
mother	mother	mother
,	,	,
her	her	her
35	35	35
-year-old	-year-old	-year-old
son	son	son
,	,	,
and	and	and
seven	seven	seven
others	other	others
die	die	die
by	by	by
overdosing	overdos	overdosing
on	on	on
prescription	prescript	prescription
painkillers	painkil	painkiller
obtained	obtain	obtained
from	from	from
pain	pain	pain
clinics	clinic	clinic
in	in	in
Florida	florida	Florida
.	.	.

In	in	In
Utah	utah	Utah
,	,	,
a	a	a
13	13	13
-year-old	-year-old	-year-old
fatally	fatal	fatally
overdoses	overdos	overdoses
on	on	on
oxycodone	oxycodon	oxycodone
pills	pill	pill
taken	taken	taken
from	from	from
a	a	a
friend	friend	friend
s	s	s
grandmother	grandmoth	grandmother
.	.	.

A	a	A
20	20	20
-year-old	-year-old	-year-old
Boston	boston	Boston
man	man	man
dies	die	dy
from	from	from
an	an	an
overdose	overdos	overdose
of	of	of
methadone	methadon	methadone
,	,	,
only	onli	only
a	a	a
year	year	year
after	after	after
his	his	his
friend	friend	friend
also	also	also
died	die	died
from	from	from
a	a	a
prescription	prescript	prescription
painkiller	painkil	painkiller
overdose	overdos	overdose
.	.	.
These	these	These
are	are	are
not	not	not
isolated	isol	isolated
events	event	event
.	.	.

Each	each	Each
day	day	day
,	,	,
44	44	44
people	peopl	people
in	in	in
the	the	the
United	unit	United
States	state	States
die	die	die
from	from	from
overdose	overdos	overdose
of	of	of
prescription	prescript	prescription
painkillers	painkil	painkiller
.	.	.

Chronic	chronic	Chronic
pain	pain	pain
is	is	is
the	the	the
number	number	number
one	one	one
reason	reason	reason
that	that	that
