IT	it	IT
S	s	S
TIME	time	TIME
TO	to	TO
DRAIN	drain	DRAIN
OBAMA	obama	OBAMA
S	s	S
SWAMP	swamp	SWAMP
!	!	!
Rep	rep	Rep
.	.	.
Jason	jason	Jason
Chaffetz	chaffetz	Chaffetz
,	,	,
the	the	the
head	head	head
of	of	of
the	the	the
House	hous	House
Oversight	oversight	Oversight
Committee	committe	Committee
,	,	,
criticized	critic	criticized
the	the	the
director	director	director
of	of	of
the	the	the
federal	feder	federal
Office	offic	Office
of	of	of
Government	govern	Government
Ethics	ethic	Ethics
on	on	on
Thursday	thursday	Thursday
over	over	over
his	his	his
criticism	critic	criticism
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
plan	plan	plan
to	to	to
address	address	address
conflicts	conflict	conflict
of	of	of
interest	interest	interest
.	.	.
And	and	And
he	he	he
threatened	threaten	threatened
to	to	to
subpoena	subpoena	subpoena
the	the	the
official	offici	official
,	,	,
Walter	walter	Walter
Shaub	shaub	Shaub
,	,	,
if	if	if
he	he	he
refuses	refus	refuse
to	to	to
participate	particip	participate
in	in	in
an	an	an
official	offici	official
interview	interview	interview
.	.	.
He	he	He
seems	seem	seems
to	to	to
be	be	be
acting	act	acting
prematurely	prematur	prematurely
at	at	at
best	best	best
,	,	,
without	without	without
doing	do	doing
investigations	investig	investigation
or	or	or
thorough	thorough	thorough
looks	look	look
,	,	,
Chaffetz	chaffetz	Chaffetz
said	said	said
in	in	in
an	an	an
interview	interview	interview
.	.	.
He	he	He
s	s	s
rendering	render	rendering
opinions	opinion	opinion
publicly	public	publicly
that	that	that
really	realli	really
cause	caus	cause
you	you	you
to	to	to
scratch	scratch	scratch
your	your	your
head	head	head
.	.	.
We	we	We
need	need	need
the	the	the
Office	offic	Office
of	of	of
Government	govern	Government
Ethics	ethic	Ethics
to	to	to
act	act	act
ethically	ethic	ethically
.	.	.
Ironically	iron	Ironically
,	,	,
that	that	that
s	s	s
not	not	not
what	what	what
they	they	they
re	re	re
doing	do	doing
.	.	.
Shaub	shaub	Shaub
,	,	,
an	an	an
appointee	appointe	appointee
of	of	of
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
has	has	ha
been	been	been
a	a	a
frequent	frequent	frequent
critics	critic	critic
of	of	of
the	the	the
incoming	incom	incoming
administration	administr	administration
s	s	s
ethics	ethic	ethic
plans	plan	plan
,	,	,
peaking	peak	peaking
Wednesday	wednesday	Wednesday
when	when	when
he	he	he
called	call	called
Trump	trump	Trump
s	s	s
newly	newli	newly
unveiled	unveil	unveiled
conflicts	conflict	conflict
of	of	of
interest	interest	interest
policy	polici	policy
meaningless	meaningless	meaningless
.	.	.
The	the	The
public	public	public
rebuke	rebuk	rebuke
of	of	of
Trump	trump	Trump
s	s	s
business	busi	business
arrangements	arrang	arrangement
came	came	came
during	dure	during
a	a	a
press	press	press
conference	confer	conference
at	at	at
the	the	the
Brookings	brook	Brookings
Institution	institut	Institution
that	that	that
included	includ	included
the	the	the
outspoken	outspoken	outspoken
former	former	former
White	white	White
House	hous	House
ethics	ethic	ethic
lawyers	lawyer	lawyer
for	for	for
Obama	obama	Obama
and	and	and
former	former	former
President	presid	President
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
.	.	.
In	in	In
his	his	his
remarks	remark	remark
,	,	,
Shaub	shaub	Shaub
said	said	said
the	the	the
president	presid	president
-elect	-elect	-elect
stepping	step	stepping
back	back	back
from	from	from
running	run	running
his	his	his
positions	posit	position
is	is	is
meaningless	meaningless	meaningless
from	from	from
a	a	a
conflict	conflict	conflict
of	of	of
interest	interest	interest
perspective	perspect	perspective
.	.	.
The	the	The
plan	plan	plan
does	doe	doe
not	not	not
comport	comport	comport
with	with	with
the	the	the
tradition	tradit	tradition
of	of	of
our	our	our
presidents	presid	president
over	over	over
the	the	the
last	last	last
40	40	40
years	year	year
,	,	,
he	he	he
added	ad	added
.	.	.
Chaffetz	chaffetz	Chaffetz
said	said	said
Shaub	shaub	Shaub
has	has	ha
refused	refus	refused
since	sinc	since
the	the	the
election	elect	election
to	to	to
agree	agre	agree
to	to	to
a	a	a
meeting	meet	meeting
to	to	to
discuss	discuss	discus
matters	matter	matter
related	relat	related
to	to	to
OGE	oge	OGE
s	s	s
public	public	public
remarks	remark	remark
about	about	about
Trump	trump	Trump
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
Republican	republican	Republican
-led	-led	-led
panel	panel	panel
s	s	s
plans	plan	plan
to	to	to
pass	pass	pas
language	languag	language
reauthorizing	reauthor	reauthorizing
the	the	the
office	offic	office
.	.	.
If	if	If
Shaub	shaub	Shaub
continues	continu	continues
to	to	to
resist	resist	resist
,	,	,
Chaffetz	chaffetz	Chaffetz
said	said	said
he	he	he
d	d	d
issue	issu	issue
a	a	a
subpoena	subpoena	subpoena
if	if	if
we	we	we
have	have	have
to	to	to
.	.	.
He	he	He
is	is	is
coming	come	coming
in	in	in
.	.	.
This	this	This
is	is	is
not	not	not
going	go	going
to	to	to
be	be	be
an	an	an
optional	option	optional
exercise	exercis	exercise
,	,	,
Chaffetz	chaffetz	Chaffetz
said	said	said
,	,	,
adding	ad	adding
that	that	that
he	he	he
expected	expect	expected
a	a	a
meeting	meet	meeting
within	within	within
a	a	a
few	few	few
weeks	week	week
.	.	.
Shaub	shaub	Shaub
s	s	s
5	5	5
-year	-year	-year
term	term	term
expires	expir	expires
in	in	in
January	januari	January
2018	2018	2018
.	.	.
We	we	We
need	need	need
a	a	a
fair	fair	fair
person	person	person
behind	behind	behind
the	the	the
plate	plate	plate
that	that	that
s	s	s
going	go	going
to	to	to
call	call	call
balls	ball	ball
and	and	and
strikes	strike	strike
,	,	,
Chaffetz	chaffetz	Chaffetz
said	said	said
.	.	.
What	what	What
they	they	they
re	re	re
supposed	suppos	supposed
to	to	to
do	do	do
is	is	is
help	help	help
work	work	work
with	with	with
somebody	somebodi	somebody
to	to	to
comply	compli	comply
with	with	with
the	the	the
ethics	ethic	ethic
requirements	requir	requirement
.	.	.
But	but	But
when	when	when
you	you	you
talk	talk	talk
publicly	public	publicly
about	about	about
private	privat	private
conversations	convers	conversation
,	,	,
that	that	that
s	s	s
not	not	not
ethical	ethic	ethical
.	.	.
And	and	And
when	when	when
you	you	you
refuse	refus	refuse
to	to	to
come	come	come
in	in	in
and	and	and
talk	talk	talk
to	to	to
the	the	the
committee	committe	committee
when	when	when
you	you	you
re	re	re
doing	do	doing
reauthorization	reauthor	reauthorization
,	,	,
when	when	when
you	you	you
start	start	start
tweeting	tweet	tweeting
and	and	and
issuing	issu	issuing
press	press	press
statements	statement	statement
on	on	on
things	thing	thing
you	you	you
never	never	never
looked	look	looked
at	at	at
,	,	,
that	that	that
shouldn	shouldn	shouldn
t	t	t
be	be	be
the	the	the
case	case	case
at	at	at
all	all	all
.	.	.
This	this	This
isn	isn	isn
t	t	t
Chaffetz	chaffetz	Chaffetz
s	s	s
first	first	first
time	time	time
challenging	challeng	challenging
Shaub	shaub	Shaub
.	.	.
In	in	In
late	late	late
2015	2015	2015
,	,	,
the	the	the
Republican	republican	Republican
accused	accus	accused
the	the	the
Obama	obama	Obama
appointee	appointe	appointee
of	of	of
giving	give	giving
Hillary	hillari	Hillary
Clinton	clinton	Clinton
a	a	a
pass	pass	pas
on	on	on
conflict	conflict	conflict
-of-interest	-of-interest	-of-interest
laws	law	law
over	over	over
speaking	speak	speaking
fees	fee	fee
she	she	she
and	and	and
her	her	her
husband	husband	husband
,	,	,
former	former	former
President	presid	President
Bill	bill	Bill
Clinton	clinton	Clinton
,	,	,
were	were	were
supposed	suppos	supposed
to	to	to
disclose	disclos	disclose
.	.	.
But	but	But
Chaffetz	chaffetz	Chaffetz
said	said	said
he	he	he
s	s	s
grown	grown	grown
more	more	more
frustrated	frustrat	frustrated
with	with	with
Shaub	shaub	Shaub
since	sinc	since
the	the	the
November	novemb	November
election	elect	election
and	and	and
also	also	also
singled	singl	singled
out	out	out
the	the	the
OGE	oge	OGE
s	s	s
use	use	use
of	of	of
its	it	it
official	offici	official
Twitter	twitter	Twitter
account	account	account
to	to	to
issue	issu	issue
a	a	a
bizarre	bizarr	bizarre
series	seri	series
of	of	of
posts	post	post
in	in	in
Trump	trump	Trump
s	s	s
own	own	own
staccato	staccato	staccato
style	style	style
congratulating	congratul	congratulating
the	the	the
president	presid	president
-elect	-elect	-elect
for	for	for
making	make	making
major	major	major
changes	chang	change
to	to	to
his	his	his
business	busi	business
arrangements	arrang	arrangement
.	.	.
For	for	For
entire	entir	entire
story	stori	story
POLITICO	politico	POLITICO
