While	while	While
Donald	donald	Donald
Trump	trump	Trump
is	is	is
back	back	back
peddling	peddl	peddling
on	on	on
several	sever	several
of	of	of
his	his	his
campaign	campaign	campaign
promises	promis	promise
,	,	,
like	like	like
the	the	the
wall	wall	wall
,	,	,
repealing	repeal	repealing
Obamacare	obamacar	Obamacare
,	,	,
prosecuting	prosecut	prosecuting
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
his	his	his
Muslim	muslim	Muslim
ban	ban	ban
,	,	,
in	in	in
an	an	an
interview	interview	interview
on	on	on
60	60	60
Minutes	minut	Minutes
,	,	,
Trump	trump	Trump
vowed	vow	vowed
that	that	that
he	he	he
would	would	would
immediately	immedi	immediately
institute	institut	institute
one	one	one
of	of	of
his	his	his
worst	worst	worst
promises	promis	promise
.	.	.
He	he	He
claimed	claim	claimed
he	he	he
ll	ll	ll
start	start	start
deporting	deport	deporting
undocumented	undocu	undocumented
residents	resid	resident
right	right	right
away	away	away
,	,	,
but	but	but
it	it	it
s	s	s
okay	okay	okay
because	becaus	because
it	it	it
s	s	s
only	onli	only
the	the	the
criminals	crimin	criminal
.	.	.
What	what	What
we	we	we
are	are	are
going	go	going
to	to	to
do	do	do
is	is	is
get	get	get
the	the	the
people	peopl	people
that	that	that
are	are	are
criminal	crimin	criminal
and	and	and
have	have	have
criminal	crimin	criminal
records	record	record
,	,	,
gang	gang	gang
members	member	member
,	,	,
drug	drug	drug
dealers	dealer	dealer
,	,	,
where	where	where
a	a	a
lot	lot	lot
of	of	of
these	these	these
people	peopl	people
,	,	,
probably	probabl	probably
2	2	2
million	million	million
,	,	,
it	it	it
could	could	could
be	be	be
even	even	even
3	3	3
million	million	million
,	,	,
we	we	we
are	are	are
getting	get	getting
them	them	them
out	out	out
of	of	of
our	our	our
country	countri	country
or	or	or
we	we	we
are	are	are
going	go	going
to	to	to
incarcerate	incarcer	incarcerate
,	,	,
Trump	trump	Trump
told	told	told
60	60	60
Minutes	minut	Minutes
correspondent	correspond	correspondent
Lesley	lesley	Lesley
Stahl	stahl	Stahl
,	,	,
according	accord	according
to	to	to
a	a	a
preview	preview	preview
of	of	of
the	the	the
interview	interview	interview
released	releas	released
by	by	by
CBS	cbs	CBS
.	.	.
But	but	But
we	we	we
re	re	re
getting	get	getting
them	them	them
out	out	out
of	of	of
our	our	our
country	countri	country
.	.	.
They	they	They
re	re	re
here	here	here
illegally	illeg	illegally
.	.	.
As	as	As
for	for	for
the	the	the
rest	rest	rest
of	of	of
the	the	the
undocumented	undocu	undocumented
immigrants	immigr	immigrant
After	after	After
the	the	the
border	border	border
is	is	is
secure	secur	secure
and	and	and
after	after	after
everything	everyth	everything
gets	get	get
normalized	normal	normalized
,	,	,
we	we	we
re	re	re
going	go	going
to	to	to
make	make	make
a	a	a
determination	determin	determination
on	on	on
the	the	the
people	peopl	people
that	that	that
they	they	they
re	re	re
talking	talk	talking
about	about	about
who	who	who
are	are	are
terrific	terrif	terrific
people	peopl	people
.	.	.
They	they	They
re	re	re
terrific	terrif	terrific
people	peopl	people
,	,	,
but	but	but
we	we	we
are	are	are
gonna	gonna	gonna
make	make	make
a	a	a
determination	determin	determination
at	at	at
that	that	that
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
But	but	But
before	befor	before
we	we	we
make	make	make
that	that	that
determination	determin	determination
it	it	it
s	s	s
very	veri	very
important	import	important
,	,	,
we	we	we
are	are	are
going	go	going
to	to	to
secure	secur	secure
our	our	our
border	border	border
.	.	.
The	the	The
Washington	washington	Washington
Post	post	Post
notes	note	note
that	that	that
the	the	the
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
,	,	,
in	in	in
2013	2013	2013
,	,	,
said	said	said
there	there	there
were	were	were
about	about	about
1	1	1
.	.	.
9	9	9
million	million	million
removable	remov	removable
criminal	crimin	criminal
aliens	alien	alien
.	.	.
That	that	That
number	number	number
is	is	is
not	not	not
just	just	just
about	about	about
people	peopl	people
who	who	who
are	are	are
here	here	here
illegally	illeg	illegally
.	.	.
Many	mani	Many
are	are	are
here	here	here
lawfully	law	lawfully
,	,	,
but	but	but
have	have	have
broken	broken	broken
the	the	the
law	law	law
.	.	.
Regardless	regardless	Regardless
,	,	,
there	there	there
are	are	are
some	some	some
major	major	major
civil	civil	civil
rights	right	right
and	and	and
logistical	logist	logistical
problems	problem	problem
,	,	,
including	includ	including
how	how	how
do	do	do
we	we	we
figure	figur	figure
out	out	out
exactly	exact	exactly
who	who	who
has	has	ha
committed	commit	committed
crimes	crime	crime
?	?	?
It	it	It
s	s	s
not	not	not
like	like	like
they	they	they
re	re	re
just	just	just
sitting	sit	sitting
in	in	in
jail	jail	jail
.	.	.
Robert	robert	Robert
Reich	reich	Reich
asks	ask	asks
this	this	this
Out	out	Out
of	of	of
an	an	an
estimated	estim	estimated
population	popul	population
of	of	of
11	11	11
million	million	million
undocumented	undocu	undocumented
immigrants	immigr	immigrant
,	,	,
how	how	how
exactly	exact	exactly
will	will	will
the	the	the
government	govern	government
identify	identifi	identify
these	these	these
people	peopl	people
?	?	?
Will	will	Will
there	there	there
