While	while	While
all	all	all
eyes	eye	eye
are	are	are
on	on	on
North	north	North
Korea	korea	Korea
and	and	and
Melania	melania	Melania
s	s	s
stilettos	stiletto	stiletto
RT	rt	RT
Competition	competit	Competition
for	for	for
superiority	superior	superiority
in	in	in
Artificial	artifici	Artificial
Intelligence	intellig	Intelligence
at	at	at
national	nation	national
level	level	level
will	will	will
most	most	most
likely	like	likely
cause	caus	cause
World	world	World
War	war	War
Three	three	Three
,	,	,
billionaire	billionair	billionaire
entrepreneur	entrepreneur	entrepreneur
Elon	elon	Elon
Musk	musk	Musk
has	has	ha
said	said	said
,	,	,
warning	warn	warning
that	that	that
an	an	an
AI	ai	AI
may	may	may
deem	deem	deem
first	first	first
use	use	use
its	it	it
best	best	best
chance	chanc	chance
of	of	of
winning	win	winning
.	.	.

China	china	China
,	,	,
Russia	russia	Russia
,	,	,
soon	soon	soon
all	all	all
countries	countri	country
with	with	with
strong	strong	strong
computer	comput	computer
science	scienc	science
.	.	.

Competition	competit	Competition
for	for	for
AI	ai	AI
superiority	superior	superiority
at	at	at
national	nation	national
level	level	level
most	most	most
likely	like	likely
cause	caus	cause
of	of	of
WW3	ww3	WW3
,	,	,
Musk	musk	Musk
tweeted	tweet	tweeted
.	.	.
China	china	China
,	,	,
Russia	russia	Russia
,	,	,
soon	soon	soon
all	all	all
countries	countri	country
w	w	w
strong	strong	strong
computer	comput	computer
science	scienc	science
.	.	.

Competition	competit	Competition
for	for	for
AI	ai	AI
superiority	superior	superiority
at	at	at
national	nation	national
level	level	level
most	most	most
likely	like	likely
cause	caus	cause
of	of	of
WW3	ww3	WW3
imo	imo	imo
.	.	.

Elon	elon	Elon
Musk	musk	Musk
@elonmusk	@elonmusk	@elonmusk
September	septemb	September
4	4	4
,	,	,
2017It	2017it	2017It
will	will	will
likely	like	likely
not	not	not
even	even	even
be	be	be
the	the	the
countries	countri	country
leaders	leader	leader
that	that	that
start	start	start
the	the	the
war	war	war
,	,	,
Musk	musk	Musk
elaborated	elabor	elaborated
,	,	,
but	but	but
one	one	one
of	of	of
the	the	the
AI	ai	AI
s	s	s
,	,	,
if	if	if
it	it	it
AI	ai	AI
decides	decid	decides
that	that	that
a	a	a
pre	pre	pre
-emptive	-emptiv	-emptive
strike	strike	strike
is	is	is
most	most	most
probable	probabl	probable
path	path	path
to	to	to
victory	victori	victory
.	.	.

May	may	May
be	be	be
initiated	initi	initiated
not	not	not
by	by	by
the	the	the
country	countri	country
leaders	leader	leader
,	,	,
but	but	but
one	one	one
of	of	of
the	the	the
AI's	ai	AI's
,	,	,
if	if	if
it	it	it
decides	decid	decides
that	that	that
a	a	a
prepemptive	prepempt	prepemptive
strike	strike	strike
is	is	is
most	most	most
probable	probabl	probable
path	path	path
to	to	to
victory	victori	victory
Elon	elon	Elon
Musk	musk	Musk
@elonmusk	@elonmusk	@elonmusk
September	septemb	September
4	4	4
,	,	,
2017The	2017the	2017The
SpaceX	spacex	SpaceX
founder	founder	founder
says	say	say
he	he	he
doubts	doubt	doubt
that	that	that
North	north	North
Korea	korea	Korea
can	can	can
launch	launch	launch
its	it	it
own	own	own
nuclear	nuclear	nuclear
strike	strike	strike
.	.	.

He	he	He
believes	believ	belief
that	that	that
Pyongyang	pyongyang	Pyongyang
launching	launch	launching
a	a	a
nuclear	nuclear	nuclear
missile	missil	missile
would	would	would
be	be	be
suicide	suicid	suicide
for	for	for
their	their	their
leadership	leadership	leadership
,	,	,
as	as	a
South	south	South
Korea	korea	Korea
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
China	china	China
would	would	would
invade	invad	invade
and	and	and
end	end	end
the	the	the
regime	regim	regime
immediately	immedi	immediately
.	.	.

NK	nk	NK
launching	launch	launching
a	a	a
nuclear	nuclear	nuclear
missile	missil	missile
would	would	would
be	be	be
suicide	suicid	suicide
for	for	for
their	their	their
leadership	leadership	leadership
,	,	,
as	as	a
SK	sk	SK
,	,	,
US	us	US
and	and	and
China	china	China
wd	wd	wd
invade	invad	invade
and	and	and
end	end	end
the	the	the
regime	regim	regime
immediately	immedi	immediately
Elon	elon	Elon
Musk	musk	Musk
@elonmusk	@elonmusk	@elonmusk
September	septemb	September
4	4	4
,	,	,
2017	2017	2017

