Dallas	dalla	Dallas
Police	polic	Police
Chief	chief	Chief
David	david	David
Brown	brown	Brown
just	just	just
completely	complet	completely
desecrated	desecr	desecrated
the	the	the
favorite	favorit	favorite
myth	myth	myth
of	of	of
gun	gun	gun
nuts	nut	nut
everywhere	everywher	everywhere
,	,	,
that	that	that
a	a	a
good	good	good
guy	guy	guy
with	with	with
a	a	a
gun	gun	gun
will	will	will
heroically	heroic	heroically
save	save	save
the	the	the
day	day	day
when	when	when
a	a	a
bad	bad	bad
guy	guy	guy
starts	start	start
shooting	shoot	shooting
.	.	.
We	we	We
ve	ve	ve
all	all	all
heard	heard	heard
it	it	it
from	from	from
the	the	the
NRA	nra	NRA
and	and	and
its	it	it
minions	minion	minion
,	,	,
the	the	the
delusional	delusion	delusional
fantasy	fantasi	fantasy
that	that	that
the	the	the
only	onli	only
thing	thing	thing
that	that	that
can	can	can
stop	stop	stop
a	a	a
bad	bad	bad
guy	guy	guy
with	with	with
a	a	a
gun	gun	gun
is	is	is
a	a	a
good	good	good
guy	guy	guy
with	with	with
a	a	a
gun	gun	gun
.	.	.
Turns	turn	Turns
out	out	out
,	,	,
this	this	this
is	is	is
BS	bs	BS
and	and	and
Brown	brown	Brown
just	just	just
explained	explain	explained
why	whi	why
.	.	.
Brown	brown	Brown
was	was	wa
taking	take	taking
questions	question	question
on	on	on
Monday	monday	Monday
following	follow	following
a	a	a
press	press	press
conference	confer	conference
discussing	discuss	discussing
the	the	the
vicious	vicious	vicious
attack	attack	attack
that	that	that
left	left	left
five	five	five
police	polic	police
officers	offic	officer
dead	dead	dead
on	on	on
Thursday	thursday	Thursday
.	.	.
He	he	He
was	was	wa
asked	ask	asked
about	about	about
the	the	the
open	open	open
carry	carri	carry
laws	law	law
in	in	in
Texas	texa	Texas
.	.	.
We	we	We
know	know	know
that	that	that
there	there	there
was	was	wa
at	at	at
least	least	least
one	one	one
gentleman	gentleman	gentleman
who	who	who
was	was	wa
a	a	a
subject	subject	subject
person	person	person
of	of	of
interest	interest	interest
,	,	,
during	dure	during
the	the	the
demonstration	demonstr	demonstration
he	he	he
had	had	had
an	an	an
AR	ar	AR
-15	-15	-15
around	around	around
his	his	his
around	around	around
his	his	his
shoulder	shoulder	shoulder
,	,	,
he	he	he
was	was	wa
asked	ask	asked
.	.	.
What	what	What
does	doe	doe
this	this	this
tell	tell	tell
you	you	you
about	about	about
people	peopl	people
using	use	using
the	the	the
new	new	new
Texas	texa	Texas
law	law	law
of	of	of
open	open	open
carry	carri	carry
at	at	at
a	a	a
demonstration	demonstr	demonstration
like	like	like
this	this	this
?	?	?
After	after	After
finding	find	finding
out	out	out
that	that	that
the	the	the
person	person	person
asking	ask	asking
the	the	the
question	question	question
was	was	wa
indeed	inde	indeed
local	local	local
,	,	,
Brown	brown	Brown
explained	explain	explained
the	the	the
position	posit	position
law	law	law
enforcement	enforc	enforcement
finds	find	find
themselves	themselv	themselves
in	in	in
as	as	a
a	a	a
result	result	result
of	of	of
open	open	open
carry	carri	carry
laws	law	law
put	put	put
in	in	in
place	place	place
by	by	by
lawmakers	lawmak	lawmaker
who	who	who
are	are	are
in	in	in
the	the	the
pocket	pocket	pocket
of	of	of
the	the	the
NRA	nra	NRA
.	.	.
In	in	In
the	the	the
process	process	process
,	,	,
he	he	he
completely	complet	completely
laid	laid	laid
waste	wast	waste
to	to	to
the	the	the
myth	myth	myth
of	of	of
a	a	a
good	good	good
guy	guy	guy
with	with	with
a	a	a
gun	gun	gun
saving	save	saving
the	the	the
day	day	day
.	.	.
All	all	All
right	right	right
,	,	,
so	so	so
,	,	,
it	it	it
s	s	s
a	a	a
little	littl	little
different	differ	different
here	here	here
in	in	in
Texas	texa	Texas
in	in	in
the	the	the
way	way	way
we	we	we
view	view	view
open	open	open
carry	carri	carry
,	,	,
concealed	conceal	concealed
carry	carri	carry
.	.	.
We	we	We
ve	ve	ve
had	had	had
great	great	great
dialogue	dialogu	dialogue
with	with	with
our	our	our
state	state	state
legislators	legisl	legislator
about	about	about
this	this	this
.	.	.
We	we	We
ve	ve	ve
expressed	express	expressed
all	all	all
of	of	of
our	our	our
concerns	concern	concern
.	.	.
We	we	We
are	are	are
trying	tri	trying
as	as	a
best	best	best
as	as	a
we	we	we
can	can	can
as	as	a
a	a	a
law	law	law
enforcement	enforc	enforcement
community	communiti	community
to	to	to
make	make	make
it	it	it
work	work	work
so	so	so
the	the	the
citizens	citizen	citizen
can	can	can
express	express	express
their	their	their
Second	second	Second
Amendment	amend	Amendment
rights	right	right
.	.	.
But	but	But
it	it	it
s	s	s
increasingly	increas	increasingly
challenging	challeng	challenging
when	when	when
people	peopl	people
have	have	have
AR	ar	AR
-15s	-15s	-15s
slung	slung	slung
over	over	over
and	and	and
shootings	shoot	shooting
occur	occur	occur
in	in	in
a	a	a
crowd	crowd	crowd
and	and	and
they	they	they
begin	begin	begin
running	run	running
,	,	,
and	and	and
we	we	we
don	don	don
t	t	t
know	know	know
or	or	or
we	we	we
don	don	don
t	t	t
know	know	know
if	if	if
they	they	they
re	re	re
the	the	the
shooter	shooter	shooter
or	or	or
not	not	not
,	,	,
or	or	or
they	they	they
begin	begin	begin
,	,	,
it	it	it
s	s	s
been	been	been
the	the	the
presumption	presumpt	presumption
that	that	that
a	a	a
good	good	good
guy	guy	guy
with	with	with
a	a	a
gun	gun	gun
is	is	is
the	the	the
best	best	best
way	way	way
to	to	to
resolve	resolv	resolve
some	some	some
of	of	of
these	these	these
things	thing	thing
.	.	.
Well	well	Well
,	,	,
we	we	we
don	don	don
t	t	t
know	know	know
who	who	who
the	the	the
good	good	good
guy	guy	guy
is	is	is
versus	versus	versus
who	who	who
the	the	the
bad	bad	bad
guy	guy	guy
is	is	is
if	if	if
everybody	everybodi	everybody
starts	start	start
shooting	shoot	shooting
,	,	,
and	and	and
we	we	we
ve	ve	ve
expressed	express	expressed
that	that	that
concern	concern	concern
as	as	a
well	well	well
.	.	.
Brown	brown	Brown
concluded	conclud	concluded
by	by	by
saying	say	saying
that	that	that
he	he	he
hopes	hope	hope
lawmakers	lawmak	lawmaker
will	will	will
listen	listen	listen
to	to	to
input	input	input
from	from	from
law	law	law
enforcement	enforc	enforcement
when	when	when
in	in	in
comes	come	come
to	to	to
gun	gun	gun
laws	law	law
.	.	.
I	i	I
have	have	have
every	everi	every
belief	belief	belief
and	and	and
trust	trust	trust
that	that	that
our	our	our
folks	folk	folk
are	are	are
listening	listen	listening
at	at	at
the	the	the
state	state	state
on	on	on
this	this	this
issue	issu	issue
,	,	,
particularly	particular	particularly
as	as	a
it	it	it
involves	involv	involves
protests	protest	protest
,	,	,
said	said	said
the	the	the
chief	chief	chief
.	.	.
He	he	He
also	also	also
noted	note	noted
that	that	that
time	time	time
after	after	after
time	time	time
,	,	,
congress	congress	congress
offers	offer	offer
thoughts	thought	thought
and	and	and
prayers	prayer	prayer
when	when	when
mass	mass	mass
shootings	shoot	shooting
take	take	take
place	place	place
,	,	,
yet	yet	yet
they	they	they
do	do	do
nothing	noth	nothing
to	to	to
take	take	take
any	ani	any
meaningful	meaning	meaningful
steps	step	step
towards	toward	towards
preventing	prevent	preventing
tragedies	tragedi	tragedy
like	like	like
this	this	this
from	from	from
occurring	occur	occurring
.	.	.
Brown	brown	Brown
s	s	s
message	messag	message
to	to	to
