Amateur	amateur	Amateur
president	presid	president
Donald	donald	Donald
Trump	trump	Trump
met	met	met
with	with	with
Canadian	canadian	Canadian
Prime	prime	Prime
Minister	minist	Minister
Justin	justin	Justin
Trudeau	trudeau	Trudeau
on	on	on
Monday	monday	Monday
to	to	to
speak	speak	speak
in	in	in
a	a	a
joint	joint	joint
press	press	press
conference	confer	conference
,	,	,
and	and	and
he	he	he
thoroughly	thorough	thoroughly
embarrassed	embarrass	embarrassed
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
again	again	again
by	by	by
feeding	feed	feeding
his	his	his
ego	ego	ego
in	in	in
front	front	front
of	of	of
the	the	the
entire	entir	entire
world	world	world
.	.	.
The	the	The
topic	topic	topic
of	of	of
Syrian	syrian	Syrian
refugees	refuge	refugee
was	was	wa
brought	brought	brought
up	up	up
by	by	by
a	a	a
reporter	report	reporter
,	,	,
and	and	and
of	of	of
course	cours	course
,	,	,
Trump	trump	Trump
had	had	had
to	to	to
bring	bring	bring
up	up	up
his	his	his
election	elect	election
victory	victori	victory
.	.	.
President	presid	President
Trump	trump	Trump
,	,	,
you	you	you
seemed	seem	seemed
to	to	to
suggest	suggest	suggest
that	that	that
Syrian	syrian	Syrian
refugees	refuge	refugee
are	are	are
a	a	a
Trojan	trojan	Trojan
horse	hors	horse
for	for	for
potential	potenti	potential
terrorism	terror	terrorism
,	,	,
while	while	while
the	the	the
prime	prime	prime
minister	minist	minister
hugs	hug	hug
refugees	refuge	refugee
and	and	and
welcomes	welcom	welcome
them	them	them
with	with	with
open	open	open
arms	arm	arm
,	,	,
a	a	a
reporter	report	reporter
asked	ask	asked
.	.	.
Are	are	Are
you	you	you
confident	confid	confident
the	the	the
northern	northern	northern
border	border	border
is	is	is
secure	secur	secure
?	?	?
You	you	You
can	can	can
never	never	never
be	be	be
totally	total	totally
confident	confid	confident
,	,	,
Trump	trump	Trump
replied	repli	replied
.	.	.
Trump	trump	Trump
heaped	heap	heaped
praise	prais	praise
on	on	on
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
Secretary	secretari	Secretary
John	john	John
Kelly	kelli	Kelly
for	for	for
doing	do	doing
a	a	a
great	great	great
job	job	job
of	of	of
deporting	deport	deporting
very	veri	very
,	,	,
very	veri	very
hardened	harden	hardened
criminals	crimin	criminal
so	so	so
far	far	far
,	,	,
as	as	a
reported	report	reported
by	by	by
Talking	talk	Talking
Points	point	Points
Memo	memo	Memo
.	.	.
That	that	That
s	s	s
what	what	what
I	i	I
said	said	said
I	i	I
would	would	would
do	do	do
.	.	.
I	i	I
m	m	m
just	just	just
doing	do	doing
what	what	what
I	i	I
said	said	said
I	i	I
would	would	would
do	do	do
,	,	,
and	and	and
we	we	we
won	won	won
by	by	by
a	a	a
very	veri	very
,	,	,
very	veri	very
large	larg	large
electoral	elector	electoral
college	colleg	college
vote	vote	vote
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
Trump	trump	Trump
went	went	went
on	on	on
to	to	to
say	say	say
that	that	that
he	he	he
knew	knew	knew
he	he	he
would	would	would
win	win	win
the	the	the
election	elect	election
.	.	.
That	that	That
s	s	s
an	an	an
odd	odd	odd
statement	statement	statement
to	to	to
make	make	make
since	sinc	since
he	he	he
admitted	admit	admitted
to	to	to
being	be	being
surprised	surpris	surprised
that	that	that
he	he	he
won	won	won
after	after	after
the	the	the
election	elect	election
during	dure	during
his	his	his
thank	thank	thank
you	you	you
tour	tour	tour
following	follow	following
the	the	the
election	elect	election
.	.	.
I	i	I
knew	knew	knew
this	this	this
is	is	is
what	what	what
people	peopl	people
were	were	were
wanting	want	wanting
.	.	.
That	that	That
wasn	wasn	wasn
t	t	t
the	the	the
only	onli	only
reason	reason	reason
,	,	,
that	that	that
wasn	wasn	wasn
t	t	t
my	my	my
only	onli	only
thing	thing	thing
that	that	that
we	we	we
did	did	did
so	so	so
well	well	well
on	on	on
,	,	,
but	but	but
that	that	that
was	was	wa
something	someth	something
that	that	that
was	was	wa
very	veri	very
important	import	important
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
I	i	I
think	think	think
that	that	that
in	in	in
the	the	the
end	end	end
,	,	,
everyone	everyon	everyone
is	is	is
going	go	going
to	to	to
be	be	be
extremely	extrem	extremely
happy	happi	happy
.	.	.
And	and	And
I	i	I
