Shawn	shawn	Shawn
Helton	helton	Helton
21st	21st	21st
Century	centuri	Century
WireThis	wirethi	WireThis
week	week	week
a	a	a
House	hous	House
Judiciary	judiciari	Judiciary
Committee	committe	Committee
began	began	began
overseeing	overse	overseeing
details	detail	detail
of	of	of
a	a	a
US	us	US
Federal	feder	Federal
Court	court	Court
case	case	case
between	between	between
tech	tech	tech
company	compani	company
Apple	appl	Apple
and	and	and
the	the	the
FBI	fbi	FBI
.	.	.
On	on	On
February	februari	February
16th	16th	16th
,	,	,
Apple	appl	Apple
CEO	ceo	CEO
Tim	tim	Tim
Cook	cook	Cook
publicly	public	publicly
rejected	reject	rejected
a	a	a
court	court	court
order	order	order
to	to	to
decrypt	decrypt	decrypt
an	an	an
iPhone	iphon	iPhone
said	said	said
to	to	to
be	be	be
connected	connect	connected
to	to	to
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
mass	mass	mass
-shooting	-shoot	-shooting
case	case	case
from	from	from
December	decemb	December
of	of	of
2015	2015	2015
.	.	.
The	the	The
House	hous	House
Judiciary	judiciari	Judiciary
Committee	committe	Committee
listened	listen	listened
to	to	to
the	the	the
controversial	controversi	controversial
case	case	case
between	between	between
tech	tech	tech
titan	titan	titan
Apple	appl	Apple
and	and	and
the	the	the
FBI	fbi	FBI
a	a	a
day	day	day
after	after	after
Magistrate	magistr	Magistrate
Judge	judg	Judge
James	jame	James
Orenstein	orenstein	Orenstein
of	of	of
New	new	New
York	york	York
,	,	,
struck	struck	struck
down	down	down
a	a	a
federal	feder	federal
court	court	court
order	order	order
pressuring	pressur	pressuring
Apple	appl	Apple
to	to	to
help	help	help
access	access	access
encrypted	encrypt	encrypted
data	data	data
in	in	in
a	a	a
separate	separ	separate
case	case	case
involving	involv	involving
illegal	illeg	illegal
drug	drug	drug
trafficking	traffick	trafficking
.	.	.
The	the	The
landmark	landmark	landmark
decision	decis	decision
made	made	made
by	by	by
Judge	judg	Judge
Orenstein	orenstein	Orenstein
stated	state	stated
that	that	that
the	the	the
All	all	All
Writs	writ	Writs
Act	act	Act
of	of	of
1789	1789	1789
also	also	also
used	use	used
as	as	a
the	the	the
FBI	fbi	FBI
s	s	s
main	main	main
argument	argument	argument
in	in	in
the	the	the
Apple	appl	Apple
San	san	San
Bernardino	bernardino	Bernardino
case	case	case
does	doe	doe
not	not	not
permit	permit	permit
a	a	a
court	court	court
to	to	to
order	order	order
companies	compani	company
to	to	to
pull	pull	pull
encrypted	encrypt	encrypted
data	data	data
off	off	off
a	a	a
customer	custom	customer
s	s	s
phone	phone	phone
or	or	or
tablet	tablet	tablet
,	,	,
according	accord	according
to	to	to
a	a	a
recent	recent	recent
article	articl	article
from	from	from
The	the	The
Washington	washington	Washington
Post	post	Post
.	.	.
The	the	The
Post	post	Post
continued	continu	continued
by	by	by
discussing	discuss	discussing
Orenstein	orenstein	Orenstein
s	s	s
lengthy	lengthi	lengthy
argument	argument	argument
against	against	against
the	the	the
FBI	fbi	FBI
s	s	s
order	order	order
against	against	against
Apple	appl	Apple
in	in	in
the	the	the
drug	drug	drug
related	relat	related
case	case	case
In	in	In
a	a	a
50	50	50
-page	-page	-page
opinion	opinion	opinion
disdainful	disdain	disdainful
of	of	of
the	the	the
government	govern	government
s	s	s
arguments	argument	argument
,	,	,
Orenstein	orenstein	Orenstein
found	found	found
that	that	that
the	the	the
All	all	All
Writs	writ	Writs
Act	act	Act
does	doe	doe
not	not	not
apply	appli	apply
in	in	in
instances	instanc	instance
where	where	where
Congress	congress	Congress
had	had	had
the	the	the
opportunity	opportun	opportunity
but	but	but
failed	fail	failed
to	to	to
create	creat	create
an	an	an
authority	author	authority
for	for	for
the	the	the
government	govern	government
to	to	to
get	get	get
the	the	the
type	type	type
of	of	of
help	help	help
it	it	it
was	was	wa
seeking	seek	seeking
,	,	,
such	such	such
as	as	a
having	have	having
firms	firm	firm
ensure	ensur	ensure
they	they	they
have	have	have
a	a	a
way	way	way
to	to	to
obtain	obtain	obtain
data	data	data
from	from	from
encrypted	encrypt	encrypted
phones	phone	phone
.	.	.
In	in	In
addition	addit	addition
,	,	,
The	the	The
Post	post	Post
outlined	outlin	outlined
some	some	some
of	of	of
the	the	the
social	social	social
engineering	engin	engineering
aspects	aspect	aspect
involved	involv	involved
in	in	in
the	the	the
lead	lead	lead
up	up	up
to	to	to
the	the	the
FBI	fbi	FBI
drug	drug	drug
case	case	case
overseen	overseen	overseen
by	by	by
Judge	judg	Judge
