Voodoo	voodoo	Voodoo
Doughnut	doughnut	Doughnut
is	is	is
a	a	a
very	veri	very
unique	uniqu	unique
dessert	dessert	dessert
shop	shop	shop
in	in	in
Portland	portland	Portland
,	,	,
Oregon	oregon	Oregon
.	.	.
They	they	They
have	have	have
many	mani	many
one	one	one
-of-a-kind	-of-a-kind	-of-a-kind
desserts	dessert	dessert
,	,	,
in	in	in
very	veri	very
creative	creativ	creative
designs	design	design
.	.	.
However	howev	However
,	,	,
according	accord	according
to	to	to
the	the	the
one	one	one
of	of	of
shop	shop	shop
s	s	s
proprietors	proprietor	proprietor
,	,	,
Kenneth	kenneth	Kenneth
Cat	cat	Cat
Daddy	daddi	Daddy
Pogson	pogson	Pogson
,	,	,
they	they	they
usually	usual	usually
stop	stop	stop
short	short	short
of	of	of
engaging	engag	engaging
in	in	in
political	polit	political
discourse	discours	discourse
via	via	via
their	their	their
dessert	dessert	dessert
creations	creation	creation
.	.	.
But	but	But
Pogson	pogson	Pogson
said	said	said
they	they	they
just	just	just
couldn	couldn	couldn
t	t	t
resist	resist	resist
when	when	when
it	it	it
came	came	came
to	to	to
the	the	the
ridiculousness	ridicul	ridiculousness
that	that	that
was	was	wa
the	the	the
Oregon	oregon	Oregon
militants	milit	militant
engaged	engag	engaged
in	in	in
a	a	a
standoff	standoff	standoff
with	with	with
the	the	the
authorities	author	authority
at	at	at
the	the	the
Malheur	malheur	Malheur
Wildlife	wildlif	Wildlife
Refuge	refug	Refuge
in	in	in
Harney	harney	Harney
County	counti	County
,	,	,
Oregon	oregon	Oregon
.	.	.
To	to	To
that	that	that
end	end	end
,	,	,
once	onc	once
the	the	the
standoff	standoff	standoff
was	was	wa
over	over	over
and	and	and
the	the	the
group	group	group
s	s	s
leader	leader	leader
,	,	,
Ammon	ammon	Ammon
Bundy	bundi	Bundy
,	,	,
was	was	wa
in	in	in
custody	custodi	custody
,	,	,
Pogson	pogson	Pogson
made	made	made
his	his	his
thoughts	thought	thought
known	known	known
in	in	in
the	the	the
way	way	way
he	he	he
usually	usual	usually
does	doe	doe
with	with	with
a	a	a
unique	uniqu	unique
doughnut	doughnut	doughnut
depicting	depict	depicting
Ammon	ammon	Ammon
Bundy	bundi	Bundy
in	in	in
a	a	a
jail	jail	jail
cell	cell	cell
.	.	.
via	via	via
The	the	The
Oregonian	oregonian	Oregonian
TwitterPogson	twitterpogson	TwitterPogson
revealed	reveal	revealed
to	to	to
The	the	The
