A	a	A
lot	lot	lot
has	has	ha
changed	chang	changed
since	sinc	since
Ted	ted	Ted
Cruz	cruz	Cruz
dropped	drop	dropped
out	out	out
of	of	of
the	the	the
race	race	race
for	for	for
the	the	the
GOP	gop	GOP
presidential	presidenti	presidential
nomination	nomin	nomination
,	,	,
leaving	leav	leaving
Donald	donald	Donald
Trump	trump	Trump
as	as	a
the	the	the
presumptive	presumpt	presumptive
nominee	nomine	nominee
.	.	.

Well	well	Well
,	,	,
perhaps	perhap	perhaps
not	not	not
a	a	a
lot	lot	lot
has	has	ha
changed	chang	changed
,	,	,
but	but	but
it	it	it
was	was	wa
a	a	a
bit	bit	bit
of	of	of
a	a	a
shocker	shocker	shocker
when	when	when
,	,	,
because	becaus	because
of	of	of
Trump	trump	Trump
s	s	s
victory	victori	victory
,	,	,
the	the	the
ber	ber	ber
conservative	conserv	conservative
website	websit	website
RedState	redstat	RedState
suggested	suggest	suggested
that	that	that
now	now	now
would	would	would
be	be	be
the	the	the
time	time	time
for	for	for
the	the	the
Senate	senat	Senate
to	to	to
approve	approv	approve
the	the	the
nomination	nomin	nomination
of	of	of
Merrick	merrick	Merrick
Garland	garland	Garland
for	for	for
the	the	the
Supreme	suprem	Supreme
Court	court	Court
.	.	.
Now	now	Now
,	,	,
to	to	to
be	be	be
fair	fair	fair
,	,	,
RedState	redstat	RedState
,	,	,
which	which	which
is	is	is
published	publish	published
by	by	by
Erick	erick	Erick
Erickson	erickson	Erickson
,	,	,
a	a	a
man	man	man
once	onc	once
called	call	called
the	the	the
most	most	most
powerful	power	powerful
conservative	conserv	conservative
in	in	in
America	america	America
,	,	,
has	has	ha
never	never	never
been	been	been
a	a	a
fan	fan	fan
of	of	of
Trump	trump	Trump
.	.	.

Much	much	Much
of	of	of
the	the	the
blog	blog	blog
s	s	s
front	front	front
page	page	page
,	,	,
as	as	a
of	of	of
late	late	late
,	,	,
has	has	ha
been	been	been
dedicated	dedic	dedicated
to	to	to
the	the	the
#NeverTrump	#nevertrump	#NeverTrump
movement	movement	movement
.	.	.

Here	here	Here
is	is	is
how	how	how
badly	bad	badly
RedState	redstat	RedState
wants	want	want
you	you	you
not	not	not
to	to	to
vote	vote	vote
for	for	for
Trump	trump	Trump
I	i	I
say	say	say
this	this	this
without	without	without
rancor	rancor	rancor
,	,	,
sarcasm	sarcasm	sarcasm
or	or	or
ill	ill	ill
will	will	will
.	.	.

For	for	For
anyone	anyon	anyone
who	who	who
wants	want	want
