Jeb	jeb	Jeb
Bush	bush	Bush
just	just	just
unveiled	unveil	unveiled
a	a	a
key	key	key
component	compon	component
of	of	of
his	his	his
welfare	welfar	welfare
reform	reform	reform
package	packag	package
.	.	.

The	the	The
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
wants	want	want
to	to	to
completely	complet	completely
scrap	scrap	scrap
the	the	the
federal	feder	federal
Supplemental	supplement	Supplemental
Nutrition	nutrit	Nutrition
Assistance	assist	Assistance
Program	program	Program
food	food	food
stamps	stamp	stamp
,	,	,
and	and	and
the	the	the
Temporary	temporari	Temporary
Assistance	assist	Assistance
for	for	for
Needy	needi	Needy
Families	famili	Families
program	program	program
.	.	.

It	it	It
should	should	should
be	be	be
noted	note	noted
that	that	that
Right	right	Right
to	to	to
Rise	rise	Rise
is	is	is
the	the	the
name	name	name
of	of	of
Bush	bush	Bush
s	s	s
Super	super	Super
PAC	pac	PAC
.	.	.
Bush	bush	Bush
wants	want	want
to	to	to
replace	replac	replace
those	those	those
programs	program	program
with	with	with
one	one	one
that	that	that
gives	give	give
states	state	state
Right	right	Right
to	to	to
Rise	rise	Rise
grants	grant	grant
,	,	,
to	to	to
support	support	support
state	state	state
-run	-run	-run
programs	program	program
aimed	aim	aimed
at	at	at
alleviating	allevi	alleviating
poverty	poverti	poverty
.	.	.

Bush	bush	Bush
refers	refer	refers
to	to	to
the	the	the
current	current	current
programs	program	program
in	in	in
place	place	place
as	as	a
failed	fail	failed
programs	program	program
of	of	of
the	the	the
war	war	war
on	on	on
poverty	poverti	poverty
,	,	,
on	on	on
account	account	account
of	of	of
there	there	there
being	be	being
47	47	47
million	million	million
people	peopl	people
who	who	who
are	are	are
still	still	still
poor	poor	poor
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.

In	in	In
the	the	the
place	place	place
of	of	of
these	these	these
failed	fail	failed
programs	program	program
,	,	,
states	state	state
will	will	will
be	be	be
given	given	given
Right	right	Right
to	to	to
Rise	rise	Rise
Grants	grant	Grants
.	.	.

These	these	These
grants	grant	grant
will	will	will
allow	allow	allow
states	state	state
to	to	to
meet	meet	meet
the	the	the
needs	need	need
of	of	of
poor	poor	poor
families	famili	family
,	,	,
in	in	in
the	the	the
way	way	way
that	that	that
makes	make	make
most	most	most
sense	sens	sense
in	in	in
each	each	each
state	state	state
.	.	.

As	as	As
governor	governor	governor
of	of	of
Florida	florida	Florida
,	,	,
I	i	I
saw	saw	saw
first	first	first
-hand	-hand	-hand
how	how	how
states	state	state
could	could	could
be	be	be
the	the	the
laboratories	laboratori	laboratory
of	of	of
democracy	democraci	democracy
.	.	.

I	i	I
know	know	know
that	that	that
giving	give	giving
states	state	state
more	more	more
flexibility	flexibl	flexibility
will	will	will
open	open	open
the	the	the
door	door	door
for	for	for
transformative	transform	transformative
ideas	idea	idea
to	to	to
eliminate	elimin	eliminate
poverty	poverti	poverty
and	and	and
increase	increas	increase
opportunity	opportun	opportunity
,	,	,
Bush	bush	Bush
wrote	wrote	wrote
on	on	on
his	his	his
campaign	campaign	campaign
website	websit	website
,	,	,
on	on	on
Friday	friday	Friday
.	.	.
Bush	bush	Bush
does	doe	doe
not	not	not
have	have	have
any	ani	any
interest	interest	interest
in	in	in
reforming	reform	reforming
welfare	welfar	welfare
to	to	to
help	help	help
fight	fight	fight
the	the	the
war	war	war
on	on	on
poverty	poverti	poverty
.	.	.

He	he	He
wants	want	want
to	to	to
further	further	further
the	the	the
Republicans	republican	Republicans
war	war	war
against	against	against
the	the	the
poor	poor	poor
.	.	.

This	this	This
proposal	propos	proposal
is	is	is
just	just	just
an	an	an
attempt	attempt	attempt
to	to	to
dismantle	dismantl	dismantle
the	the	the
welfare	welfar	welfare
system	system	system
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
in	in	in
order	order	order
to	to	to
create	creat	create
a	a	a
less	less	le
efficient	effici	efficient
government	govern	government
.	.	.
If	if	If
Bush	bush	Bush
cared	care	cared
at	at	at
all	all	all
about	about	about
the	the	the
poor	poor	poor
,	,	,
he	he	he
would	would	would
support	support	support
raising	rais	raising
the	the	the
federal	feder	federal
minimum	minimum	minimum
wage	wage	wage
to	to	to
a	a	a
point	point	point
where	where	where
working	work	working
people	peopl	people
no	no	no
longer	longer	longer
need	need	need
to	to	to
go	go	go
on	on	on
assistance	assist	assistance
programs	program	program
.	.	.

Bush	bush	Bush
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
raise	rais	raise
the	the	the
minimum	minimum	minimum
wage	wage	wage
.	.	.

In	in	In
fact	fact	fact
,	,	,
he	he	he
has	has	ha
publicly	public	publicly
stated	state	stated
that	that	that
opposes	oppos	opposes
the	the	the
very	veri	very
concept	concept	concept
of	of	of
the	the	the
minimum	minimum	minimum
wage	wage	wage
.	.	.

As	as	As
with	with	with
welfare	welfar	welfare
,	,	,
Bush	bush	Bush
thinks	think	think
that	that	that
the	the	the
minimum	minimum	minimum
wage	wage	wage
is	is	is
a	a	a
matter	matter	matter
for	for	for
the	the	the
states	state	state
to	to	to
work	work	work
on	on	on
,	,	,
not	not	not
the	the	the
federal	feder	federal
government	govern	government
.	.	.

