Yes	yes	Yes
,	,	,
this	this	this
actually	actual	actually
happened	happen	happened
.	.	.
During	dure	During
a	a	a
panel	panel	panel
discussion	discuss	discussion
on	on	on
Meet	meet	Meet
The	the	The
Press	press	Press
on	on	on
Sunday	sunday	Sunday
,	,	,
Detroit	detroit	Detroit
Free	free	Free
Press	press	Press
reporter	report	reporter
Stephen	stephen	Stephen
Henderson	henderson	Henderson
explained	explain	explained
how	how	how
Republicans	republican	Republicans
are	are	are
not	not	not
believable	believ	believable
when	when	when
they	they	they
try	tri	try
to	to	to
distance	distanc	distance
themselves	themselv	themselves
from	from	from
Donald	donald	Donald
Trump	trump	Trump
s	s	s
racist	racist	racist
hate	hate	hate
speech	speech	speech
because	becaus	because
they	they	they
have	have	have
been	been	been
doing	do	doing
it	it	it
for	for	for
decades	decad	decade
in	in	in
coded	code	coded
language	languag	language
and	and	and
through	through	through
the	the	the
policies	polici	policy
they	they	they
push	push	push
.	.	.
There	there	There
s	s	s
also	also	also
a	a	a
substantive	substant	substantive
credibility	credibl	credibility
problem	problem	problem
here	here	here
,	,	,
Henderson	henderson	Henderson
said	said	said
.	.	.

I	i	I
mean	mean	mean
,	,	,
you	you	you
have	have	have
Republicans	republican	Republicans
saying	say	saying
,	,	,
Trump	trump	Trump
is	is	is
not	not	not
one	one	one
of	of	of
us	us	u
.	.	.

And	and	And
yet	yet	yet
,	,	,
a	a	a
lot	lot	lot
of	of	of
the	the	the
things	thing	thing
that	that	that
he	he	he
s	s	s
saying	say	saying
are	are	are
said	said	said
in	in	in
coded	code	coded
language	languag	language
by	by	by
other	other	other
Republicans	republican	Republicans
.	.	.

I	i	I
wrote	wrote	wrote
a	a	a
column	column	column
last	last	last
week	week	week
about	about	about
Paul	paul	Paul
Ryan	ryan	Ryan
,	,	,
for	for	for
instance	instanc	instance
,	,	,
saying	say	saying
,	,	,
This	this	This
is	is	is
not	not	not
a	a	a
party	parti	party
that	that	that
preys	prey	prey
on	on	on
people	peopl	people
s	s	s
prejudices	prejudic	prejudice
.	.	.

And	and	And
yet	yet	yet
,	,	,
you	you	you
can	can	can
think	think	think
of	of	of
lots	lot	lot
of	of	of
examples	exampl	example
of	of	of
Republicans	republican	Republicans
doing	do	doing
exactly	exact	exactly
that	that	that
,	,	,
going	go	going
back	back	back
to	to	to
Ronald	ronald	Ronald
Reagan	reagan	Reagan
,	,	,
giving	give	giving
a	a	a
states	state	state
rights	right	right
speech	speech	speech
in	in	in
Neshoba	neshoba	Neshoba
County	counti	County
,	,	,
Mississippi	mississippi	Mississippi
,	,	,
in	in	in
1980	1980	1980
.	.	.

This	this	This
goes	goe	go
on	on	on
all	all	all
the	the	the
time	time	time
in	in	in
coded	code	coded
ways	way	way
.	.	.

Trump	trump	Trump
is	is	is
saying	say	saying
some	some	some
of	of	of
these	these	these
things	thing	thing
more	more	more
explicitly	explicit	explicitly
.	.	.

And	and	And
that	that	that
makes	make	make
them	them	them
,	,	,
you	you	you
know	know	know
,	,	,
it	it	it
makes	make	make
you	you	you
uncomfortable	uncomfort	uncomfortable
too	too	too
And	and	And
that	that	that
made	made	made
the	the	the
old	old	old
conservative	conserv	conservative
white	white	white
lady	ladi	lady
next	next	next
to	to	to
Henderson	henderson	Henderson
angry	angri	angry
,	,	,
so	so	so
she	she	she
expressed	express	expressed
her	her	her
desire	desir	desire
