A	a	A
racist	racist	racist
Georgia	georgia	Georgia
man	man	man
went	went	went
completely	complet	completely
off	off	off
the	the	the
deep	deep	deep
end	end	end
when	when	when
faced	face	faced
with	with	with
road	road	road
work	work	work
on	on	on
his	his	his
way	way	way
home	home	home
,	,	,
threatening	threaten	threatening
the	the	the
construction	construct	construction
crew	crew	crew
with	with	with
a	a	a
gun	gun	gun
while	while	while
shouting	shout	shouting
racial	racial	racial
slurs	slur	slur
.	.	.
Construction	construct	Construction
worker	worker	worker
Nelson	nelson	Nelson
King	king	King
said	said	said
that	that	that
on	on	on
Thursday	thursday	Thursday
morning	morn	morning
they	they	they
were	were	were
working	work	working
on	on	on
a	a	a
section	section	section
of	of	of
road	road	road
in	in	in
Coweta	coweta	Coweta
County	counti	County
.	.	.

Harold	harold	Harold
Bishop	bishop	Bishop
was	was	wa
on	on	on
his	his	his
way	way	way
home	home	home
when	when	when
he	he	he
came	came	came
upon	upon	upon
the	the	the
portion	portion	portion
of	of	of
the	the	the
road	road	road
that	that	that
had	had	had
been	been	been
closed	close	closed
for	for	for
construction	construct	construction
.	.	.

The	the	The
72	72	72
-year-old	-year-old	-year-old
man	man	man
then	then	then
proceeded	proceed	proceeded
to	to	to
completely	complet	completely
freak	freak	freak
the	the	the
f	f	f
ck	ck	ck
out	out	out
and	and	and
began	began	began
waving	wave	waving
around	around	around
a	a	a
gun	gun	gun
while	while	while
shouting	shout	shouting
racial	racial	racial
epithets	epithet	epithet
at	at	at
the	the	the
crew	crew	crew
.	.	.

He	he	He
pulled	pull	pulled
up	up	up
on	on	on
us	us	u
and	and	and
he	he	he
was	was	wa
like	like	like
,	,	,
Get	get	Get
these	these	these
N	n	N
-word	-word	-word
off	off	off
the	the	the
road	road	road
,	,	,
I	i	I
live	live	live
here	here	here
,	,	,
I	i	I
ll	ll	ll
kill	kill	kill
you	you	you
N	n	N
-word	-word	-word
,	,	,
King	king	King
recalled	recal	recalled
.	.	.
When	when	When
Bishop	bishop	Bishop
pulled	pull	pulled
out	out	out
his	his	his
gun	gun	gun
for	for	for
the	the	the
second	second	second
time	time	time
,	,	,
King	king	King
decided	decid	decided
to	to	to
start	start	start
recording	record	recording
the	the	the
incident	incid	incident
while	while	while
another	anoth	another
man	man	man
working	work	working
at	at	at
the	the	the
scene	scene	scene
called	call	called
911	911	911
.	.	.

According	accord	According
to	to	to
the	the	the
Coweta	coweta	Coweta
County	counti	County
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
,	,	,
Bishop	bishop	Bishop
then	then	then
left	left	left
the	the	the
scene	scene	scene
but	but	but
returned	return	returned
before	befor	before
police	polic	police
showed	show	showed
up	up	up
.	.	.

King	king	King
said	said	said
he	he	he
decided	decid	decided
to	to	to
record	record	record
the	the	the
man	man	man
s	s	s
threats	threat	threat
so	so	so
that	that	that
he	he	he
would	would	would
have	have	have
proof	proof	proof
of	of	of
what	what	what
was	was	wa
happening	happen	happening
.	.	.

If	if	If
I	i	I
can	can	can
show	show	show
proof	proof	proof
that	that	that
he	he	he
pulled	pull	pulled
the	the	the
gun	gun	gun
out	out	out
,	,	,
said	said	said
King	king	King
,	,	,
police	polic	police
will	will	will
get	get	get
him	him	him
.	.	.

It	it	It
was	was	wa
a	a	a
good	good	good
thing	thing	thing
King	king	King
had	had	had
decided	decid	decided
to	to	to
make	make	make
the	the	the
video	video	video
of	of	of
Bishop	bishop	Bishop
threatening	threaten	threatening
them	them	them
with	with	with
his	his	his
gun	gun	gun
because	becaus	because
when	when	when
police	polic	police
showed	show	showed
up	up	up
they	they	they
saw	saw	saw
him	him	him
throw	throw	throw
a	a	a
beer	beer	beer
out	out	out
of	of	of
the	the	the
window	window	window
and	and	and
smelled	smell	smelled
alcohol	alcohol	alcohol
on	on	on
him	him	him
,	,	,
but	but	but
they	they	they
could	could	could
not	not	not
find	find	find
the	the	the
weapon	weapon	weapon
.	.	.

That	that	That
s	s	s
when	when	when
King	king	King
whipped	whip	whipped
out	out	out
the	the	the
proof	proof	proof
.	.	.

I	i	I
showed	show	showed
police	polic	police
the	the	the
video	video	video
and	and	and
they	they	they
seen	seen	seen
the	the	the
gun	gun	gun
when	when	when
he	he	he
pointed	point	pointed
it	it	it
at	at	at
us	us	u
,	,	,
they	they	they
were	were	were
like	like	like
oh	oh	oh
he	he	he
s	s	s
got	got	got
to	to	to
go	go	go
,	,	,
said	said	said
King	king	King
.	.	.
Bishop	bishop	Bishop
has	has	ha
been	been	been
charged	charg	charged
with	with	with
charged	charg	charged
with	with	with
five	five	five
counts	count	count
of	of	of
aggravated	aggrav	aggravated
assault	assault	assault
with	with	with
a	a	a
firearm	firearm	firearm
,	,	,
weapon	weapon	weapon
pointing	point	pointing
a	a	a
gun	gun	gun
at	at	at
another	anoth	another
,	,	,
terroristic	terrorist	terroristic
threats	threat	threat
,	,	,
DUI	dui	DUI
,	,	,
and	and	and
probation	probat	probation
violation	violat	violation
.	.	.

He	he	He
is	is	is
currently	current	currently
being	be	being
held	held	held
without	without	without
bond	bond	bond
and	and	and
is	is	is
due	due	due
in	in	in
court	court	court
on	on	on
September	septemb	September
22	22	22
.	.	.
Watch	watch	Watch
more	more	more
,	,	,
here	here	here
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

