This	this	This
one	one	one
sentence	sentenc	sentence
should	should	should
scare	scare	scare
every	everi	every
taxpaying	taxpay	taxpaying
American	american	American
to	to	to
death	death	death
I	i	I
know	know	know
we	we	we
can	can	can
afford	afford	afford
it	it	it
because	becaus	because
we	we	we
re	re	re
gonna	gonna	gonna
make	make	make
the	the	the
wealthy	wealthi	wealthy
pay	pay	pay
for	for	for
it	it	it
.	.	.
-	-	-
HRCLast	hrclast	HRCLast
night	night	night
s	s	s
debate	debat	debate
for	for	for
the	the	the
candidates	candid	candidate
running	run	running
for	for	for
President	presid	President
on	on	on
the	the	the
Democrat	democrat	Democrat
side	side	side
proved	prove	proved
to	to	to
be	be	be
a	a	a
fluff	fluff	fluff
fest	fest	fest
as	as	a
if	if	if
Santa	santa	Santa
himself	himself	himself
was	was	wa
in	in	in
the	the	the
room	room	room
.	.	.
Free	free	Free
college	colleg	college
,	,	,
free	free	free
this	this	this
and	and	and
free	free	free
that	that	that
Could	could	Could
someone	someon	someone
please	pleas	please
tell	tell	tell
these	these	these
people	peopl	people
we	we	we
re	re	re
18	18	18
TRILLION	trillion	TRILLION
dollars	dollar	dollar
in	in	in
debt	debt	debt
!	!	!
Here	here	Here
s	s	s
the	the	the
transcript	transcript	transcript
from	from	from
Rush	rush	Rush
today	today	today
that	that	that
speaks	speak	speaks
to	to	to
this	this	this
Santa	santa	Santa
syndrome	syndrom	syndrome
in	in	in
the	the	the
Democrat	democrat	Democrat
party	parti	party
RUSH	rush	RUSH
First	first	First
up	up	up
is	is	is
a	a	a
montage	montag	montage
here	here	here
from	from	from
the	the	the
debate	debat	debate
last	last	last
night	night	night
.	.	.
Bernie	berni	Bernie
Sanders	sander	Sanders
,	,	,
Hillary	hillari	Hillary
,	,	,
Lincoln	lincoln	Lincoln
Chafee	chafe	Chafee
,	,	,
and	and	and
they	they	they
re	re	re
all	all	all
talking	talk	talking
about	about	about
all	all	all
the	the	the
free	free	free
stuff	stuff	stuff
.	.	.
College	colleg	College
and	and	and
health	health	health
care	care	care
and	and	and
whatever	whatev	whatever
you	you	you
want	want	want
.	.	.
If	if	If
you	you	you
re	re	re
an	an	an
illegal	illeg	illegal
immigrant	immigr	immigrant
,	,	,
it	it	it
s	s	s
all	all	all
yours	your	yours
.	.	.
All	all	All
you	you	you
have	have	have
to	to	to
do	do	do
is	is	is
show	show	show
up	up	up
.	.	.
SANDERS	sander	SANDERS
Make	make	Make
every	everi	every
public	public	public
college	colleg	college
and	and	and
university	univers	university
in	in	in
this	this	this
country	countri	country
tuition	tuition	tuition
-free	-free	-free
.	.	.
HILLARY	hillari	HILLARY
Anyone	anyon	Anyone
to	to	to
go	go	go
to	to	to
a	a	a
public	public	public
college	colleg	college
or	or	or
university	univers	university
tuition	tuition	tuition
-free	-free	-free
.	.	.
SANDERS	sander	SANDERS
We	we	We
re	re	re
all	all	all
gonna	gonna	gonna
have	have	have
medical	medic	medical
and	and	and
family	famili	family
paid	paid	paid
leave	leav	leave
.	.	.
HILLARY	hillari	HILLARY
Make	make	Make
sure	sure	sure
every	everi	every
child	child	child
gets	get	get
health	health	health
care	care	care
,	,	,
including	includ	including
undocumented	undocu	undocumented
children	children	child
and	and	and
others	other	others
.	.	.
CHAFEE	chafe	CHAFEE
Funding	fund	Funding
education	educ	education
,	,	,
funding	fund	funding
infrastructure	infrastructur	infrastructure
,	,	,
funding	fund	funding
health	health	health
care	care	care
.	.	.
HILLARY	hillari	HILLARY
Enhance	enhanc	Enhance
the	the	the
benefits	benefit	benefit
for	for	for
the	the	the
poorest	poorest	poorest
recipients	recipi	recipient
of	of	of
Social	social	Social
Security	secur	Security
.	.	.
SANDERS	sander	SANDERS
We	we	We
should	should	should
be	be	be
putting	put	putting
money	money	money
into	into	into
education	educ	education
.	.	.
I	i	I
want	want	want
Wall	wall	Wall
Street	street	Street
now	now	now
to	to	to
help	help	help
kids	kid	kid
in	in	in
this	this	this
country	countri	country
go	go	go
to	to	to
college	colleg	college
,	,	,
public	public	public
colleges	colleg	college
and	and	and
universities	univers	university
.	.	.
HILLARY	hillari	HILLARY
I	i	I
know	know	know
we	we	we
can	can	can
afford	afford	afford
it	it	it
because	becaus	because
we	we	we
re	re	re
gonna	gonna	gonna
make	make	make
the	the	the
