George	georg	George
Stephanopoulos	stephanopoulo	Stephanopoulos
allowed	allow	allowed
presumptive	presumpt	presumptive
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
to	to	to
phone	phone	phone
into	into	into
Good	good	Good
Morning	morn	Morning
America	america	America
on	on	on
Friday	friday	Friday
morning	morn	morning
only	onli	only
to	to	to
be	be	be
grilled	grill	grilled
for	for	for
not	not	not
releasing	releas	releasing
his	his	his
tax	tax	tax
returns	return	return
.	.	.

Do	do	Do
you	you	you
believe	believ	believe
voters	voter	voter
have	have	have
a	a	a
right	right	right
to	to	to
see	see	see
your	your	your
tax	tax	tax
returns	return	return
before	befor	before
they	they	they
make	make	make
a	a	a
final	final	final
decision	decis	decision
?	?	?

Stephanopoulos	stephanopoulo	Stephanopoulos
asked	ask	asked
.	.	.

I	i	I
don	don	don
t	t	t
think	think	think
they	they	they
do	do	do
,	,	,
Trump	trump	Trump
replied	repli	replied
before	befor	before
claiming	claim	claiming
that	that	that
he	he	he
will	will	will
gladly	glad	gladly
release	releas	release
his	his	his
returns	return	return
once	onc	once
the	the	the
IRS	ir	IRS
completes	complet	completes
an	an	an
audit	audit	audit
against	against	against
him	him	him
.	.	.

Of	of	Of
course	cours	course
,	,	,
the	the	the
audit	audit	audit
may	may	may
not	not	not
be	be	be
over	over	over
until	until	until
after	after	after
the	the	the
election	elect	election
,	,	,
a	a	a
fact	fact	fact
that	that	that
even	even	even
Trump	trump	Trump
conceded	conced	conceded
despite	despit	despite
feigning	feign	feigning
hope	hope	hope
that	that	that
it	it	it
will	will	will
end	end	end
before	befor	before
November	novemb	November
.	.	.
Stephanopoulos	stephanopoulo	Stephanopoulos
didn	didn	didn
t	t	t
buy	buy	buy
that	that	that
argument	argument	argument
,	,	,
however	howev	however
,	,	,
pointing	point	pointing
out	out	out
that	that	that
an	an	an
audit	audit	audit
didn	didn	didn
t	t	t
prevent	prevent	prevent
former	former	former
President	presid	President
Richard	richard	Richard
Nixon	nixon	Nixon
from	from	from
releasing	releas	releasing
his	his	his
tax	tax	tax
returns	return	return
.	.	.

The	the	The
IRS	ir	IRS
has	has	ha
made	made	made
it	it	it
very	veri	very
clear	clear	clear
that	that	that
an	an	an
audit	audit	audit
is	is	is
not	not	not
a	a	a
bar	bar	bar
to	to	to
public	public	public
release	releas	release
,	,	,
Stephanopoulos	stephanopoulo	Stephanopoulos
said	said	said
.	.	.

It	it	It
s	s	s
entirely	entir	entirely
your	your	your
choice	choic	choice
.	.	.

President	presid	President
Nixon	nixon	Nixon
released	releas	released
his	his	his
tax	tax	tax
returns	return	return
even	even	even
though	though	though
he	he	he
was	was	wa
under	under	under
audit	audit	audit
and	and	and
when	when	when
you	you	you
were	were	were
seeking	seek	seeking
a	a	a
casino	casino	casino
license	licens	license
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
New	new	New
Jersey	jersey	Jersey
you	you	you
released	releas	released
your	your	your
returns	return	return
to	to	to
state	state	state
officials	offici	official
even	even	even
though	though	though
you	you	you
were	were	were
under	under	under
audit	audit	audit
.	.	.

Trump	trump	Trump
repeated	repeat	repeated
that	that	that
he	he	he
will	will	will
not	not	not
release	releas	release
his	his	his
returns	return	return
until	until	until
after	after	after
the	the	the
audit	audit	audit
is	is	is
complete	complet	complete
,	,	,
which	which	which
may	may	may
or	or	or
may	may	may
not	not	not
be	be	be
completed	complet	completed
until	until	until
after	after	after
the	the	the
election	elect	election
,	,	,
so	so	so
the	the	the
audit	audit	audit
is	is	is
a	a	a
rather	rather	rather
convenient	conveni	convenient
excuse	excus	excuse
for	for	for
Trump	trump	Trump
.	.	.
Trump	trump	Trump
then	then	then
erroneously	erron	erroneously
claimed	claim	claimed
that	that	that
many	mani	many
presidents	presid	president
have	have	have
not	not	not
released	releas	released
