Remember	rememb	Remember
the	the	the
name	name	name
Felix	felix	Felix
Sater	sater	Sater
,	,	,
because	becaus	because
it	it	it
s	s	s
going	go	going
to	to	to
come	come	come
up	up	up
a	a	a
lot	lot	lot
while	while	while
Robert	robert	Robert
Mueller	mueller	Mueller
and	and	and
his	his	his
special	special	special
counsel	counsel	counsel
team	team	team
tear	tear	tear
down	down	down
the	the	the
fa	fa	fa
ade	ade	ade
surrounding	surround	surrounding
Donald	donald	Donald
Trump	trump	Trump
s	s	s
collusion	collus	collusion
with	with	with
the	the	the
Russian	russian	Russian
government	govern	government
to	to	to
interfere	interfer	interfere
in	in	in
the	the	the
2016	2016	2016
election	elect	election
.	.	.
According	accord	According
to	to	to
the	the	the
New	new	New
York	york	York
Times	time	Times
,	,	,
Mr	mr	Mr
.	.	.
Sater	sater	Sater
,	,	,
a	a	a
former	former	former
broker	broker	broker
for	for	for
the	the	the
Trump	trump	Trump
Organization	organ	Organization
,	,	,
wrote	wrote	wrote
a	a	a
series	seri	series
of	of	of
emails	email	email
that	that	that
played	play	played
up	up	up
his	his	his
ties	tie	tie
to	to	to
both	both	both
Trump	trump	Trump
himself	himself	himself
and	and	and
to	to	to
Vladimir	vladimir	Vladimir
Putin	putin	Putin
and	and	and
the	the	the
Russian	russian	Russian
government	govern	government
.	.	.

Those	those	Those
emails	email	email
were	were	were
sent	sent	sent
to	to	to
Michael	michael	Michael
Cohen	cohen	Cohen
,	,	,
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
lawyer	lawyer	lawyer
.	.	.

In	in	In
the	the	the
communications	communic	communication
,	,	,
Sater	sater	Sater
said	said	said
that	that	that
if	if	if
the	the	the
company	compani	company
built	built	built
a	a	a
Trump	trump	Trump
Tower	tower	Tower
in	in	in
Moscow	moscow	Moscow
,	,	,
he	he	he
would	would	would
personally	person	personally
get	get	get
Putin	putin	Putin
on	on	on
board	board	board
and	and	and
,	,	,
more	more	more
importantly	import	importantly
,	,	,
that	that	that
it	it	it
would	would	would
help	help	help
them	them	them
engineer	engin	engineer
Donald	donald	Donald
Trump	trump	Trump
s	s	s
election	elect	election
as	as	a
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
I	i	I
will	will	will
get	get	get
Putin	putin	Putin
on	on	on
this	this	this
program	program	program
and	and	and
we	we	we
will	will	will
get	get	get
Donald	donald	Donald
elected	elect	elected
.	.	.

We	we	We
both	both	both
know	know	know
no	no	no
one	one	one
else	els	else
knows	know	know
how	how	how
to	to	to
pull	pull	pull
this	this	this
off	off	off
without	without	without
stupidity	stupid	stupidity
or	or	or
greed	greed	greed
getting	get	getting
in	in	in
the	the	the
way	way	way
.	.	.

I	i	I
know	know	know
how	how	how
to	to	to
play	play	play
it	it	it
and	and	and
we	we	we
will	will	will
get	get	get
this	this	this
done	done	done
.	.	.

Buddy	buddi	Buddy
,	,	,
our	our	our
boy	boy	boy
can	can	can
become	becom	become
president	presid	president
of	of	of
the	the	the
USA	usa	USA
and	and	and
we	we	we
can	can	can
engineer	engin	engineer
it	it	it
.	.	.

I	i	I
will	will	will
get	get	get
all	all	all
of	of	of
Putins	putin	Putins
team	team	team
to	to	to
buy	buy	buy
in	in	in
on	on	on
this	this	this
,	,	,
I	i	I
will	will	will
manage	manag	manage
this	this	this
process	process	process
.	.	.
That	that	That
s	s	s
quite	quit	quite
a	a	a
boast	boast	boast
,	,	,
coming	come	coming
from	from	from
a	a	a
man	man	man
who	who	who
by	by	by
the	the	the
time	time	time
he	he	he
even	even	even
worked	work	worked
for	for	for
Trump	trump	Trump
had	had	had
already	alreadi	already
worked	work	worked
as	as	a
a	a	a
mob	mob	mob
informant	inform	informant
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
,	,	,
fled	fled	fled
to	to	to
Moscow	moscow	Moscow
to	to	to
avoid	avoid	avoid
criminal	crimin	criminal
charges	charg	charge
while	while	while
boasting	boast	boasting
of	of	of
his	his	his
KGB	kgb	KGB
and	and	and
Kremlin	kremlin	Kremlin
contacts	contact	contact
there	there	there
,	,	,
and	and	and
had	had	had
gone	gone	gone
to	to	to
prison	prison	prison
for	for	for
slashing	slash	slashing
apart	apart	apart
another	anoth	another
man	man	man
s	s	s
face	face	face
with	with	with
a	a	a
broken	broken	broken
cocktail	cocktail	cocktail
glass	glass	glass
,	,	,
according	accord	according
to	to	to
Bloomberg	bloomberg	Bloomberg
.	.	.
At	at	At
another	anoth	another
point	point	point
,	,	,
Sater	sater	Sater
promised	promis	promised
to	to	to
arrange	arrang	arrange
for	for	for
Ivanka	ivanka	Ivanka
Trump	trump	Trump
to	to	to
sit	sit	sit
in	in	in
Putin	putin	Putin
s	s	s
chair	chair	chair
.	.	.

Felix	felix	Felix
later	later	later
escorted	escort	escorted
Donald	donald	Donald
s	s	s
kids	kid	kid
around	around	around
Moscow	moscow	Moscow
,	,	,
though	though	though
Ivanka	ivanka	Ivanka
now	now	now
says	say	say
she	she	she
had	had	had
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
any	ani	any
business	busi	business
dealings	deal	dealing
.	.	.
Trump	trump	Trump
insists	insist	insists
he	he	he
barely	bare	barely
knows	know	know
Felix	felix	Felix
Sater	sater	Sater
,	,	,
and	and	and
has	has	ha
for	for	for
some	some	some
time	time	time
.	.	.

But	but	But
Sater	sater	Sater
,	,	,
post	post	post
-prison	-prison	-prison
,	,	,
carried	carri	carried
a	a	a
Trump	trump	Trump
Organization	organ	Organization
business	busi	business
card	card	card
describing	describ	describing
himself	himself	himself
as	as	a
a	a	a
senior	senior	senior
advisor	advisor	advisor
to	to	to
the	the	the
future	futur	future
president	presid	president
.	.	.

One	one	One
might	might	might
imagine	imagin	imagine
that	that	that
litigation	litig	litigation
-happy	-happi	-happy
Trump	trump	Trump
would	would	would
have	have	have
fits	fit	fit
if	if	if
he	he	he
saw	saw	saw
an	an	an
unauthorized	unauthor	unauthorized
person	person	person
toting	tote	toting
this	this	this
around	around	around
Sater's	sater	Sater's
business	busi	business
card	card	card
pic.twitter.com/6AOZcb7QHd	pic.twitter.com/6aozcb7qhd	pic.twitter.com/6AOZcb7QHd
Kerry	kerri	Kerry
McCue	mccue	McCue
@krrmcc	@krrmcc	@krrmcc
May	may	May
13	13	13
,	,	,
2017Does	2017doe	2017Does
all	all	all
that	that	that
sound	sound	sound
a	a	a
little	littl	little
too	too	too
James	jame	James
Bond	bond	Bond
-ish	-ish	-ish
for	for	for
you	you	you
?	?	?

How	how	How
about	about	about
a	a	a
video	video	video
of	of	of
Donald	donald	Donald
Trump	trump	Trump
walking	walk	walking
out	out	out
of	of	of
an	an	an
interview	interview	interview
four	four	four
years	year	year
ago	ago	ago
with	with	with
BBC	bbc	BBC
s	s	s
Panorama	panorama	Panorama
after	after	after
being	be	being
asked	ask	asked
about	about	about
Sater	sater	Sater
Even	even	Even
in	in	in
the	the	the
video	video	video
,	,	,
Trump	trump	Trump
attempts	attempt	attempt
to	to	to
put	put	put
as	as	a
much	much	much
space	space	space
as	as	a
possible	possibl	possible
between	between	between
himself	himself	himself
and	and	and
the	the	the
man	man	man
whose	whose	whose
emails	email	email
to	to	to
his	his	his
lawyer	lawyer	lawyer
just	just	just
two	two	two
years	year	year
later	later	later
would	would	would
cast	cast	cast
such	such	such
a	a	a
long	long	long
shadow	shadow	shadow
on	on	on
his	his	his
dealings	deal	dealing
with	with	with
Russia	russia	Russia
.	.	.
I	i	I
just	just	just
want	want	want
to	to	to
know	know	know
if	if	if
Ivanka	ivanka	Ivanka
ever	ever	ever
got	got	got
to	to	to
sit	sit	sit
in	in	in
that	that	that
chair	chair	chair
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

