During	dure	During
a	a	a
meeting	meet	meeting
of	of	of
the	the	the
Welsh	welsh	Welsh
members	member	member
of	of	of
the	the	the
Parliament	parliament	Parliament
,	,	,
PM	pm	PM
Nigel	nigel	Nigel
Evans	evan	Evans
shamed	shame	shamed
the	the	the
anti	anti	anti
-Trump	-trump	-Trump
members	member	member
,	,	,
reminding	remind	reminding
them	them	them
that	that	that
they	they	they
have	have	have
decided	decid	decided
upon	upon	upon
their	their	their
own	own	own
version	version	version
of	of	of
democracy	democraci	democracy
and	and	and
that	that	that
61	61	61
million	million	million
Americans	american	Americans
supported	support	supported
Donald	donald	Donald
Trump	trump	Trump
at	at	at
the	the	the
ballot	ballot	ballot
box	box	box
.	.	.

He	he	He
started	start	started
out	out	out
by	by	by
telling	tell	telling
them	them	them
For	for	For
those	those	those
who	who	who
find	find	find
it	it	it
difficult	difficult	difficult
to	to	to
understand	understand	understand
to	to	to
understand	understand	understand
that	that	that
the	the	the
American	american	American
people	peopl	people
voted	vote	voted
for	for	for
Donald	donald	Donald
Trump	trump	Trump
,	,	,
get	get	get
over	over	over
it	it	it
because	becaus	because
he	he	he
s	s	s
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.

Evans	evan	Evans
reminded	remind	reminded
the	the	the
members	member	member
of	of	of
Parliament	parliament	Parliament
that	that	that
the	the	the
Brexit	brexit	Brexit
was	was	wa
also	also	also
a	a	a
referendum	referendum	referendum
handed	hand	handed
down	down	down
by	by	by
British	british	British
voters	voter	voter
to	to	to
members	member	member
of	of	of
Parliament	parliament	Parliament
who	who	who
have	have	have
forgotten	forgotten	forgotten
them	them	them
.	.	.

We	we	We
have	have	have
to	to	to
ask	ask	ask
ourselves	ourselv	ourselves
,	,	,
and	and	and
this	this	this
actually	actual	actually
includes	includ	includes
myself	myself	myself
,	,	,
is	is	is
that	that	that
we	we	we
have	have	have
to	to	to
ask	ask	ask
ourselves	ourselv	ourselves
,	,	,
why	whi	why
is	is	is
it	it	it
that	that	that
people	peopl	people
felt	felt	felt
so	so	so
left	left	left
behind	behind	behind
that	that	that
they	they	they
ve	ve	ve
made	made	made
the	the	the
democratic	democrat	democratic
decisions	decis	decision
that	that	that
they	they	they
have	have	have
?	?	?

These	these	These
were	were	were
the	the	the
forgotten	forgotten	forgotten
people	peopl	people
and	and	and
just	just	just
like	like	like
we	we	we
have	have	have
the	the	the
forgotten	forgotten	forgotten
people	peopl	people
in	in	in
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
,	,	,
there	there	there
are	are	are
the	the	the
forgotten	forgotten	forgotten
people	peopl	people
in	in	in
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
.	.	.

He	he	He
s	s	s
going	go	going
to	to	to
go	go	go
down	down	down
in	in	in
history	histori	history
for	for	for
being	be	being
the	the	the
only	onli	only
politician	politician	politician
to	to	to
deliver	deliv	deliver
on	on	on
his	his	his
promises	promis	promise
.	.	.

But	but	But
the	the	the
fact	fact	fact
is	is	is
that	that	that
there	there	there
were	were	were
61	61	61
million	million	million
people	peopl	people
who	who	who
voted	vote	voted
for	for	for
Donald	donald	Donald
Trump	trump	Trump
and	and	and
when	when	when
we	we	we
stand	stand	stand
up	up	up
in	in	in
this	this	this
country	countri	country
and	and	and
then	then	then
condemn	condemn	condemn
him	him	him
for	for	for
being	be	being
racist	racist	racist
and	and	and
I	i	I
ve	ve	ve
seen	seen	seen
no	no	no
evidence	evid	evidence
of	of	of
that	that	that
.	.	.

I	i	I
ve	ve	ve
seen	seen	seen
no	no	no
evidence	evid	evidence
of	of	of
him	him	him
being	be	being
racist	racist	racist
or	or	or
that	that	that
they	they	they
attacked	attack	attacked
him	him	him
in	in	in
an	an	an
unseemly	unseem	unseemly
way	way	way
,	,	,
we	we	we
re	re	re
actually	actual	actually
attacking	attack	attacking
the	the	the
American	american	American
people	peopl	people
the	the	the
61	61	61
million	million	million
people	peopl	people
who	who	who
supported	support	supported
him	him	him
.	.	.

Here	here	Here
is	is	is
the	the	the
shortened	shorten	shortened
version	version	version
Here	here	Here
is	is	is
the	the	the
full	full	full
version	version	version

