House	hous	House
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
is	is	is
hugely	huge	hugely
unpopular	unpopular	unpopular
,	,	,
garnering	garner	garnering
only	onli	only
a	a	a
29	29	29
percent	percent	percent
approval	approv	approval
rating	rate	rating
.	.	.
Apparently	appar	Apparently
,	,	,
8th	8th	8th
graders	grader	grader
disapprove	disapprov	disapprove
of	of	of
him	him	him
,	,	,
too	too	too
.	.	.
While	while	While
on	on	on
a	a	a
field	field	field
trip	trip	trip
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
on	on	on
Friday	friday	Friday
,	,	,
about	about	about
half	half	half
of	of	of
the	the	the
8th	8th	8th
-grade	-grade	-grade
students	student	student
from	from	from
a	a	a
South	south	South
Orange	orang	Orange
Middle	middl	Middle
School	school	School
refused	refus	refused
to	to	to
do	do	do
a	a	a
photo	photo	photo
-op	-op	-op
with	with	with
Ryan	ryan	Ryan
.	.	.
Instead	instead	Instead
,	,	,
the	the	the
nearly	near	nearly
100	100	100
students	student	student
opted	opt	opted
to	to	to
sit	sit	sit
in	in	in
a	a	a
parking	park	parking
lot	lot	lot
across	across	across
the	the	the
street	street	street
while	while	while
the	the	the
remaining	remain	remaining
students	student	student
took	took	took
part	part	part
in	in	in
the	the	the
photo	photo	photo
op	op	op
,	,	,
according	accord	according
to	to	to
Mashable	mashabl	Mashable
.	.	.
Elissa	elissa	Elissa
Malespina	malespina	Malespina
,	,	,
a	a	a
school	school	school
librarian	librarian	librarian
and	and	and
the	the	the
parent	parent	parent
one	one	one
of	of	of
the	the	the
eighth	eighth	eighth
graders	grader	grader
who	who	who
declined	declin	declined
the	the	the
photo	photo	photo
op	op	op
,	,	,
said	said	said
that	that	that
she	she	she
is	is	is
proud	proud	proud
of	of	of
her	her	her
son	son	son
.	.	.
I	i	I
am	am	am
so	so	so
proud	proud	proud
of	of	of
my	my	my
son	son	son
and	and	and
1	1	1
2	2	2
the	the	the
8th	8th	8th
grade	grade	grade
at	at	at
South	south	South
