How	how	How
fanatical	fanat	fanatical
is	is	is
the	the	the
Republican	republican	Republican
Party	parti	Party
in	in	in
2016	2016	2016
?	?	?
Even	even	Even
Marco	marco	Marco
Rubio	rubio	Rubio
is	is	is
being	be	being
painted	paint	painted
as	as	a
an	an	an
atheist	atheist	atheist
.	.	.
While	while	While
Donald	donald	Donald
Trump	trump	Trump
maintains	maintain	maintains
a	a	a
huge	huge	huge
lead	lead	lead
over	over	over
his	his	his
competitors	competitor	competitor
,	,	,
Marco	marco	Marco
Rubio	rubio	Rubio
and	and	and
Ted	ted	Ted
Cruz	cruz	Cruz
are	are	are
shooting	shoot	shooting
for	for	for
second	second	second
place	place	place
and	and	and
things	thing	thing
are	are	are
getting	get	getting
nastier	nastier	nastier
by	by	by
the	the	the
minute	minut	minute
.	.	.
In	in	In
a	a	a
particularly	particular	particularly
egregious	egregi	egregious
albeit	albeit	albeit
not	not	not
surprising	surpris	surprising
bit	bit	bit
of	of	of
mudslinging	mudsling	mudslinging
,	,	,
Cruz	cruz	Cruz
s	s	s
campaign	campaign	campaign
spread	spread	spread
an	an	an
outrageous	outrag	outrageous
video	video	video
they	they	they
claimed	claim	claimed
showed	show	showed
Rubio	rubio	Rubio
telling	tell	telling
a	a	a
Cruz	cruz	Cruz
campaign	campaign	campaign
staffer	staffer	staffer
that	that	that
he	he	he
hated	hate	hated
the	the	the
Bible	bibl	Bible
.	.	.
That	that	That
s	s	s
right	right	right
,	,	,
Marco	marco	Marco
I	i	I
could	could	could
look	look	look
a	a	a
rape	rape	rape
victim	victim	victim
in	in	in
the	the	the
eye	eye	eye
and	and	and
tell	tell	tell
them	them	them
not	not	not
to	to	to
have	have	have
an	an	an
abortion	abort	abortion
Rubio	rubio	Rubio
hates	hate	hate
God	god	God
.	.	.
Or	or	Or
so	so	so
Cruz	cruz	Cruz
s	s	s
team	team	team
would	would	would
have	have	have
you	you	you
believe	believ	believe
.	.	.
The	the	The
video	video	video
,	,	,
released	releas	released
by	by	by
the	the	the
right	right	right
-leaning	-lean	-leaning
politics	polit	politics
section	section	section
of	of	of
the	the	the
The	the	The
Daily	daili	Daily
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
captures	captur	capture
a	a	a
candid	candid	candid
moment	moment	moment
between	between	between
Rubio	rubio	Rubio
and	and	and
one	one	one
of	of	of
Cruz	cruz	Cruz
s	s	s
campaign	campaign	campaign
staffers	staffer	staffer
named	name	named
Christian	christian	Christian
Collins	collin	Collins
.	.	.
Rubio	rubio	Rubio
walks	walk	walk
by	by	by
Collins	collin	Collins
,	,	,
seated	seat	seated
next	next	next
to	to	to
Cruz	cruz	Cruz
s	s	s
batshit	batshit	batshit
insane	insan	insane
father	father	father
,	,	,
Rafael	rafael	Rafael
Cruz	cruz	Cruz
,	,	,
and	and	and
reportedly	report	reportedly
pointed	point	pointed
to	to	to
a	a	a
bible	bibl	bible
Collins	collin	Collins
was	was	wa
reading	read	reading
,	,	,
telling	tell	telling
him	him	him
Not	not	Not
many	mani	many
answers	answer	answer
in	in	in
it	it	it
.	.	.
The	the	The
Daily	daili	Daily
Pennsylvania	pennsylvania	Pennsylvania
even	even	even
helpfully	help	helpfully
provides	provid	provides
captions	caption	caption
for	for	for
this	this	this
exchange	exchang	exchange
so	so	so
you	you	you
can	can	can
comfortably	comfort	comfortably
ignore	ignor	ignore
the	the	the
fact	fact	fact
that	that	that
this	this	this
was	was	wa
absolutely	absolut	absolutely
not	not	not
what	what	what
Rubio	rubio	Rubio
said	said	said
.	.	.
Many	mani	Many
news	news	news
outlets	outlet	outlet
ran	ran	ran
the	the	the
story	stori	story
without	without	without
even	even	even
a	a	a
hint	hint	hint
of	of	of
skepticism	skeptic	skepticism
.	.	.
Gawker	gawker	Gawker
framed	frame	framed
it	it	it
as	as	a
Marco	marco	Marco
Rubio	rubio	Rubio
trying	tri	trying
to	to	to
talk	talk	talk
smack	smack	smack
.	.	.
But	but	But
if	if	if
you	you	you
listen	listen	listen
to	to	to
the	the	the
audio	audio	audio
and	and	and
ignore	ignor	ignore
what	what	what
the	the	the
captions	caption	caption
are	are	are
telling	tell	telling
you	you	you
Rubio	rubio	Rubio
is	is	is
saying	say	saying
,	,	,
the	the	the
conversation	convers	conversation
seems	seem	seems
much	much	much
less	less	le
hostile	hostil	hostile
.	.	.
In	in	In
fact	fact	fact
,	,	,
Rubio	rubio	Rubio
appears	appear	appears
to	to	to
be	be	be
trying	tri	trying
to	to	to
bond	bond	bond
with	with	with
the	the	the
Cruz	cruz	Cruz
staffer	staffer	staffer
over	over	over
their	their	their
shared	share	shared
love	love	love
of	of	of
the	the	the
Bible	bibl	Bible
.	.	.
Listening	listen	Listening
to	to	to
just	just	just
the	the	the
audio	audio	audio
,	,	,
Rubio	rubio	Rubio
clearly	clear	clearly
says	say	say
Got	got	Got
a	a	a
good	good	good
book	book	book
there	there	there
?	?	?
Every	everi	Every
answer	answer	answer
is	is	is
in	in	in
there	there	there
.	.	.
Especially	especi	Especially
in	in	in
that	that	that
one	one	one
.	.	.
That	that	That
interpretation	interpret	interpretation
would	would	would
make	make	make
sense	sens	sense
because	becaus	because
Marco	marco	Marco
Rubio	rubio	Rubio
is	is	is
a	a	a
religious	religi	religious
fundamentalist	fundamentalist	fundamentalist
who	who	who
,	,	,
like	like	like
many	mani	many
Republicans	republican	Republicans
,	,	,
believes	believ	belief
God	god	God
has	has	ha
ordained	ordain	ordained
him	him	him
to	to	to
become	becom	become
president	presid	president
.	.	.
His	his	His
stance	stanc	stance
on	on	on
things	thing	thing
like	like	like
gay	gay	gay
marriage	marriag	marriage
and	and	and
abortion	abort	abortion
are	are	are
derived	deriv	derived
from	from	from
his	his	his
literalist	literalist	literalist
reading	read	reading
of	of	of
the	the	the
Bible	bibl	Bible
.	.	.
He	he	He
really	realli	really
believes	believ	belief
that	that	that
every	everi	every
answer	answer	answer
is	is	is
in	in	in
there	there	there
.	.	.
The	the	The
idea	idea	idea
that	that	that
Rubio	rubio	Rubio
decided	decid	decided
to	to	to
out	out	out
himself	himself	himself
as	as	a
an	an	an
atheist	atheist	atheist
to	to	to
a	a	a
random	random	random
Cruz	cruz	Cruz
staffer	staffer	staffer
and	and	and
Cruz	cruz	Cruz
s	s	s
dad	dad	dad
,	,	,
thereby	therebi	thereby
effectively	effect	effectively
ending	end	ending
his	his	his
own	own	own
campaign	campaign	campaign
,	,	,
is	is	is
so	so	so
ludicrous	ludicr	ludicrous
that	that	that
only	onli	only
a	a	a
particularly	particular	particularly
dim	dim	dim
Cruz	cruz	Cruz
fan	fan	fan
would	would	would
be	be	be
gullible	gullibl	gullible
enough	enough	enough
to	to	to
actually	actual	actually
buy	buy	buy
it	it	it
.	.	.
Many	mani	Many
of	of	of
them	them	them
did	did	did
.	.	.
Some	some	Some
with	with	with
a	a	a
splash	splash	splash
of	of	of
anti	anti	anti
-Catholic	-cathol	-Catholic
bigotry	bigotri	bigotry
.	.	.
Despite	despit	Despite
the	the	the
logical	logic	logical
leaps	leap	leap
,	,	,
Cruz	cruz	Cruz
s	s	s
campaign	campaign	campaign
limply	limpli	limply
tried	tri	tried
to	to	to
spread	spread	spread
this	this	this
rumor	rumor	rumor
as	as	a
well	well	well
.	.	.
Why	whi	Why
waste	wast	waste
the	the	the
moment	moment	moment
,	,	,
right	right	right
?	?	?
It	it	It
was	was	wa
painful	pain	painful
to	to	to
watch	watch	watch
.	.	.
Here	here	Here
s	s	s
Rick	rick	Rick
Tyler	tyler	Tyler
,	,	,
a	a	a
Cruz	cruz	Cruz
staffer	staffer	staffer
,	,	,
tweeting	tweet	tweeting
a	a	a
link	link	link
to	to	to
the	the	the
Rubio	rubio	Rubio
hates	hate	hate
God	god	God
story	stori	story
.	.	.
What	what	What
better	better	better
way	way	way
to	to	to
shed	shed	shed
that	that	that
stigma	stigma	stigma
of	of	of
running	run	running
a	a	a
dishonest	dishonest	dishonest
campaign	campaign	campaign
than	than	than
to	to	to
push	push	push
a	a	a
story	stori	story
that	that	that
Rubio	rubio	Rubio
hates	hate	hate
the	the	the
Bible	bibl	Bible
.	.	.
pic.twitter.com/nVzXPFG3j0	pic.twitter.com/nvzxpfg3j0	pic.twitter.com/nVzXPFG3j0
Josh	josh	Josh
Jordan	jordan	Jordan
@NumbersMuncher	@numbersmunch	@NumbersMuncher
February	februari	February
21	21	21
,	,	,
2016Almost	2016almost	2016Almost
immediately	immedi	immediately
,	,	,
the	the	the
higher	higher	higher
ups	up	ups
in	in	in
the	the	the
Cruz	cruz	Cruz
campaign	campaign	campaign
realized	realiz	realized
this	this	this
story	stori	story
was	was	wa
a	a	a
disaster	disast	disaster
in	in	in
the	the	the
making	make	making
.	.	.
They	they	They
were	were	were
okay	okay	okay
when	when	when
Cruz	cruz	Cruz
suggested	suggest	suggested
Trump	trump	Trump
would	would	would
abolish	abolish	abolish
the	the	the
Second	second	Second
Amendment	amend	Amendment
.	.	.
They	they	They
were	were	were
okay	okay	okay
when	when	when
Cruz	cruz	Cruz
told	told	told
Iowans	iowan	Iowans
that	that	that
Ben	ben	Ben
Carson	carson	Carson
had	had	had
dropped	drop	dropped
out	out	out
of	of	of
the	the	the
race	race	race
on	on	on
the	the	the
night	night	night
of	of	of
