Monday	monday	Monday
,	,	,
August	august	August
29	29	29
,	,	,
happens	happen	happens
to	to	to
be	be	be
the	the	the
53rd	53rd	53rd
anniversary	anniversari	anniversary
of	of	of
the	the	the
Civil	civil	Civil
Rights	right	Rights
March	march	March
on	on	on
Washington	washington	Washington
,	,	,
in	in	in
which	which	which
civil	civil	civil
rights	right	right
icon	icon	icon
Martin	martin	Martin
Luther	luther	Luther
King	king	King
,	,	,
Jr	jr	Jr
.	.	.
made	made	made
his	his	his
iconic	icon	iconic
I	i	I
Have	have	Have
a	a	a
Dream	dream	Dream
speech	speech	speech
.	.	.

It	it	It
is	is	is
a	a	a
landmark	landmark	landmark
point	point	point
in	in	in
the	the	the
history	histori	history
of	of	of
Black	black	Black
Americans	american	Americans
gaining	gain	gaining
legal	legal	legal
civil	civil	civil
rights	right	right
.	.	.

Therefore	therefor	Therefore
,	,	,
the	the	the
last	last	last
person	person	person
who	who	who
should	should	should
be	be	be
speaking	speak	speaking
out	out	out
on	on	on
this	this	this
event	event	event
is	is	is
the	the	the
racist	racist	racist
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
,	,	,
Donald	donald	Donald
Trump	trump	Trump
.	.	.

But	but	But
,	,	,
speak	speak	speak
out	out	out
he	he	he
did	did	did
,	,	,
and	and	and
he	he	he
actually	actual	actually
had	had	had
the	the	the
unabashed	unabash	unabashed
gall	gall	gall
to	to	to
try	tri	try
and	and	and
pretend	pretend	pretend
he	he	he
cares	care	care
about	about	about
equality	equal	equality
.	.	.

Here	here	Here
is	is	is
the	the	the
tweet	tweet	tweet
Today	today	Today
is	is	is
the	the	the
53rd	53rd	53rd
anniversary	anniversari	anniversary
of	of	of
the	the	the
March	march	March
on	on	on
Washington	washington	Washington
today	today	today
we	we	we
honor	honor	honor
the	the	the
enduring	endur	enduring
fight	fight	fight
for	for	for
justice	justic	justice
,	,	,
equality	equal	equality
and	and	and
opportunity	opportun	opportunity
.	.	.

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
August	august	August
28	28	28
,	,	,
2016Now	2016now	2016Now
,	,	,
you	you	you
must	must	must
understand	understand	understand
,	,	,
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
a	a	a
long	long	long
and	and	and
well	well	well
-documented	-document	-documented
history	histori	history
of	of	of
racism	racism	racism
.	.	.

Here	here	Here
are	are	are
just	just	just
a	a	a
few	few	few
of	of	of
those	those	those
instances	instanc	instance
I	i	I
could	could	could
go	go	go
on	on	on
,	,	,
but	but	but
you	you	you
get	get	get
the	the	the
picture	pictur	picture
.	.	.

This	this	This
guy	guy	guy
is	is	is
a	a	a
dyed	dy	dyed
in	in	in
the	the	the
wool	wool	wool
,	,	,
bona	bona	bona
fide	fide	fide
racist	racist	racist
.	.	.

He	he	He
DARES	dare	DARES
to	to	to
try	tri	try
and	and	and
say	say	say
he	he	he
cares	care	care
about	about	about
equality	equal	equality
and	and	and
justice	justic	justice
for	for	for
minorities	minor	minority
,	,	,
but	but	but
clearly	clear	clearly
,	,	,
he	he	he
doesn	doesn	doesn
t	t	t
just	just	just
look	look	look
at	at	at
his	his	his
actions	action	action
,	,	,
the	the	the
bigoted	bigot	bigoted
nature	natur	nature
of	of	of
his	his	his
campaign	campaign	campaign
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
people	peopl	people
he	he	he
surrounds	surround	surround
himself	himself	himself
with	with	with
.	.	.

Further	further	Further
,	,	,
his	his	his
so	so	so
-called	-call	-called
outreach	outreach	outreach
is	is	is
only	onli	only
Trump	trump	Trump
s	s	s
attempt	attempt	attempt
to	to	to
be	be	be
a	a	a
white	white	white
whisperer	whisper	whisperer
to	to	to
those	those	those
white	white	white
people	peopl	people
who	who	who
are	are	are
too	too	too
uncomfortable	uncomfort	uncomfortable
to	to	to
vote	vote	vote
for	for	for
him	him	him
if	if	if
they	they	they
sincerely	sincer	sincerely
believe	believ	believe
him	him	him
to	to	to
be	be	be
a	a	a
racist	racist	racist
.	.	.

Newsflash	newsflash	Newsflash
,	,	,
folks	folk	folk
Donald	donald	Donald
Trump	trump	Trump
IS	is	IS
a	a	a
racist	racist	racist
.	.	.

His	his	His
history	histori	history
and	and	and
the	the	the
nature	natur	nature
of	of	of
his	his	his
campaign	campaign	campaign
shows	show	show
it	it	it
.	.	.

He	he	He
s	s	s
only	onli	only
pandering	pander	pandering
for	for	for
votes	vote	vote
because	becaus	because
he	he	he
knows	know	know
he	he	he
cannot	cannot	cannot
win	win	win
in	in	in
November	novemb	November
with	with	with
only	onli	only
white	white	white
people	peopl	people
.	.	.

Do	do	Do
not	not	not
be	be	be
fooled	fool	fooled
Trump	trump	Trump
is	is	is
a	a	a
racist	racist	racist
demagogue	demagogu	demagogue
,	,	,
and	and	and
no	no	no
amount	amount	amount
of	of	of
attempting	attempt	attempting
to	to	to
pander	pander	pander
and	and	and
change	chang	change
his	his	his
language	languag	language
changes	chang	change
that	that	that
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Ralph	ralph	Ralph
Freso	freso	Freso
Getty	getti	Getty
Images	imag	Images

