Saturday	saturday	Saturday
s	s	s
GOP	gop	GOP
debate	debat	debate
got	got	got
off	off	off
to	to	to
a	a	a
hilarious	hilari	hilarious
start	start	start
as	as	a
candidates	candid	candidate
Ben	ben	Ben
Carson	carson	Carson
and	and	and
Donald	donald	Donald
Trump	trump	Trump
both	both	both
failed	fail	failed
to	to	to
appear	appear	appear
on	on	on
stage	stage	stage
after	after	after
their	their	their
names	name	name
were	were	were
called	call	called
.	.	.
Video	video	Video
posted	post	posted
to	to	to
YouTube	youtub	YouTube
by	by	by
the	the	the
Washington	washington	Washington
Free	free	Free
Beacon	beacon	Beacon
shows	show	show
an	an	an
obviously	obvious	obviously
confused	confus	confused
Ben	ben	Ben
Carson	carson	Carson
hovering	hover	hovering
off	off	off
stage	stage	stage
for	for	for
several	sever	several
minutes	minut	minute
,	,	,
after	after	after
he	he	he
apparently	appar	apparently
failed	fail	failed
to	to	to
hear	hear	hear
his	his	his
name	name	name
called	call	called
during	dure	during
the	the	the
introductions	introduct	introduction
.	.	.
At	at	At
this	this	this
point	point	point
we	we	we
see	see	see
a	a	a
man	man	man
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
hallway	hallway	hallway
frantically	frantic	frantically
gesturing	gestur	gesturing
to	to	to
Carson	carson	Carson
to	to	to
walk	walk	walk
out	out	out
onto	onto	onto
the	the	the
stage	stage	stage
.	.	.
After	after	After
a	a	a
long	long	long
,	,	,
awkward	awkward	awkward
pause	paus	pause
,	,	,
during	dure	during
which	which	which
the	the	the
cameras	camera	camera
were	were	were
honed	hone	honed
in	in	in
on	on	on
Carson	carson	Carson
,	,	,
the	the	the
announcer	announc	announcer
goes	goe	go
on	on	on
to	to	to
introduce	introduc	introduce
Ted	ted	Ted
Cruz	cruz	Cruz
.	.	.
Carson	carson	Carson
begins	begin	begin
to	to	to
walk	walk	walk
toward	toward	toward
the	the	the
stage	stage	stage
,	,	,
then	then	then
suddenly	sudden	suddenly
stops	stop	stop
,	,	,
realizing	realiz	realizing
that	that	that
it	it	it
was	was	wa
Cruz	cruz	Cruz
s	s	s
name	name	name
,	,	,
not	not	not
his	his	his
own	own	own
,	,	,
that	that	that
was	was	wa
called	call	called
.	.	.
Carson	carson	Carson
moves	move	move
further	further	further
off	off	off
stage	stage	stage
,	,	,
and	and	and
Cruz	cruz	Cruz
walks	walk	walk
past	past	past
him	him	him
,	,	,
patting	pat	patting
his	his	his
arm	arm	arm
.	.	.
After	after	After
Cruz	cruz	Cruz
takes	take	take
to	to	to
the	the	the
stage	stage	stage
,	,	,
the	the	the
man	man	man
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
hallway	hallway	hallway
appears	appear	appears
again	again	again
.	.	.

Yet	yet	Yet
again	again	again
he	he	he
can	can	can
be	be	be
seen	seen	seen
waving	wave	waving
wildly	wild	wildly
at	at	at
Carson	carson	Carson
,	,	,
prompting	prompt	prompting
him	him	him
to	to	to
walk	walk	walk
out	out	out
.	.	.
But	but	But
nope	nope	nope
.	.	.

Carson	carson	Carson
remains	remain	remains
dazed	daze	dazed
and	and	and
confused	confus	confused
.	.	.
The	the	The
announcer	announc	announcer
then	then	then
calls	call	call
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Trump	trump	Trump
saunters	saunter	saunter
slowly	slowli	slowly
around	around	around
the	the	the
corner	corner	corner
,	,	,
but	but	but
he	he	he
also	also	also
fails	fail	fails
to	to	to
walk	walk	walk
out	out	out
on	on	on
the	the	the
stage	stage	stage
.	.	.
With	with	With
Carson	carson	Carson
and	and	and
Trump	trump	Trump
both	both	both
hovering	hover	hovering
in	in	in
the	the	the
hall	hall	hall
,	,	,
the	the	the
announcer	announc	announcer
goes	goe	go
on	on	on
to	to	to
introduce	introduc	introduce
Marco	marco	Marco
Rubio	rubio	Rubio
.	.	.
Rubio	rubio	Rubio
walks	walk	walk
past	past	past
both	both	both
of	of	of
the	the	the
other	other	other
candidates	candid	candidate
,	,	,
as	as	a
Trump	trump	Trump
stands	stand	stand
awkwardly	awkward	awkwardly
near	near	near
Carson	carson	Carson
.	.	.
Jeb	jeb	Jeb
Bush	bush	Bush
is	is	is
called	call	called
next	next	next
.	.	.

Bush	bush	Bush
glides	glide	glide
right	right	right
on	on	on
past	past	past
Trump	trump	Trump
and	and	and
Carson	carson	Carson
,	,	,
who	who	who
clearly	clear	clearly
have	have	have
no	no	no
idea	idea	idea
what	what	what
they	they	they
re	re	re
supposed	suppos	supposed
to	to	to
doing	do	doing
.	.	.
After	after	After
all	all	all
of	of	of
the	the	the
other	other	other
candidates	candid	candidate
have	have	have
finally	final	finally
taken	taken	taken
to	to	to
the	the	the
stage	stage	stage
,	,	,
the	the	the
moderators	moder	moderator
personally	person	personally
invite	invit	invite
Carson	carson	Carson
to	to	to
come	come	come
out	out	out
of	of	of
the	the	the
hallway	hallway	hallway
.	.	.
A	a	A
moment	moment	moment
later	later	later
they	they	they
call	call	call
Donald	donald	Donald
Trump	trump	Trump
,	,	,
noting	note	noting
that	that	that
he	he	he
s	s	s
standing	stand	standing
back	back	back
there	there	there
as	as	a
well	well	well
.	.	.

Trump	trump	Trump
misses	miss	miss
it	it	it
again	again	again
.	.	.

He	he	He
finally	final	finally
gets	get	get
it	it	it
right	right	right
the	the	the
third	third	third
time	time	time
around	around	around
.	.	.
Watch	watch	Watch
the	the	the
hilarious	hilari	hilarious
video	video	video
,	,	,
courtesy	courtesi	courtesy
of	of	of
the	the	the
Washington	washington	Washington
Free	free	Free
Beacon	beacon	Beacon
on	on	on
YouTube	youtub	YouTube
.	.	.

Those	those	Those
who	who	who
watch	watch	watch
the	the	the
GOP	gop	GOP
debates	debat	debate
hoping	hope	hoping
for	for	for
substance	substanc	substance
or	or	or
serious	serious	serious
policy	polici	policy
discussion	discuss	discussion
are	are	are
sure	sure	sure
to	to	to
be	be	be
disappointed	disappoint	disappointed
,	,	,
every	everi	every
time	time	time
.	.	.
But	but	But
those	those	those
of	of	of
us	us	u
who	who	who
watch	watch	watch
expecting	expect	expecting
nothing	noth	nothing
more	more	more
than	than	than
a	a	a
good	good	good
laugh	laugh	laugh
are	are	are
rarely	rare	rarely
disappointed	disappoint	disappointed
.	.	.
Image	imag	Image
credit	credit	credit
video	video	video
screen	screen	screen
capture	captur	capture
via	via	via
Washington	washington	Washington
Free	free	Free
Beacon	beacon	Beacon
on	on	on
YouTube	youtub	YouTube

