#FeelTheBernOfSocialismUnivision	#feelthebernofsocialismunivis	#FeelTheBernOfSocialismUnivision
host	host	host
Leon	leon	Leon
Krauze	krauz	Krauze
asked	ask	asked
avowed	avow	avowed
Socialist	socialist	Socialist
Bernie	berni	Bernie
Sanders	sander	Sanders
about	about	about
the	the	the
collapse	collaps	collapse
of	of	of
several	sever	several
Latin	latin	Latin
American	american	American
countries	countri	country
due	due	due
to	to	to
their	their	their
failed	fail	failed
socialist	socialist	socialist
policies	polici	policy
.	.	.
Angry	angri	Angry
Bernie	berni	Bernie
responded	respond	responded
with	with	with
well	well	well
,	,	,
anger	anger	anger
.	.	.
WATCH	watch	WATCH
