Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
may	may	may
still	still	still
be	be	be
loyal	loyal	loyal
to	to	to
Donald	donald	Donald
Trump	trump	Trump
,	,	,
but	but	but
her	her	her
husband	husband	husband
seems	seem	seems
far	far	far
less	less	le
impressed	impress	impressed
with	with	with
our	our	our
Tweeter	tweeter	Tweeter
-in-Chief	-in-chief	-in-Chief
.	.	.

On	on	On
Monday	monday	Monday
morning	morn	morning
,	,	,
George	georg	George
Conway	conway	Conway
took	took	took
to	to	to
Twitter	twitter	Twitter
,	,	,
Trump	trump	Trump
s	s	s
favorite	favorit	favorite
medium	medium	medium
,	,	,
to	to	to
blast	blast	blast
the	the	the
president	presid	president
for	for	for
his	his	his
early	earli	early
morning	morn	morning
tweets	tweet	tweet
about	about	about
his	his	his
Muslim	muslim	Muslim
ban	ban	ban
.	.	.
On	on	On
Saturday	saturday	Saturday
evening	even	evening
,	,	,
Trump	trump	Trump
exploited	exploit	exploited
the	the	the
terrorist	terrorist	terrorist
attacks	attack	attack
in	in	in
London	london	London
to	to	to
push	push	push
for	for	for
his	his	his
Muslim	muslim	Muslim
ban	ban	ban
.	.	.

Because	becaus	Because
who	who	who
cares	care	care
that	that	that
this	this	this
won	won	won
t	t	t
keep	keep	keep
us	us	u
safe	safe	safe
and	and	and
only	onli	only
adds	add	add
fuel	fuel	fuel
to	to	to
the	the	the
fire	fire	fire
.	.	.
We	we	We
need	need	need
to	to	to
be	be	be
smart	smart	smart
,	,	,
vigilant	vigil	vigilant
and	and	and
tough	tough	tough
.	.	.

We	we	We
need	need	need
the	the	the
courts	court	court
to	to	to
give	give	give
us	us	u
back	back	back
our	our	our
rights	right	right
.	.	.

We	we	We
need	need	need
the	the	the
Travel	travel	Travel
Ban	ban	Ban
as	as	a
an	an	an
extra	extra	extra
level	level	level
of	of	of
safety	safeti	safety
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
3	3	3
,	,	,
2017Then	2017then	2017Then
on	on	on
Monday	monday	Monday
,	,	,
Trump	trump	Trump
really	realli	really
lost	lost	lost
his	his	his
sh	sh	sh
t	t	t
over	over	over
his	his	his
travel	travel	travel
ban	ban	ban
that	that	that
totally	total	totally
isn	isn	isn
t	t	t
a	a	a
ban	ban	ban
.	.	.

People	peopl	People
,	,	,
the	the	the
lawyers	lawyer	lawyer
and	and	and
the	the	the
courts	court	court
can	can	can
call	call	call
it	it	it
whatever	whatev	whatever
they	they	they
want	want	want
,	,	,
but	but	but
I	i	I
am	am	am
calling	call	calling
it	it	it
what	what	what
we	we	we
need	need	need
and	and	and
what	what	what
it	it	it
is	is	is
,	,	,
a	a	a
TRAVEL	travel	TRAVEL
BAN	ban	BAN
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
5	5	5
,	,	,
2017The	2017the	2017The
Justice	justic	Justice
Dept	dept	Dept
.	.	.

should	should	should
have	have	have
stayed	stay	stayed
with	with	with
the	the	the
original	origin	original
Travel	travel	Travel
Ban	ban	Ban
,	,	,
not	not	not
the	the	the
watered	water	watered
down	down	down
,	,	,
politically	polit	politically
correct	correct	correct
version	version	version
they	they	they
submitted	submit	submitted
to	to	to
S	s	S
.	.	.
C	c	C
.	.	.
Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
5	5	5
,	,	,
2017The	2017the	2017The
Justice	justic	Justice
Dept	dept	Dept
.	.	.

should	should	should
ask	ask	ask
for	for	for
an	an	an
expedited	expedit	expedited
hearing	hear	hearing
of	of	of
the	the	the
watered	water	watered
down	down	down
Travel	travel	Travel
Ban	ban	Ban
before	befor	before
the	the	the
Supreme	suprem	Supreme
Court	court	Court
seek	seek	seek
much	much	much
tougher	tougher	tougher
version	version	version
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
5	5	5
,	,	,
2017In	2017in	2017In
any	ani	any
event	event	event
we	we	we
are	are	are
EXTREME	extrem	EXTREME
VETTING	vet	VETTING
people	peopl	people
coming	come	coming
into	into	into
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
in	in	in
order	order	order
to	to	to
help	help	help
keep	keep	keep
our	our	our
country	countri	country
safe	safe	safe
.	.	.

The	the	The
courts	court	court
are	are	are
slow	slow	slow
and	and	and
political	polit	political
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
5	5	5
,	,	,
2017	2017	2017
These	these	These
tweets	tweet	tweet
may	may	may
make	make	make
some	some	some
ppl	ppl	ppl
feel	feel	feel
better	better	better
,	,	,
but	but	but
they	they	they
certainly	certain	certainly
won	won	won
t	t	t
help	help	help
Trump	trump	Trump
s	s	s
travel	travel	travel
ban	ban	ban
executive	execut	executive
order	order	order
get	get	get
5	5	5
votes	vote	vote
in	in	in
SCOTUS	scotus	SCOTUS
,	,	,
which	which	which
is	is	is
what	what	what
actually	actual	actually
matters	matter	matter
,	,	,
Conway	conway	Conway
wrote	wrote	wrote
.	.	.

Sad	sad	Sad
.	.	.

These	these	These
tweets	tweet	tweet
may	may	may
make	make	make
some	some	some
ppl	ppl	ppl
feel	feel	feel
better	better	better
,	,	,
but	but	but
they	they	they
certainly	certain	certainly
won	won	won
t	t	t
help	help	help
OSG	osg	OSG
get	get	get
5	5	5
votes	vote	vote
in	in	in
SCOTUS	scotus	SCOTUS
,	,	,
which	which	which
is	is	is
what	what	what
actually	actual	actually
matters	matter	matter
.	.	.

Sad	sad	Sad
.	.	.

https://t.co/zVhcyfm8Hr	https://t.co/zvhcyfm8hr	https://t.co/zVhcyfm8Hr
George	georg	George
Conway	conway	Conway
@gtconway3d	@gtconway3d	@gtconway3d
June	june	June
5	5	5
,	,	,
2017Conway	2017conway	2017Conway
was	was	wa
at	at	at
the	the	the
top	top	top
of	of	of
the	the	the
short	short	short
list	list	list
for	for	for
a	a	a
job	job	job
at	at	at
the	the	the
Justice	justic	Justice
Department	depart	Department
,	,	,
but	but	but
last	last	last
week	week	week
he	he	he
withdrew	withdrew	withdrew
his	his	his
name	name	name
from	from	from
consideration	consider	consideration
.	.	.

It	it	It
is	is	is
worth	worth	worth
noting	note	noting
that	that	that
this	this	this
tweet	tweet	tweet
slamming	slam	slamming
Trump	trump	Trump
is	is	is
the	the	the
first	first	first
one	one	one
Conway	conway	Conway
has	has	ha
posted	post	posted
since	sinc	since
2015	2015	2015
.	.	.
Featured	featur	Featured
image	imag	image
