Now	now	Now
that	that	that
Trump	trump	Trump
is	is	is
officially	offici	officially
going	go	going
to	to	to
be	be	be
the	the	the
next	next	next
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
his	his	his
supporters	support	supporter
are	are	are
unapologetically	unapologet	unapologetically
displaying	display	displaying
his	his	his
hateful	hate	hateful
,	,	,
divisive	divis	divisive
rhetoric	rhetor	rhetoric
in	in	in
their	their	their
everyday	everyday	everyday
actions	action	action
.	.	.

On	on	On
Tuesday	tuesday	Tuesday
,	,	,
a	a	a
woman	woman	woman
in	in	in
Louisville	louisvill	Louisville
,	,	,
Kentucky	kentucki	Kentucky
showed	show	showed
everyone	everyon	everyone
how	how	how
to	to	to
perfectly	perfect	perfectly
follow	follow	follow
Trump	trump	Trump
s	s	s
racist	racist	racist
example	exampl	example
when	when	when
she	she	she
unleashed	unleash	unleashed
a	a	a
racist	racist	racist
tirade	tirad	tirade
on	on	on
a	a	a
pair	pair	pair
of	of	of
Hispanic	hispan	Hispanic
women	women	woman
in	in	in
JCPenney	jcpenney	JCPenney
.	.	.
Video	video	Video
footage	footag	footage
of	of	of
this	this	this
incident	incid	incident
was	was	wa
filmed	film	filmed
by	by	by
Renee	rene	Renee
Buckner	buckner	Buckner
,	,	,
who	who	who
witnessed	wit	witnessed
the	the	the
event	event	event
and	and	and
was	was	wa
completely	complet	completely
disgusted	disgust	disgusted
.	.	.

She	she	She
wrote	wrote	wrote
This	this	This
Hispanic	hispan	Hispanic
lady	ladi	lady
was	was	wa
purchasing	purchas	purchasing
items	item	item
and	and	and
the	the	the
transaction	transact	transaction
was	was	wa
almost	almost	almost
complete	complet	complete
,	,	,
then	then	then
her	her	her
friend	friend	friend
brings	bring	brings
up	up	up
some	some	some
shirts	shirt	shirt
to	to	to
be	be	be
added	ad	added
to	to	to
her	her	her
purchase	purchas	purchase
instead	instead	instead
of	of	of
getting	get	getting
in	in	in
line	line	line
.	.	.

And	and	And
this	this	this
lady	ladi	lady
went	went	went
off	off	off
!	!	!
!	!	!
!	!	!

In	in	In
the	the	the
video	video	video
,	,	,
a	a	a
senior	senior	senior
woman	woman	woman
had	had	had
mistakenly	mistaken	mistakenly
though	though	though
that	that	that
one	one	one
of	of	of
the	the	the
Hispanic	hispan	Hispanic
women	women	woman
had	had	had
cut	cut	cut
her	her	her
in	in	in
line	line	line
,	,	,
and	and	and
she	she	she
couldn	couldn	couldn
t	t	t
control	control	control
her	her	her
white	white	white
privilege	privileg	privilege
and	and	and
racism	racism	racism
.	.	.

Pointing	point	Pointing
to	to	to
the	the	the
end	end	end
of	of	of
the	the	the
line	line	line
,	,	,
the	the	the
older	older	older
white	white	white
woman	woman	woman
said	said	said
It	it	It
starts	start	start
back	back	back
there	there	there
.	.	.

And	and	And
it	it	it
don	don	don
t	t	t
bother	bother	bother
me	me	me
if	if	if
I	i	I
say	say	say
it	it	it
and	and	and
I	i	I
don	don	don
t	t	t
care	care	care
if	if	if
everybody	everybodi	everybody
hears	hear	hears
me	me	me
.	.	.

I	i	I
think	think	think
everybody	everybodi	everybody
here	here	here
probably	probabl	probably
feels	feel	feel
the	the	the
same	same	same
damn	damn	damn
way	way	way
I	i	I
do	do	do
.	.	.

The	the	The
Hispanic	hispan	Hispanic
woman	woman	woman
hadn	hadn	hadn
t	t	t
cut	cut	cut
her	her	her
at	at	at
all	all	all
she	she	she
was	was	wa
merely	mere	merely
adding	ad	adding
to	to	to
the	the	the
other	other	other
woman	woman	woman
s	s	s
purchase	purchas	purchase
but	but	but
the	the	the
Trump	trump	Trump
supporter	support	supporter
was	was	wa
already	alreadi	already
on	on	on
a	a	a
roll	roll	roll
.	.	.

She	she	She
said	said	said
Just	just	Just
go	go	go
back	back	back
wherever	wherev	wherever
the	the	the
f	f	f
ck	ck	ck
you	you	you
came	came	came
from	from	from
.	.	.

Turning	turn	Turning
to	to	to
the	the	the
cashier	cashier	cashier
,	,	,
the	the	the
woman	woman	woman
said	said	said
Hey	hey	Hey
!	!	!

Tell	tell	Tell
em	em	em
to	to	to
go	go	go
back	back	back
where	where	where
they	they	they
belong	belong	belong
.	.	.

You	you	You
know	know	know
,	,	,
they	they	they
come	come	come
here	here	here
to	to	to
live	live	live
and	and	and
they	they	they
act	act	act
like	like	like
they	they	they
re	re	re
everybody	everybodi	everybody
else	els	else
.	.	.

Get	get	Get
in	in	in
the	the	the
back	back	back
of	of	of
the	the	the
line	line	line
like	like	like
everybody	everybodi	everybody
else	els	else
does	doe	doe
.	.	.

Then	then	Then
she	she	she
directed	direct	directed
her	her	her
hatred	hatr	hatred
right	right	right
back	back	back
to	to	to
the	the	the
Hispanic	hispan	Hispanic
women	women	woman
as	as	a
they	they	they
tried	tri	tried
to	to	to
remain	remain	remain
calm	calm	calm
and	and	and
ignore	ignor	ignore
the	the	the
blatant	blatant	blatant
bigotry	bigotri	bigotry
being	be	being
directed	direct	directed
at	at	at
them	them	them
.	.	.

The	the	The
older	older	older
woman	woman	woman
continued	continu	continued
to	to	to
hurl	hurl	hurl
abusive	abus	abusive
language	languag	language
at	at	at
them	them	them
You	you	You
re	re	re
a	a	a
nobody	nobodi	nobody
.	.	.

Just	just	Just
because	becaus	because
you	you	you
come	come	come
from	from	from
another	anoth	another
country	countri	country
,	,	,
it	it	it
don	don	don
t	t	t
make	make	make
you	you	you
nobody	nobodi	nobody
!	!	!

Nobody	nobodi	Nobody
,	,	,
as	as	a
far	far	far
as	as	a
I	i	I
m	m	m
concerned	concern	concerned
.	.	.

You	you	You
re	re	re
probably	probabl	probably
on	on	on
welfare	welfar	welfare
,	,	,
the	the	the
taxpayers	taxpay	taxpayer
probably	probabl	probably
paid	paid	paid
for	for	for
all	all	all
that	that	that
stuff	stuff	stuff
.	.	.

Speak	speak	Speak
English	english	English
,	,	,
this	this	this
is	is	is
America	america	America
!	!	!

If	if	If
you	you	you
don	don	don
t	t	t
know	know	know
it	it	it
,	,	,
learn	learn	learn
it	it	it
.	.	.

What	what	What
this	this	this
woman	woman	woman
did	did	did
is	is	is
disgusting	disgust	disgusting
and	and	and
humiliating	humili	humiliating
to	to	to
anyone	anyon	anyone
who	who	who
was	was	wa
once	onc	once
proud	proud	proud
to	to	to
call	call	call
themselves	themselv	themselves
an	an	an
American	american	American
before	befor	before
Trump	trump	Trump
began	began	began
unraveling	unravel	unraveling
the	the	the
country	countri	country
.	.	.

You	you	You
can	can	can
watch	watch	watch
this	this	this
Trump	trump	Trump
supporter	support	supporter
spread	spread	spread
hate	hate	hate
below	below	below
Featured	featur	Featured
image	imag	image
is	is	is
