After	after	After
Judicial	judici	Judicial
Watch	watch	Watch
exposed	expos	exposed
a	a	a
serious	serious	serious
ethics	ethic	ethic
issue	issu	issue
related	relat	related
to	to	to
FBI	fbi	FBI
Deputy	deputi	Deputy
Director	director	Director
Andrew	andrew	Andrew
McCabe	mccabe	McCabe
s	s	s
involvement	involv	involvement
in	in	in
his	his	his
Democrat	democrat	Democrat
wife	wife	wife
s	s	s
VA	va	VA
Senate	senat	Senate
campaign	campaign	campaign
,	,	,
President	presid	President
Trump	trump	Trump
just	just	just
took	took	took
to	to	to
Twitter	twitter	Twitter
to	to	to
expose	expos	expose
FBI	fbi	FBI
Deputy	deputi	Deputy
Director	director	Director
Andrew	andrew	Andrew
McCabe	mccabe	McCabe
,	,	,
calling	call	calling
him	him	him
The	the	The
man	man	man
in	in	in
charge	charg	charge
,	,	,
along	along	along
with	with	with
leakin	leakin	leakin
James	jame	James
Comey	comey	Comey
,	,	,
of	of	of
the	the	the
Phony	phoni	Phony
Hillary	hillari	Hillary
Clinton	clinton	Clinton
investigation	investig	investigation
33	33	33
,	,	,
000	000	000
illegally	illeg	illegally
deleted	delet	deleted
emails	email	email
Trump	trump	Trump
seemed	seem	seemed
to	to	to
be	be	be
stunned	stun	stunned
that	that	that
McCabe	mccabe	McCabe
could	could	could
be	be	be
given	given	given
7000	7000	7000
,	,	,
000	000	000
for	for	for
wife	wife	wife
s	s	s
campaign	campaign	campaign
by	by	by
Clinton	clinton	Clinton
Puppets	puppet	Puppets
during	dure	during
investigation	investig	investigation
?	?	?

into	into	into
her	her	her
emails	email	email
.	.	.
How	how	How
can	can	can
FBI	fbi	FBI
Deputy	deputi	Deputy
Director	director	Director
Andrew	andrew	Andrew
McCabe	mccabe	McCabe
,	,	,
the	the	the
man	man	man
in	in	in
charge	charg	charge
,	,	,
along	along	along
with	with	with
leakin	leakin	leakin
James	jame	James
Comey	comey	Comey
,	,	,
of	of	of
the	the	the
Phony	phoni	Phony
Hillary	hillari	Hillary
Clinton	clinton	Clinton
investigation	investig	investigation
including	includ	including
her	her	her
33	33	33
,	,	,
000	000	000
illegally	illeg	illegally
deleted	delet	deleted
emails	email	email
be	be	be
given	given	given
700	700	700
,	,	,
000	000	000
for	for	for
wife	wife	wife
s	s	s
campaign	campaign	campaign
by	by	by
Clinton	clinton	Clinton
Puppets	puppet	Puppets
during	dure	during
investigation	investig	investigation
?	?	?

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
December	decemb	December
23	23	23
,	,	,
2017President	2017presid	2017President
Trump	trump	Trump
then	then	then
tweeted	tweet	tweeted
FBI	fbi	FBI
Deputy	deputi	Deputy
Director	director	Director
Andrew	andrew	Andrew
McCabe	mccabe	McCabe
is	is	is
racing	race	racing
the	the	the
clock	clock	clock
to	to	to
retire	retir	retire
with	with	with
full	full	full
benefits	benefit	benefit
.	.	.

90	90	90
days	day	day
to	to	to
go	go	go
?	?	?
!	!	!
!	!	!
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
December	decemb	December
23	23	23
,	,	,
2017Judicial	2017judici	2017Judicial
Watch	watch	Watch
today	today	today
released	releas	released
79	79	79
pages	page	page
of	of	of
Justice	justic	Justice
Department	depart	Department
documents	document	document
concerning	concern	concerning
ethics	ethic	ethic
issues	issu	issue
related	relat	related
