ACTIONS	action	ACTIONS
HAVE	have	HAVE
CONSEQUENCES	consequ	CONSEQUENCES
Three	three	Three
Russian	russian	Russian
billionaires	billionair	billionaire
are	are	are
hitting	hit	hitting
back	back	back
after	after	after
they	they	they
say	say	say
they	they	they
were	were	were
defamed	defam	defamed
by	by	by
the	the	the
opposition	opposit	opposition
research	research	research
firm	firm	firm
Fusion	fusion	Fusion
GPS	gps	GPS
.	.	.

The	the	The
Russians	russian	Russians
lawsuit	lawsuit	lawsuit
says	say	say
the	the	the
dossier	dossier	dossier
s	s	s
assertions	assert	assertion
falsely	fals	falsely
accuse	accus	accuse
the	the	the
three	three	three
and	and	and
Alfa	alfa	Alfa
of	of	of
criminal	crimin	criminal
conduct	conduct	conduct
and	and	and
alleged	alleg	alleged
cooperation	cooper	cooperation
with	with	with
the	the	the
Kremlin	kremlin	Kremlin
to	to	to
influence	influenc	influence
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
.	.	.

It	it	It
says	say	say
Fusion	fusion	Fusion
recklessly	reckless	recklessly
spread	spread	spread
the	the	the
charges	charg	charge
to	to	to
journalists	journalist	journalist
.	.	.
FUSION	fusion	FUSION
GPS	gps	GPS
FEELS	feel	FEELS
THE	the	THE
KARMA	karma	KARMA
Fusion	fusion	Fusion
GPS	gps	GPS
,	,	,
the	the	the
producer	produc	producer
of	of	of
the	the	the
infamous	infam	infamous
fake	fake	fake
Trump	trump	Trump
dossier	dossier	dossier
,	,	,
is	is	is
fending	fend	fending
off	off	off
in	in	in
court	court	court
three	three	three
of	of	of
Russia	russia	Russia
s	s	s
richest	richest	richest
oligarchs	oligarch	oligarch
by	by	by
painting	paint	painting
them	them	them
as	as	a
corrupt	corrupt	corrupt
bankers	banker	banker
in	in	in
bed	bed	bed
with	with	with
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
.	.	.
The	the	The
three	three	three
primary	primari	primary
investors	investor	investor
in	in	in
Moscow	moscow	Moscow
s	s	s
Alfa	alfa	Alfa
Bank	bank	Bank
Mikhail	mikhail	Mikhail
Fridman	fridman	Fridman
,	,	,
Petr	petr	Petr
Aven	aven	Aven
and	and	and
German	german	German
Khan	khan	Khan
filed	file	filed
a	a	a
libel	libel	libel
lawsuit	lawsuit	lawsuit
against	against	against
Fusion	fusion	Fusion
in	in	in
October	octob	October
.	.	.

Fusion	fusion	Fusion
s	s	s
dossier	dossier	dossier
,	,	,
written	written	written
by	by	by
former	former	former
British	british	British
spy	spi	spy
Christopher	christoph	Christopher
Steele	steel	Steele
,	,	,
says	say	say
two	two	two
of	of	of
them	them	them
engineered	engin	engineered
cash	cash	cash
bribes	bribe	bribe
to	to	to
Mr	mr	Mr
.	.	.
Putin	putin	Putin
.	.	.

The	the	The
dossier	dossier	dossier
also	also	also
implies	impli	implies
that	that	that
the	the	the
bank	bank	bank
colluded	collud	colluded
with	with	with
Mr	mr	Mr
.	.	.
Putin	putin	Putin
to	to	to
interfere	interfer	interfere
in	in	in
the	the	the
2016	2016	2016
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
by	by	by
hacking	hack	hacking
Democratic	democrat	Democratic
Party	parti	Party
computers	comput	computer
.	.	.
The	the	The
lawsuit	lawsuit	lawsuit
describes	describ	describes
the	the	the
three	three	three
billionaires	billionair	billionaire
as	as	a
international	intern	international
businessmen	businessmen	businessmen
who	who	who
became	becam	became
collateral	collater	collateral
damage	damag	damage
in	in	in
Fusion	fusion	Fusion
s	s	s
war	war	war
to	to	to
destroy	destroy	destroy
the	the	the
Donald	donald	Donald
Trump	trump	Trump
campaign	campaign	campaign
.	.	.

This	this	This
is	is	is
a	a	a
defamation	defam	defamation
case	case	case
brought	brought	brought
by	by	by
three	three	three
international	intern	international
businessmen	businessmen	businessmen
who	who	who
were	were	were
defamed	defam	defamed
in	in	in
widely	wide	widely
disseminated	dissemin	disseminated
political	polit	political
research	research	research
reports	report	report
commissioned	commiss	commissioned
by	by	by
political	polit	political
opponents	oppon	opponent
of	of	of
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
in	in	in
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
cycle	cycl	cycle
,	,	,
says	say	say
a	a	a
Dec	dec	Dec
.	.	.

12	12	12
filing	file	filing
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Court	court	Court
for	for	for
the	the	the
District	district	District
of	of	of
Columbia	columbia	Columbia
.	.	.

The	the	The
reports	report	report
are	are	are
gravely	grave	gravely
damaging	damag	damaging
in	in	in
that	that	that
,	,	,
directly	direct	directly
or	or	or
by	by	by
implication	implic	implication
,	,	,
they	they	they
falsely	fals	falsely
accuse	accus	accuse
the	the	the
plaintiffs	plaintiff	plaintiff
and	and	and
Alfa	alfa	Alfa
,	,	,
a	a	a
consortium	consortium	consortium
in	in	in
which	which	which
the	the	the
plaintiffs	plaintiff	plaintiff
are	are	are
investors	investor	investor
of	of	of
criminal	crimin	criminal
conduct	conduct	conduct
and	and	and
alleged	alleg	alleged
cooperation	cooper	cooperation
with	with	with
Kremlin	kremlin	Kremlin
to	to	to
influence	influenc	influence
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
,	,	,
says	say	say
the	the	the
complaint	complaint	complaint
by	by	by
the	the	the
New	new	New
York	york	York
law	law	law
firm	firm	firm
Carter	carter	Carter
Ledyard	ledyard	Ledyard
Milburn	milburn	Milburn
.	.	.
Fusion	fusion	Fusion
responded	respond	responded
in	in	in
court	court	court
by	by	by
relying	reli	relying
on	on	on
Wikipedia	wikipedia	Wikipedia
and	and	and
its	it	it
press	press	press
citations	citat	citation
to	to	to
paint	paint	paint
a	a	a
dark	dark	dark
picture	pictur	picture
of	of	of
three	three	three
oligarchs	oligarch	oligarch
who	who	who
,	,	,
the	the	the
media	media	medium
say	say	say
,	,	,
capitalized	capit	capitalized
on	on	on
Russia	russia	Russia
s	s	s
freewheeling	freewheel	freewheeling
post	post	post
-communism	-commun	-communism
era	era	era
to	to	to
engage	engag	engage
in	in	in
financial	financi	financial
scandals	scandal	scandal
.	.	.

Fusion	fusion	Fusion
depicted	depict	depicted
the	the	the
three	three	three
as	as	a
publicity	public	publicity
-seeking	-seek	-seeking
financial	financi	financial
titans	titan	titan
who	who	who
are	are	are
public	public	public
figures	figur	figure
under	under	under
U	u	U
.	.	.
S	s	S
.	.	.
law	law	law
.	.	.
Unlike	unlik	Unlike
private	privat	private
citizens	citizen	citizen
,	,	,
public	public	public
figures	figur	figure
face	face	face
a	a	a
high	high	high
bar	bar	bar
in	in	in
libel	libel	libel
lawsuits	lawsuit	lawsuit
.	.	.

In	in	In
this	this	this
case	case	case
,	,	,
the	the	the
Russian	russian	Russian
businessmen	businessmen	businessmen
,	,	,
if	if	if
deemed	deem	deemed
public	public	public
figures	figur	figure
,	,	,
must	must	must
prove	prove	prove
that	that	that
Fusion	fusion	Fusion
spread	spread	spread
the	the	the
dossier	dossier	dossier
charges	charg	charge
with	with	with
malice	malic	malice
meaning	mean	meaning
the	the	the
opposition	opposit	opposition
research	research	research
firm	firm	firm
knew	knew	knew
its	it	it
accusations	accus	accusation
were	were	were
untrue	untru	untrue
or	or	or
showed	show	showed
reckless	reckless	reckless
disregard	disregard	disregard
for	for	for
the	the	the
truth	truth	truth
.	.	.
THREE	three	THREE
BILLIONAIRES	billionair	BILLIONAIRES
Mikhail	mikhail	Mikhail
Fridman	fridman	Fridman
,	,	,
Petr	petr	Petr
Aven	aven	Aven
and	and	and
German	german	German
Khan	khan	Khan
are	are	are
three	three	three
of	of	of
the	the	the
most	most	most
prominent	promin	prominent
oligarchs	oligarch	oligarch
in	in	in
Russian	russian	Russian
history	histori	history
,	,	,
the	the	the
Fusion	fusion	Fusion
memo	memo	memo
states	state	state
.	.	.

With	with	With
their	their	their
incredible	incred	incredible
wealth	wealth	wealth
and	and	and
political	polit	political
power	power	power
,	,	,
each	each	each
has	has	ha
had	had	had
a	a	a
pronounced	pronounc	pronounced
influence	influenc	influence
on	on	on
the	the	the
economic	econom	economic
and	and	and
political	polit	political
affairs	affair	affair
of	of	of
Russia	russia	Russia
.	.	.

Any	ani	Any
search	search	search
returns	return	return
an	an	an
avalanche	avalanch	avalanche
of	of	of
articles	articl	article
about	about	about
their	their	their
business	busi	business
endeavors	endeavor	endeavor
,	,	,
their	their	their
wealth	wealth	wealth
,	,	,
their	their	their
political	polit	political
and	and	and
economic	econom	economic
power	power	power
,	,	,
their	their	their
close	close	close
relationship	relationship	relationship
with	with	with
the	the	the
Kremlin	kremlin	Kremlin
and	and	and
their	their	their
misconduct	misconduct	misconduct
.	.	.

At	at	At
issue	issu	issue
is	is	is
Mr	mr	Mr
.	.	.
Steele	steel	Steele
s	s	s
September	septemb	September
2016	2016	2016
writings	write	writing
devoted	devot	devoted
to	to	to
Alfa	alfa	Alfa
which	which	which
he	he	he
wrongly	wrong	wrongly
spells	spell	spell
Alpha	alpha	Alpha
,	,	,
one	one	one
of	of	of
17	17	17
memos	memo	memo
making	make	making
up	up	up
the	the	the
dossier	dossier	dossier
from	from	from
June	june	June
to	to	to
December	decemb	December
2016	2016	2016
.	.	.
He	he	He
states	state	state
that	that	that
the	the	the
Alfa	alfa	Alfa
Bank	bank	Bank
paid	paid	paid
illicit	illicit	illicit
cash	cash	cash
directly	direct	directly
from	from	from
Mr	mr	Mr
.	.	.
Fridman	fridman	Fridman
and	and	and
Mr	mr	Mr
.	.	.
Aven	aven	Aven
to	to	to
Mr	mr	Mr
.	.	.
Putin	putin	Putin
via	via	via
Oleg	oleg	Oleg
Govorun	govorun	Govorun
,	,	,
now	now	now
a	a	a
senior	senior	senior
Kremlin	kremlin	Kremlin
figure	figur	figure
,	,	,
throughout	throughout	throughout
the	the	the
1990s	1990s	1990s
.	.	.

Mr	mr	Mr
.	.	.
Govorun	govorun	Govorun
s	s	s
official	offici	official
resume	resum	resume
states	state	state
that	that	that
he	he	he
was	was	wa
an	an	an
executive	execut	executive
for	for	for
Alfa	alfa	Alfa
only	onli	only
from	from	from
1997	1997	1997
to	to	to
2000	2000	2000
.	.	.
Mr	mr	Mr
.	.	.
Steele	steel	Steele
titled	titl	titled
the	the	the
September	septemb	September
memo	memo	memo
,	,	,
Presidential	presidenti	Presidential
Election	elect	Election
Kremlin	kremlin	Kremlin
-Alpha	-alpha	-Alpha
Group	group	Group
Co	co	Co
-Operation	-oper	-Operation
.	.	.

READ	read	READ
MORE	more	MORE
WT	wt	WT

