Donald	donald	Donald
Trump	trump	Trump
s	s	s
economic	econom	economic
proposals	propos	proposal
would	would	would
be	be	be
disastrous	disastr	disastrous
for	for	for
the	the	the
economy	economi	economy
.	.	.
That	that	That
s	s	s
the	the	the
conclusion	conclus	conclusion
that	that	that
Germany	germani	Germany
s	s	s
economic	econom	economic
ministry	ministri	ministry
concluded	conclud	concluded
in	in	in
an	an	an
internal	intern	internal
memo	memo	memo
,	,	,
first	first	first
reported	report	reported
on	on	on
by	by	by
the	the	the
German	german	German
magazine	magazin	magazine
Der	der	Der
Spiegel	spiegel	Spiegel
.	.	.
According	accord	According
to	to	to
the	the	the
memo	memo	memo
,	,	,
if	if	if
Trump	trump	Trump
were	were	were
to	to	to
be	be	be
elected	elect	elected
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
his	his	his
economic	econom	economic
policies	polici	policy
would	would	would
lead	lead	lead
to	to	to
a	a	a
shrinking	shrink	shrinking
gross	gross	gross
domestic	domest	domestic
product	product	product
,	,	,
fewer	fewer	fewer
jobs	job	job
and	and	and
higher	higher	higher
unemployment	unemploy	unemployment
.	.	.
What	what	What
s	s	s
more	more	more
,	,	,
the	the	the
memo	memo	memo
says	say	say
that	that	that
Trump	trump	Trump
s	s	s
economic	econom	economic
policies	polici	policy
violate	violat	violate
both	both	both
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
international	intern	international
law	law	law
.	.	.
In	in	In
a	a	a
more	more	more
blunt	blunt	blunt
statement	statement	statement
,	,	,
the	the	the
memo	memo	memo
says	say	say
that	that	that
Trump	trump	Trump
s	s	s
proposals	propos	proposal
are	are	are
not	not	not
feasible	feasibl	feasible
and	and	and
that	that	that
they	they	they
do	do	do
not	not	not
provide	provid	provide
the	the	the
foundation	foundat	foundation
for	for	for
a	a	a
realistic	realist	realistic
economic	econom	economic
policy	polici	policy
.	.	.
So	so	So
to	to	to
summarize	summar	summarize
,	,	,
Germany	germani	Germany
s	s	s
economics	econom	economics
ministry	ministri	ministry
has	has	ha
