Leaving	leav	Leaving
a	a	a
young	young	young
child	child	child
alone	alon	alone
in	in	in
a	a	a
vehicle	vehicl	vehicle
is	is	is
irresponsible	irrespons	irresponsible
especially	especi	especially
in	in	in
Florida	florida	Florida
during	dure	during
the	the	the
summer	summer	summer
.	.	.

So	so	So
far	far	far
this	this	this
year	year	year
,	,	,
16	16	16
children	children	child
have	have	have
died	die	died
after	after	after
being	be	being
left	left	left
in	in	in
a	a	a
hot	hot	hot
car	car	car
.	.	.

Talisha	talisha	Talisha
Martin	martin	Martin
left	left	left
her	her	her
child	child	child
alone	alon	alone
in	in	in
a	a	a
vehicle	vehicl	vehicle
for	for	for
more	more	more
than	than	than
40	40	40
minutes	minut	minute
while	while	while
she	she	she
allegedly	alleg	allegedly
went	went	went
shopping	shop	shopping
inside	insid	inside
a	a	a
Florida	florida	Florida
Walmart	walmart	Walmart
on	on	on
Monday	monday	Monday
.	.	.
According	accord	According
to	to	to
a	a	a
statement	statement	statement
from	from	from
the	the	the
Palatka	palatka	Palatka
Police	polic	Police
Department	depart	Department
,	,	,
the	the	the
store	store	store
s	s	s
Loss	loss	Loss
Prevention	prevent	Prevention
Team	team	Team
notified	notifi	notified
them	them	them
at	at	at
about	about	about
4	4	4
00	00	00
p	p	p
.	.	.
m	m	m
.	.	.
that	that	that
a	a	a
5	5	5
-year-old	-year-old	-year-old
child	child	child
was	was	wa
unattended	unattend	unattended
in	in	in
a	a	a
vehicle	vehicl	vehicle
in	in	in
the	the	the
parking	park	parking
lot	lot	lot
.	.	.

The	the	The
vehicle	vehicl	vehicle
was	was	wa
running	run	running
and	and	and
the	the	the
air	air	air
conditioner	condition	conditioner
was	was	wa
on	on	on
,	,	,
but	but	but
it	it	it
was	was	wa
blowing	blow	blowing
hot	hot	hot
air	air	air
something	someth	something
that	that	that
adds	add	add
to	to	to
the	the	the
heat	heat	heat
problem	problem	problem
of	of	of
being	be	being
abandoned	abandon	abandoned
by	by	by
one	one	one
s	s	s
mother	mother	mother
in	in	in
the	the	the
parking	park	parking
lot	lot	lot
of	of	of
a	a	a
Walmart	walmart	Walmart
during	dure	during
the	the	the
day	day	day
in	in	in
the	the	the
Florida	florida	Florida
heat	heat	heat
.	.	.

The	the	The
child	child	child
told	told	told
officers	offic	officer
that	that	that
he	he	he
was	was	wa
hot	hot	hot
and	and	and
scared	scare	scared
because	becaus	because
mommy	mommi	mommy
left	left	left
me	me	me
.	.	.

When	when	When
Martin	martin	Martin
finally	final	finally
arrived	arriv	arrived
,	,	,
her	her	her
speech	speech	speech
was	was	wa
stuttered	stutter	stuttered
and	and	and
slurred	slur	slurred
.	.	.

She	she	She
didn	didn	didn
t	t	t
even	even	even
notice	notic	notice
her	her	her
child	child	child
was	was	wa
no	no	no
longer	longer	longer
in	in	in
the	the	the
car	car	car
until	until	until
an	an	an
officer	offic	officer
asked	ask	asked
her	her	her
if	if	if
something	someth	something
was	was	wa
missing	miss	missing
.	.	.

The	the	The
alleged	alleg	alleged
mother	mother	mother
was	was	wa
arrested	arrest	arrested
and	and	and
held	held	held
on	on	on
a	a	a
500	500	500
bond	bond	bond
.	.	.

The	the	The
child	child	child
was	was	wa
released	releas	released
to	to	to
the	the	the
