Former	former	Former
Senate	senat	Senate
President	presid	President
of	of	of
Haiti	haiti	Haiti
,	,	,
Bernard	bernard	Bernard
Sansaricq	sansaricq	Sansaricq
,	,	,
shocked	shock	shocked
a	a	a
large	larg	large
crowd	crowd	crowd
at	at	at
a	a	a
Trump	trump	Trump
campaign	campaign	campaign
event	event	event
in	in	in
Little	littl	Little
Haiti	haiti	Haiti
,	,	,
FL	fl	FL
.	.	.
Sansaricq	sansaricq	Sansaricq
exposes	expos	expose
all	all	all
of	of	of
the	the	the
dirty	dirti	dirty
dealings	deal	dealing
of	of	of
the	the	the
Clinton	clinton	Clinton
s	s	s
in	in	in
Haiti	haiti	Haiti
while	while	while
he	he	he
was	was	wa
still	still	still
in	in	in
office	offic	office
.	.	.
Donald	donald	Donald
Trump	trump	Trump
to	to	to
his	his	his
credit	credit	credit
,	,	,
allowed	allow	allowed
him	him	him
to	to	to
speak	speak	speak
his	his	his
mind	mind	mind
and	and	and
expose	expos	expose
to	to	to
the	the	the
world	world	world
what	what	what
kind	kind	kind
of	of	of
criminals	crimin	criminal
are	are	are
attempting	attempt	attempting
to	to	to
scratch	scratch	scratch
and	and	and
claw	claw	claw
their	their	their
way	way	way
back	back	back
into	into	into
our	our	our
White	white	White
House	hous	House
.	.	.
Sansaricq	sansaricq	Sansaricq
also	also	also
claims	claim	claim
he	he	he
begged	beg	begged
the	the	the
Clinton	clinton	Clinton
Administration	administr	Administration
not	not	not
to	to	to
invade	invad	invade
Haiti	haiti	Haiti
.	.	.
His	his	His
request	request	request
was	was	wa
followed	follow	followed
up	up	up
with	with	with
a	a	a
visit	visit	visit
by	by	by
an	an	an
anonymous	anonym	anonymous
messenger	messeng	messenger
from	from	from
the	the	the
White	white	White
House	hous	House
who	who	who
encouraged	encourag	encouraged
him	him	him
to	to	to
side	side	side
with	with	with
the	the	the
Clinton	clinton	Clinton
Administration	administr	Administration
and	and	and
he	he	he
would	would	would
be	be	be
the	the	the
richest	richest	richest
man	man	man
in	in	in
Haiti	haiti	Haiti
.	.	.
He	he	He
also	also	also
suggests	suggest	suggests
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
disclose	disclos	disclose
the	the	the
audit	audit	audit
of	of	of
all	all	all
money	money	money
related	relat	related
to	to	to
the	the	the
Haiti	haiti	Haiti
earthquake	earthquak	earthquake
crisis	crisi	crisis
,	,	,
as	as	a
he	he	he
claims	claim	claim
they	they	they
scammed	scam	scammed
the	the	the
poorest	poorest	poorest
citizens	citizen	citizen
of	of	of
Haiti	haiti	Haiti
out	out	out
of	of	of
BILLIONS	billion	BILLIONS
of	of	of
dollars	dollar	dollar
through	through	through
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
.	.	.
Not	not	Not
even	even	even
2	2	2
of	of	of
that	that	that
money	money	money
went	went	went
back	back	back
to	to	to
Haiti	haiti	Haiti
.	.	.
So	so	So
Mr	mr	Mr
.	.	.
Trump	trump	Trump
,	,	,
we	we	we
are	are	are
asking	ask	asking
you	you	you
,	,	,
begging	beg	begging
you	you	you
,	,	,
the	the	the
Haitian	haitian	Haitian
community	communiti	community
will	will	will
side	side	side
with	with	with
you	you	you
if	if	if
one	one	one
day	day	day
,	,	,
you	you	you
ask	ask	ask
Hillary	hillari	Hillary
Clinton	clinton	Clinton
publicly	public	publicly
to	to	to
disclose	disclos	disclose
the	the	the
audit	audit	audit
of	of	of
all	all	all
of	of	of
the	the	the
money	money	money
they	they	they
have	have	have
stolen	stolen	stolen
from	from	from
Haiti	haiti	Haiti
in	in	in
2010	2010	2010
after	after	after
the	the	the
earthquake	earthquak	earthquake
.	.	.
Haiti	haiti	Haiti
is	is	is
a	a	a
very	veri	very
poor	poor	poor
country	countri	country
.	.	.
Haiti	haiti	Haiti
needs	need	need
defenders	defend	defender
.	.	.
You	you	You
said	said	said
you	you	you
would	would	would
champion	champion	champion
our	our	our
cause	caus	cause
.	.	.
We	we	We
welcome	welcom	welcome
you	you	you
sir	sir	sir
and	and	and
we	we	we
will	will	will
work	work	work
with	with	with
you	you	you
.	.	.
Ask	ask	Ask
Hillary	hillari	Hillary
Clinton	clinton	Clinton
publicly	public	publicly
,	,	,
during	dure	during
your	your	your
next	next	next
debate	debat	debate
for	for	for
an	an	an
audit	audit	audit
of	of	of
all	all	all
of	of	of
the	the	the
money	money	money
they	they	they
have	have	have
stolen	stolen	stolen
from	from	from
Haiti	haiti	Haiti
.	.	.
Watch	watch	Watch
this	this	this
stunning	stun	stunning
confession	confess	confession
of	of	of
bribery	briberi	bribery
,	,	,
and	and	and
threats	threat	threat
during	dure	during
the	the	the
Clinton	clinton	Clinton
presidency	presid	presidency
when	when	when
Bill	bill	Bill
tried	tri	tried
to	to	to
oust	oust	oust
the	the	the
regime	regim	regime
in	in	in
Haiti	haiti	Haiti
.	.	.
