Yesterday	yesterday	Yesterday
,	,	,
we	we	we
posted	post	posted
videos	video	video
of	of	of
Creepy	creepi	Creepy
Joe	joe	Joe
Biden	biden	Biden
rubbing	rub	rubbing
his	his	his
hands	hand	hand
all	all	all
over	over	over
the	the	the
upper	upper	upper
bodies	bodi	body
of	of	of
little	littl	little
girls	girl	girl
whose	whose	whose
parents	parent	parent
or	or	or
grandparents	grandpar	grandparent
were	were	were
present	present	present
,	,	,
while	while	while
photographers	photograph	photographer
and	and	and
videographers	videograph	videographers
were	were	were
snapping	snap	snapping
photos	photo	photo
and	and	and
capturing	captur	capturing
footage	footag	footage
of	of	of
the	the	the
uncomfortable	uncomfort	uncomfortable
interactions	interact	interaction
.	.	.
Joe	joe	Joe
Biden	biden	Biden
didn	didn	didn
t	t	t
earn	earn	earn
his	his	his
nickname	nicknam	nickname
Creepy	creepi	Creepy
Joe	joe	Joe
or	or	or
Creepy	creepi	Creepy
Uncle	uncl	Uncle
Joe	joe	Joe
for	for	for
his	his	his
good	good	good
behavior	behavior	behavior
.	.	.

Sadly	sad	Sadly
,	,	,
Creepy	creepi	Creepy
Joe	joe	Joe
earned	earn	earned
his	his	his
nickname	nicknam	nickname
after	after	after
he	he	he
was	was	wa
caught	caught	caught
numerous	numer	numerous
times	time	time
groping	grope	groping
women	women	woman
and	and	and
young	young	young
girls	girl	girl
on	on	on
camera	camera	camera
.	.	.

Of	of	Of
course	cours	course
,	,	,
the	the	the
media	media	medium
gives	give	give
Joe	joe	Joe
Biden	biden	Biden
a	a	a
pass	pass	pas
,	,	,
because	becaus	because
he	he	he
s	s	s
a	a	a
Democrat	democrat	Democrat
,	,	,
and	and	and
if	if	if
there	there	there
s	s	s
anything	anyth	anything
we	we	we
ve	ve	ve
learned	learn	learned
over	over	over
the	the	the
past	past	past
4	4	4
decades	decad	decade
,	,	,
it	it	it
s	s	s
that	that	that
high	high	high
-profile	-profil	-profile
members	member	member
of	of	of
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
,	,	,
like	like	like
accused	accus	accused
rapist	rapist	rapist
Bill	bill	Bill
Clinton	clinton	Clinton
,	,	,
can	can	can
t	t	t
be	be	be
held	held	held
accountable	account	accountable
for	for	for
their	their	their
playful	play	playful
sexual	sexual	sexual
advances	advanc	advance
towards	toward	towards
women	women	woman
,	,	,
and	and	and
in	in	in
the	the	the
especially	especi	especially
creepy	creepi	creepy
Joe	joe	Joe
Biden	biden	Biden
s	s	s
case	case	case
,	,	,
young	young	young
girls	girl	girl
.	.	.
The	the	The
video	video	video
below	below	below
is	is	is
a	a	a
perfect	perfect	perfect
example	exampl	example
of	of	of
how	how	how
Democrats	democrat	Democrats
have	have	have
been	been	been
allowed	allow	allowed
to	to	to
blatantly	blatant	blatantly
abuse	abus	abuse
their	their	their
power	power	power
for	for	for
decades	decad	decade
,	,	,
while	while	while
both	both	both
parties	parti	party
and	and	and
the	the	the
media	media	medium
look	look	look
the	the	the
other	other	other
way	way	way
.	.	.

In	in	In
2011	2011	2011
,	,	,
Kelly	kelli	Kelly
Ayotte	ayott	Ayotte
was	was	wa
being	be	being
sworn	sworn	sworn
in	in	in
by	by	by
Vice	vice	Vice
President	presid	President
Joe	joe	Joe
Biden	biden	Biden
.	.	.

The	the	The
video	video	video
starts	start	start
with	with	with
Joe	joe	Joe
Biden	biden	Biden
standing	stand	standing
alone	alon	alone
when	when	when
Ayotte	ayott	Ayotte
s	s	s
little	littl	little
6	6	6
-year	-year	-year
old	old	old
daughter	daughter	daughter
Kate	kate	Kate
,	,	,
catches	catch	catch
his	his	his
eye	eye	eye
.	.	.

Like	like	Like
a	a	a
moth	moth	moth
to	to	to
the	the	the
light	light	light
,	,	,
Biden	biden	Biden
seeks	seek	seek
her	her	her
out	out	out
.	.	.

Who	who	Who
is	is	is
that	that	that
beautiful	beauti	beautiful
child	child	child
?	?	?

Biden	biden	Biden
asks	ask	asks
.	.	.

Biden	biden	Biden
then	then	then
turns	turn	turn
around	around	around
and	and	and
appears	appear	appears
to	to	to
be	be	be
looking	look	looking
to	to	to
see	see	see
if	if	if
anyone	anyon	anyone
is	is	is
watching	watch	watching
him	him	him
as	as	a
he	he	he
approaches	approach	approach
her	her	her
.	.	.

Kate	kate	Kate
s	s	s
mother	mother	mother
,	,	,
Kelly	kelli	Kelly
Ayotte	ayott	Ayotte
rushes	rush	rush
over	over	over
when	when	when
she	she	she
sees	see	see
Biden	biden	Biden
attempting	attempt	attempting
to	to	to
interact	interact	interact
with	with	with
her	her	her
daughter	daughter	daughter
and	and	and
tells	tell	tell
her	her	her
to	to	to
come	come	come
on	on	on
out	out	out
from	from	from
hiding	hide	hiding
.	.	.

Biden	biden	Biden
strikes	strike	strike
up	up	up
a	a	a
conversation	convers	conversation
with	with	with
Kelly	kelli	Kelly
Ayotte	ayott	Ayotte
while	while	while
stroking	stroke	stroking
the	the	the
head	head	head
of	of	of
her	her	her
toddler	toddler	toddler
son	son	son
and	and	and
talking	talk	talking
in	in	in
a	a	a
weird	weird	weird
hushed	hush	hushed
tone	tone	tone
.	.	.

All	all	All
the	the	the
while	while	while
,	,	,
Biden	biden	Biden
appears	appear	appears
to	to	to
be	be	be
keeping	keep	keeping
his	his	his
eye	eye	eye
on	on	on
the	the	the
prize	prize	prize
Ayotte	ayott	Ayotte
s	s	s
daughter	daughter	daughter
Kate	kate	Kate
.	.	.

Meanwhile	meanwhil	Meanwhile
,	,	,
Ayotte	ayott	Ayotte
s	s	s
husband	husband	husband
appears	appear	appears
to	to	to
be	be	be
having	have	having
a	a	a
private	privat	private
conversation	convers	conversation
with	with	with
his	his	his
daughter	daughter	daughter
when	when	when
Biden	biden	Biden
,	,	,
who	who	who
can	can	can
t	t	t
help	help	help
himself	himself	himself
,	,	,
moves	move	move
over	over	over
closer	closer	closer
to	to	to
the	the	the
dad	dad	dad
,	,	,
shakes	shake	shake
his	his	his
hand	hand	hand
and	and	and
for	for	for
no	no	no
apparent	appar	apparent
reason	reason	reason
,	,	,
tells	tell	tell
her	her	her
father	father	father
that	that	that
She	she	She
can	can	can
have	have	have
whatever	whatev	whatever
she	she	she
wants	want	want
.	.	.

Biden	biden	Biden
then	then	then
attempts	attempt	attempt
to	to	to
strike	strike	strike
up	up	up
a	a	a
conversation	convers	conversation
with	with	with
the	the	the
little	littl	little
girl	girl	girl
,	,	,
asking	ask	asking
her	her	her
,	,	,
How	how	How
old	old	old
are	are	are
you	you	you
?	?	?

.	.	.

When	when	When
it	it	it
appears	appear	appears
the	the	the
Ayotte	ayott	Ayotte
family	famili	family
is	is	is
ready	readi	ready
for	for	for
the	the	the
swearing	swear	swearing
-in	-in	-in
ceremony	ceremoni	ceremony
,	,	,
Biden	biden	Biden
begins	begin	begin
to	to	to
direct	direct	direct
the	the	the
family	famili	family
,	,	,
as	as	a
to	to	to
where	where	where
they	they	they
are	are	are
to	to	to
stand	stand	stand
.	.	.

He	he	He
makes	make	make
what	what	what
appears	appear	appears
to	to	to
be	be	be
a	a	a
calculated	calcul	calculated
decision	decis	decision
for	for	for
the	the	the
little	littl	little
girl	girl	girl
to	to	to
stand	stand	stand
next	next	next
to	to	to
him	him	him
.	.	.

Biden	biden	Biden
then	then	then
proceeds	proceed	proceeds
to	to	to
grind	grind	grind
his	his	his
