Apparently	appar	Apparently
,	,	,
using	use	using
thug	thug	thug
Michael	michael	Michael
Ferguson	ferguson	Ferguson
s	s	s
mom	mom	mom
as	as	a
a	a	a
prop	prop	prop
at	at	at
Black	black	Black
functions	function	function
was	was	wa
not	not	not
enough	enough	enough
to	to	to
be	be	be
granted	grant	granted
the	the	the
Black	black	Black
vote	vote	vote
Black	black	Black
Men	men	Men
for	for	for
Bernie	berni	Bernie
founder	founder	founder
Bruce	bruce	Bruce
Carter	carter	Carter
s	s	s
mission	mission	mission
to	to	to
restore	restor	restore
black	black	black
communities	communiti	community
didn	didn	didn
t	t	t
end	end	end
when	when	when
Vermont	vermont	Vermont
Senator	senat	Senator
Bernie	berni	Bernie
Sanders	sander	Sanders
lost	lost	lost
to	to	to
Hillary	hillari	Hillary
Clinton	clinton	Clinton
in	in	in
the	the	the
Democratic	democrat	Democratic
primary	primari	primary
.	.	.
He	he	He
opposed	oppos	opposed
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
the	the	the
Democratic	democrat	Democratic
establishment	establish	establishment
then	then	then
because	becaus	because
he	he	he
knew	knew	knew
that	that	that
they	they	they
didn	didn	didn
t	t	t
represent	repres	represent
the	the	the
minority	minor	minority
communities	communiti	community
he	he	he
engaged	engag	engaged
in	in	in
politics	polit	politics
to	to	to
fight	fight	fight
for	for	for
.	.	.
After	after	After
the	the	the
leak	leak	leak
of	of	of
internal	intern	internal
DNC	dnc	DNC
emails	email	email
,	,	,
Carter	carter	Carter
is	is	is
convinced	convinc	convinced
that	that	that
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
rigged	rig	rigged
the	the	the
primary	primari	primary
against	against	against
his	his	his
candidate	candid	candidate
and	and	and
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
Democratic	democrat	Democratic
Party	parti	Party
has	has	ha
no	no	no
intention	intent	intention
of	of	of
changing	chang	changing
the	the	the
policies	polici	policy
that	that	that
led	led	led
to	to	to
the	the	the
destruction	destruct	destruction
of	of	of
the	the	the
communities	communiti	community
he	he	he
s	s	s
working	work	working
to	to	to
improve	improv	improve
.	.	.
Bruce	bruce	Bruce
Carter	carter	Carter
still	still	still
believes	believ	belief
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
the	the	the
poster	poster	poster
child	child	child
for	for	for
the	the	the
kind	kind	kind
of	of	of
cronyism	cronyism	cronyism
,	,	,
