Remember	rememb	Remember
when	when	when
the	the	the
first	first	first
question	question	question
reporters	report	reporter
asked	ask	asked
players	player	player
after	after	after
winning	win	winning
a	a	a
national	nation	national
championship	championship	championship
went	went	went
something	someth	something
like	like	like
this	this	this
Now	now	Now
that	that	that
you	you	you
ve	ve	ve
reached	reach	reached
the	the	the
pinnacle	pinnacl	pinnacle
of	of	of
your	your	your
career	career	career
,	,	,
where	where	where
are	are	are
you	you	you
going	go	going
?	?	?
to	to	to
which	which	which
the	the	the
player	player	player
would	would	would
reply	repli	reply
,	,	,
I	i	I
m	m	m
going	go	going
to	to	to
Disneyworld	disneyworld	Disneyworld
!	!	!
Since	sinc	Since
ESPN	espn	ESPN
has	has	ha
become	becom	become
more	more	more
of	of	of
a	a	a
liberal	liber	liberal
propaganda	propaganda	propaganda
network	network	network
than	than	than
an	an	an
actual	actual	actual
sports	sport	sport
network	network	network
,	,	,
their	their	their
question	question	question
has	has	ha
changed	chang	changed
to	to	to
asking	ask	asking
about	about	about
whether	whether	whether
or	or	or
not	not	not
the	the	the
players	player	player
will	will	will
dare	dare	dare
to	to	to
visit	visit	visit
the	the	the
White	white	White
House	hous	House
,	,	,
where	where	where
the	the	the
one	one	one
man	man	man
who	who	who
liberals	liber	liberal
fear	fear	fear
most	most	most
currently	current	currently
resides	resid	resides
.	.	.
ESPN	espn	ESPN
s	s	s
obsession	obsess	obsession
with	with	with
President	presid	President
Trump	trump	Trump
is	is	is
embarrassing	embarrass	embarrassing
.	.	.
Instead	instead	Instead
of	of	of
reporting	report	reporting
about	about	about
sports	sport	sport
,	,	,
they	they	they
d	d	d
rather	rather	rather
report	report	report
about	about	about
how	how	how
many	mani	many
crybaby	crybabi	crybaby
,	,	,
multi	multi	multi
-millionaire	-millionair	-millionaire
athletes	athlet	athlete
don	don	don
t	t	t
like	like	like
our	our	our
President	presid	President
and	and	and
may	may	may
choose	choos	choose
to	to	to
stay	stay	stay
home	home	home
in	in	in
their	their	their
safe	safe	safe
-spaces	-space	-spaces
as	as	a
opposed	oppos	opposed
to	to	to
visiting	visit	visiting
the	the	the
democratically	democrat	democratically
elected	elect	elected
President	presid	President
of	of	of
the	the	the
greatest	greatest	greatest
country	countri	country
in	in	in
the	the	the
world	world	world
.	.	.
To	to	To
put	put	put
this	this	this
in	in	in
perspective	perspect	perspective
,	,	,
in	in	in
less	less	le
than	than	than
24	24	24
hours	hour	hour
after	after	after
winning	win	winning
the	the	the
NBA	nba	NBA
championship	championship	championship
,	,	,
ESPN	espn	ESPN
s	s	s
senior	senior	senior
NBA	nba	NBA
writer	writer	writer
,	,	,
The	the	The
Undefeated	undef	Undefeated
s	s	s
Marc	marc	Marc
Spears	spear	Spears
obsessed	obsess	obsessed
over	over	over
whether	whether	whether
or	or	or
not	not	not
the	the	the
Golden	golden	Golden
State	state	State
Warrior	warrior	Warrior
team	team	team
would	would	would
visit	visit	visit
the	the	the
White	white	White
House	hous	House
.	.	.
Seriously	serious	Seriously
?	?	?
After	after	After
winning	win	winning
the	the	the
coveted	covet	coveted
NBA	nba	NBA
championship	championship	championship
,	,	,
that	that	that
s	s	s
what	what	what
basketball	basketbal	basketball
fans	fan	fan
are	are	are
supposed	suppos	supposed
to	to	to
care	care	care
about	about	about
?	?	?
