Last	last	Last
week	week	week
,	,	,
the	the	the
Washington	washington	Washington
Post	post	Post
reported	report	reported
that	that	that
after	after	after
almost	almost	almost
4	4	4
decades	decad	decade
,	,	,
4	4	4
women	women	woman
came	came	came
forward	forward	forward
to	to	to
claim	claim	claim
they	they	they
were	were	were
sexually	sexual	sexually
abused	abus	abused
as	as	a
teenagers	teenag	teenager
,	,	,
by	by	by
Roy	roy	Roy
Moore	moor	Moore
,	,	,
the	the	the
GOP	gop	GOP
candidate	candid	candidate
for	for	for
senator	senat	senator
in	in	in
Alabama	alabama	Alabama
.	.	.

Nevermind	nevermind	Nevermind
that	that	that
for	for	for
4	4	4
decades	decad	decade
they	they	they
were	were	were
silent	silent	silent
about	about	about
Moore	moor	Moore
s	s	s
alleged	alleg	alleged
behavior	behavior	behavior
,	,	,
and	and	and
that	that	that
only	onli	only
4	4	4
weeks	week	week
before	befor	before
the	the	the
election	elect	election
,	,	,
they	they	they
all	all	all
decided	decid	decided
to	to	to
confide	confid	confide
in	in	in
the	the	the
leftist	leftist	leftist
rag	rag	rag
who	who	who
just	just	just
endorsed	endors	endorsed
Moore	moor	Moore
s	s	s
Democrat	democrat	Democrat
opponent	oppon	opponent
,	,	,
Doug	doug	Doug
Ross	ross	Ross
for	for	for
Senate	senat	Senate
.	.	.
It	it	It
was	was	wa
discovered	discov	discovered
last	last	last
week	week	week
that	that	that
one	one	one
of	of	of
the	the	the
women	women	woman
who	who	who
accused	accus	accused
Roy	roy	Roy
Moore	moor	Moore
of	of	of
sexual	sexual	sexual
misconduct	misconduct	misconduct
actually	actual	actually
worked	work	worked
for	for	for
Hillary	hillari	Hillary
as	as	a
a	a	a
signer	signer	signer
at	at	at
her	her	her
campaign	campaign	campaign
,	,	,
openly	open	openly
trashed	trash	trashed
President	presid	President
Trump	trump	Trump
and	and	and
pushed	push	pushed
her	her	her
friends	friend	friend
to	to	to
support	support	support
Moore	moor	Moore
s	s	s
opponent	oppon	opponent
on	on	on
her	her	her
personal	person	personal
Facebook	facebook	Facebook
page	page	page
.	.	.
Meanwhile	meanwhil	Meanwhile
,	,	,
the	the	the
allegations	alleg	allegation
against	against	against
Moore	moor	Moore
continue	continu	continue
to	to	to
unravel	unravel	unravel
,	,	,
as	as	a
the	the	the
mother	mother	mother
of	of	of
Leigh	leigh	Leigh
Corfman	corfman	Corfman
,	,	,
who	who	who
says	say	say
that	that	that
Alabama	alabama	Alabama
Senatorial	senatori	Senatorial
Candidate	candid	Candidate
Roy	roy	Roy
Moore	moor	Moore
tried	tri	tried
to	to	to
engage	engag	engage
in	in	in
a	a	a
sexual	sexual	sexual
encounter	encount	encounter
with	with	with
her	her	her
when	when	when
she	she	she
was	was	wa
14	14	14
,	,	,
told	told	told
Breitbart	breitbart	Breitbart
News	news	News
that	that	that
the	the	the
Washington	washington	Washington
Post	post	Post
worked	work	worked
to	to	to
convince	convinc	convince
her	her	her
daughter	daughter	daughter
to	to	to
give	give	give
an	an	an
interview	interview	interview
about	about	about
the	the	the
allegations	alleg	allegation
against	against	against
Moore	moor	Moore
.	.	.

Speaking	speak	Speaking
by	by	by
phone	phone	phone
to	to	to
Breitbart	breitbart	Breitbart
News	news	News
on	on	on
Saturday	saturday	Saturday
,	,	,
Corfman	corfman	Corfman
s	s	s
mother	mother	mother
,	,	,
Nancy	nanci	Nancy
Wells	well	Wells
,	,	,
71	71	71
,	,	,
further	further	further
stated	state	stated
that	that	that
her	her	her
daughter	daughter	daughter
would	would	would
not	not	not
have	have	have
come	come	come
forward	forward	forward
if	if	if
it	it	it
weren	weren	weren
t	t	t
for	for	for
The	the	The
Post	post	Post
reporter	report	reporter
s	s	s
alleged	alleg	alleged
actions	action	action
.	.	.
Earlier	earlier	Earlier
on	on	on
Sunday	sunday	Sunday
,	,	,
Breitbart	breitbart	Breitbart
News	news	News
reported	report	reported
that	that	that
Corfman	corfman	Corfman
s	s	s
mother	mother	mother
contradicted	contradict	contradicted
a	a	a
key	key	key
detail	detail	detail
of	of	of
Corfman	corfman	Corfman
s	s	s
story	stori	story
.	.	.

Speaking	speak	Speaking
by	by	by
phone	phone	phone
to	to	to
Breitbart	breitbart	Breitbart
News	news	News
on	on	on
Saturday	saturday	Saturday
,	,	,
Wells	well	Wells
said	said	said
that	that	that
her	her	her
daughter	daughter	daughter
did	did	did
not	not	not
have	have	have
a	a	a
phone	phone	phone
in	in	in
her	her	her
bedroom	bedroom	bedroom
during	dure	during
the	the	the
