On	on	On
Thursday	thursday	Thursday
during	dure	during
a	a	a
visit	visit	visit
to	to	to
Mexico	mexico	Mexico
City	citi	City
,	,	,
Mexico	mexico	Mexico
,	,	,
Vice	vice	Vice
President	presid	President
Joe	joe	Joe
Biden	biden	Biden
apologized	apolog	apologized
to	to	to
the	the	the
citizens	citizen	citizen
of	of	of
our	our	our
neighbor	neighbor	neighbor
to	to	to
the	the	the
South	south	South
for	for	for
the	the	the
hateful	hate	hateful
rhetoric	rhetor	rhetoric
they	they	they
have	have	have
been	been	been
hearing	hear	hearing
from	from	from
our	our	our
nation	nation	nation
s	s	s
Republicans	republican	Republicans
especially	especi	especially
the	the	the
hate	hate	hate
speech	speech	speech
coming	come	coming
from	from	from
Donald	donald	Donald
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
There	there	There
has	has	ha
been	been	been
a	a	a
lot	lot	lot
of	of	of
damaging	damag	damaging
and	and	and
incredibly	incred	incredibly
inaccurate	inaccur	inaccurate
rhetoric	rhetor	rhetoric
and	and	and
I	i	I
would	would	would
argue	argu	argue
,	,	,
I	i	I
almost	almost	almost
feel	feel	feel
obliged	oblig	obliged
to	to	to
apologize	apolog	apologize
for	for	for
some	some	some
of	of	of
what	what	what
my	my	my
political	polit	political
colleagues	colleagu	colleague
said	said	said
.	.	.
It	it	It
is	is	is
about	about	about
Mexico	mexico	Mexico
,	,	,
it	it	it
is	is	is
about	about	about
Mexican	mexican	Mexican
people	peopl	people
.	.	.
Biden	biden	Biden
explained	explain	explained
to	to	to
President	presid	President
Enrique	enriqu	Enrique
Pe	pe	Pe
a	a	a
Nieto	nieto	Nieto
that	that	that
it	it	it
s	s	s
a	a	a
heated	heat	heated
campaign	campaign	campaign
season	season	season
,	,	,
and	and	and
that	that	that
Republicans	republican	Republicans
are	are	are
willing	will	willing
to	to	to
say	say	say
pretty	pretti	pretty
much	much	much
anything	anyth	anything
to	to	to
be	be	be
declared	declar	declared
King	king	King
or	or	or
Queen	queen	Queen
of	of	of
Stupid	stupid	Stupid
