Prof	prof	Prof
Michel	michel	Michel
Chossudovsky	chossudovski	Chossudovsky
Global	global	Global
ReaseachThe	reaseachth	ReaseachThe
media	media	medium
has	has	ha
failed	fail	failed
to	to	to
address	address	address
the	the	the
confrontation	confront	confrontation
between	between	between
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
and	and	and
the	the	the
Joint	joint	Joint
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
.	.	.
The	the	The
Chairman	chairman	Chairman
of	of	of
the	the	the
Joint	joint	Joint
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
General	general	General
Joseph	joseph	Joseph
Francis	franci	Francis
Dunford	dunford	Dunford
image	imag	image
,	,	,
left	left	left
has	has	ha
warned	warn	warned
both	both	both
the	the	the
US	us	US
Senate	senat	Senate
as	as	a
well	well	well
Secretary	secretari	Secretary
of	of	of
State	state	State
John	john	John
Kerry	kerri	Kerry
in	in	in
no	no	no
uncertain	uncertain	uncertain
terms	term	term
that	that	that
a	a	a
No	no	No
Fly	fli	Fly
Zone	zone	Zone
over	over	over
Syria	syria	Syria
would	would	would
lead	lead	lead
to	to	to
war	war	war
with	with	with
both	both	both
Syria	syria	Syria
and	and	and
Russia	russia	Russia
,	,	,
intimating	intim	intimating
a	a	a
dangerous	danger	dangerous
process	process	process
of	of	of
military	militari	military
escalation	escal	escalation
.	.	.
In	in	In
a	a	a
Senate	senat	Senate
Arms	arm	Arms
Services	servic	Services
Committee	committe	Committee
hearing	hear	hearing
,	,	,
Dunford	dunford	Dunford
said	said	said
,	,	,
responding	respond	responding
to	to	to
questions	question	question
from	from	from
Republican	republican	Republican
Senator	senat	Senator
Roger	roger	Roger
Whicker	whicker	Whicker
Mississippi	mississippi	Mississippi
Right	right	Right
now	now	now
,	,	,
Senator	senat	Senator
,	,	,
for	for	for
us	us	u
to	to	to
control	control	control
all	all	all
of	of	of
the	the	the
airspace	airspac	airspace
in	in	in
Syria	syria	Syria
it	it	it
would	would	would
require	requir	require
us	us	u
to	to	to
go	go	go
to	to	to
war	war	war
,	,	,
against	against	against
Syria	syria	Syria
and	and	and
Russia	russia	Russia
That	that	That
s	s	s
a	a	a
pretty	pretti	pretty
fundamental	fundament	fundamental
decision	decis	decision
that	that	that
certainly	certain	certainly
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
make	make	make
.	.	.
Senate	senat	Senate
Armed	arm	Armed
Services	servic	Services
Committee	committe	Committee
,	,	,
September	septemb	September
22	22	22
,	,	,
2016	2016	2016
,	,	,
emphasis	emphasi	emphasis
added	ad	added
At	at	At
the	the	the
third	third	third
presidential	presidenti	presidential
debate	debat	debate
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
reasserted	reassert	reasserted
her	her	her
commitment	commit	commitment
that	that	that
if	if	if
elected	elect	elected
president	presid	president
,	,	,
she	she	she
would	would	would
implement	implement	implement
a	a	a
no	no	no
-fly-zone	-fly-zon	-fly-zone
,	,	,
intimating	intim	intimating
that	that	that
the	the	the
objective	object	objective
was	was	wa
to	to	to
save	save	save
lives	live	life
I	i	I
think	think	think
a	a	a
no	no	no
-fly	-fli	-fly
zone	zone	zone
could	could	could
save	save	save
