Former	former	Former
Republican	republican	Republican
Congressman	congressman	Congressman
Joe	joe	Joe
Walsh	walsh	Walsh
appeared	appear	appeared
on	on	on
CNN	cnn	CNN
this	this	this
week	week	week
where	where	where
he	he	he
defended	defend	defended
a	a	a
tweet	tweet	tweet
that	that	that
he	he	he
posted	post	posted
threatening	threaten	threatening
President	presid	President
Obama	obama	Obama
and	and	and
the	the	the
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
Movement	movement	Movement
.	.	.

This	this	This
is	is	is
now	now	now
war	war	war
.	.	.

Watch	watch	Watch
out	out	out
Obama	obama	Obama
.	.	.

Watch	watch	Watch
out	out	out
black	black	black
lives	live	life
matter	matter	matter
punks	punk	punk
.	.	.

Real	real	Real
America	america	America
is	is	is
coming	come	coming
after	after	after
you	you	you
,	,	,
Walsh	walsh	Walsh
tweeted	tweet	tweeted
after	after	after
the	the	the
shooting	shoot	shooting
in	in	in
Dallas	dalla	Dallas
that	that	that
resulted	result	resulted
in	in	in
the	the	the
deaths	death	death
of	of	of
five	five	five
police	polic	police
officers	offic	officer
on	on	on
Thursday	thursday	Thursday
.	.	.
During	dure	During
the	the	the
appearance	appear	appearance
,	,	,
Walsh	walsh	Walsh
insisted	insist	insisted
that	that	that
he	he	he
was	was	wa
not	not	not
trying	tri	trying
to	to	to
incite	incit	incite
violence	violenc	violence
towards	toward	towards
President	presid	President
Obama	obama	Obama
.	.	.

Yeah	yeah	Yeah
.	.	.

Oh	oh	Oh
,	,	,
absolutely	absolut	absolutely
,	,	,
because	becaus	because
I	i	I
stand	stand	stand
by	by	by
what	what	what
I	i	I
meant	meant	meant
,	,	,
Don	don	Don
,	,	,
Walsh	walsh	Walsh
said	said	said
.	.	.

I	i	I
didn	didn	didn
t	t	t
intend	intend	intend
to	to	to
say	say	say
everybody	everybodi	everybody
go	go	go
threaten	threaten	threaten
Barack	barack	Barack
Obama	obama	Obama
or	or	or
incite	incit	incite
violence	violenc	violence
against	against	against
Barack	barack	Barack
Obama	obama	Obama
.	.	.

I	i	I
don	don	don
t	t	t
know	know	know
of	of	of
a	a	a
sane	sane	sane
person	person	person
that	that	that
would	would	would
do	do	do
that	that	that
.	.	.

That	that	That
s	s	s
not	not	not
what	what	what
I	i	I
meant	meant	meant
,	,	,
Don	don	Don
.	.	.

Walsh	walsh	Walsh
then	then	then
went	went	went
on	on	on
to	to	to
blame	blame	blame
Obama	obama	Obama
for	for	for
the	the	the
deaths	death	death
of	of	of
the	the	the
officers	offic	officer
killed	kill	killed
in	in	in
Dallas	dalla	Dallas
.	.	.

Because	becaus	Because
I	i	I
m	m	m
pissed	piss	pissed
off	off	off
,	,	,
a	a	a
lot	lot	lot
of	of	of
Americans	american	Americans
are	are	are
pissed	piss	pissed
off	off	off
,	,	,
and	and	and
a	a	a
lot	lot	lot
of	of	of
police	polic	police
officers	offic	officer
around	around	around
the	the	the
country	countri	country
are	are	are
upset	upset	upset
because	becaus	because
there	there	there
really	realli	really
is	is	is
a	a	a
war	war	war
on	on	on
our	our	our
cops	cop	cop
and	and	and
a	a	a
lot	lot	lot
of	of	of
police	polic	police
officers	offic	officer
believe	believ	believe
that	that	that
it	it	it
started	start	started
with	with	with
Barack	barack	Barack
Obama	obama	Obama
,	,	,
Walsh	walsh	Walsh
explained	explain	explained
.	.	.

The	the	The
last	last	last
couple	coupl	couple
of	of	of
years	year	year
,	,	,
Barack	barack	Barack
Obama	obama	Obama
has	has	ha
done	done	done
nothing	noth	nothing
but	but	but
hate	hate	hate
on	on	on
cops	cop	cop
.	.	.

Accusing	accus	Accusing
cops	cop	cop
of	of	of
being	be	being
bad	bad	bad
and	and	and
racist	racist	racist
.	.	.

But	but	But
that	that	that
s	s	s
not	not	not
accusing	accus	accusing
cops	cop	cop
of	of	of
being	be	being
racist	racist	racist
,	,	,
Lemon	lemon	Lemon
replied	repli	replied
.	.	.

He	he	He
s	s	s
actually	actual	actually
pointing	point	pointing
out	out	out
a	a	a
fact	fact	fact
there	there	there
is	is	is
systemic	system	systemic
racism	racism	racism
in	in	in
this	this	this
country	countri	country
and	and	and
there	there	there
are	are	are
police	polic	police
departments	depart	department
that	that	that
need	need	need
to	to	to
be	be	be
reformed	reform	reformed
.	.	.

Walsh	walsh	Walsh
then	then	then
went	went	went
on	on	on
to	to	to
say	say	say
that	that	that
most	most	most
Americans	american	Americans
himself	himself	himself
excluded	exclud	excluded
of	of	of
course	cours	course
are	are	are
just	just	just
simply	simpli	simply
too	too	too
dumb	dumb	dumb
to	to	to
understand	understand	understand
what	what	what
President	presid	President
Obama	obama	Obama
has	has	ha
said	said	said
regarding	regard	regarding
his	his	his
public	public	public
statements	statement	statement
on	on	on
systemic	system	systemic
racism	racism	racism
in	in	in
the	the	the
criminal	crimin	criminal
justice	justic	justice
system	system	system
.	.	.

When	when	When
he	he	he
said	said	said
there	there	there
s	s	s
systemic	system	systemic
racism	racism	racism
in	in	in
the	the	the
police	polic	police
department	depart	department
after	after	after
the	the	the
Minneapolis	minneapoli	Minneapolis
shooting	shoot	shooting
,	,	,
he	he	he
s	s	s
telling	tell	telling
people	peopl	people
on	on	on
the	the	the
streets	street	street
that	that	that
police	polic	police
officers	offic	officer
are	are	are
racist	racist	racist
.	.	.

Now	now	Now
,	,	,
maybe	mayb	maybe
you	you	you
and	and	and
I	i	I
can	can	can
make	make	make
that	that	that
distinction	distinct	distinction
,	,	,
but	but	but
when	when	when
people	peopl	people
on	on	on
the	the	the
street	street	street
hear	hear	hear
the	the	the
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
time	time	time
after	after	after
time	time	time
say	say	say
that	that	that
there	there	there
is	is	is
racism	racism	racism
in	in	in
police	polic	police
departments	depart	department
all	all	all
over	over	over
the	the	the
country	countri	country
,	,	,
man	man	man
,	,	,
that	that	that
kind	kind	kind
of	of	of
hating	hate	hating
leads	lead	lead
to	to	to
what	what	what
you	you	you
got	got	got
in	in	in
Dallas	dalla	Dallas
.	.	.

Yeah	yeah	Yeah
,	,	,
because	becaus	because
This	this	This
is	is	is
now	now	now
war	war	war
,	,	,
Real	real	Real
America	america	America
is	is	is
coming	come	coming
after	after	after
you	you	you
,	,	,
is	is	is
such	such	such
a	a	a
loving	love	loving
