Hillary	hillari	Hillary
s	s	s
all	all	all
about	about	about
protecting	protect	protecting
women	women	woman
who	who	who
are	are	are
victims	victim	victim
of	of	of
rape	rape	rape
unless	unless	unless
of	of	of
course	cours	course
her	her	her
husband	husband	husband
is	is	is
the	the	the
accused	accus	accused
rapist	rapist	rapist
In	in	In
her	her	her
first	first	first
extensive	extens	extensive
interview	interview	interview
in	in	in
over	over	over
a	a	a
decade	decad	decade
,	,	,
the	the	the
nurse	nurs	nurse
who	who	who
found	found	found
Juanita	juanita	Juanita
Broaddrick	broaddrick	Broaddrick
in	in	in
her	her	her
hotel	hotel	hotel
room	room	room
immediately	immedi	immediately
after	after	after
Bill	bill	Bill
Clinton	clinton	Clinton
allegedly	alleg	allegedly
raped	rape	raped
Broaddrick	broaddrick	Broaddrick
recounted	recount	recounted
what	what	what
she	she	she
says	say	say
she	she	she
witnessed	wit	witnessed
in	in	in
that	that	that
room	room	room
38	38	38
years	year	year
ago	ago	ago
.	.	.
She	she	She
was	was	wa
crying	cri	cry
,	,	,
recalled	recal	recalled
Norma	norma	Norma
Rogers	roger	Rogers
,	,	,
a	a	a
nurse	nurs	nurse
who	who	who
worked	work	worked
for	for	for
Broaddrick	broaddrick	Broaddrick
,	,	,
who	who	who
at	at	at
the	the	the
time	time	time
was	was	wa
a	a	a
nursing	nurs	nursing
home	home	home
administrator	administr	administrator
volunteering	volunt	volunteering
for	for	for
then	then	then
-Arkansas	-arkansa	-Arkansas
Attorney	attorney	Attorney
General	general	General
Bill	bill	Bill
Clinton	clinton	Clinton
s	s	s
1978	1978	1978
gubernatorial	gubernatori	gubernatorial
bid	bid	bid
.	.	.
And	and	And
the	the	the
thing	thing	thing
I	i	I
think	think	think
I	i	I
remember	rememb	remember
most	most	most
is	is	is
that	that	that
her	her	her
mouth	mouth	mouth
was	was	wa
all	all	all
swollen	swollen	swollen
up	up	up
.	.	.
It	it	It
was	was	wa
cut	cut	cut
.	.	.
Her	her	Her
pantyhose	pantyhos	pantyhose
were	were	were
all	all	all
ripped	rip	ripped
,	,	,
Rogers	roger	Rogers
stated	state	stated
in	in	in
dramatic	dramat	dramatic
,	,	,
lengthy	lengthi	lengthy
new	new	new
testimony	testimoni	testimony
.	.	.
Rogers	roger	Rogers
drove	drove	drove
Broaddrick	broaddrick	Broaddrick
back	back	back
home	home	home
after	after	after
the	the	the
incident	incid	incident
.	.	.
This	this	This
week	week	week
,	,	,
she	she	she
recounted	recount	recounted
that	that	that
emotional	emot	emotional
drive	drive	drive
.	.	.
I	i	I
think	think	think
we	we	we
stopped	stop	stopped
at	at	at
least	least	least
twice	twice	twice
to	to	to
get	get	get
ice	ice	ice
.	.	.
I	i	I
would	would	would
go	go	go
up	up	up
and	and	and
get	get	get
fresh	fresh	fresh
ice	ice	ice
and	and	and
put	put	put
it	it	it
on	on	on
her	her	her
mouth	mouth	mouth
because	becaus	because
she	she	she
was	was	wa
trying	tri	trying
to	to	to
keep	keep	keep
her	her	her
face	face	face
from	from	from
bruising	bruis	bruising
and	and	and
looking	look	looking
like	like	like
something	someth	something
bad	bad	bad
had	had	had
happened	happen	happened
to	to	to
her	her	her
,	,	,
you	you	you
know	know	know
.	.	.
It	it	It
was	was	wa
just	just	just
crazy	crazi	crazy
.	.	.
The	the	The
whole	whole	whole
situation	situat	situation
was	was	wa
just	just	just
crazy	crazi	crazy
.	.	.
Rogers	roger	Rogers
was	was	wa
speaking	speak	speaking
in	in	in
a	a	a
lengthy	lengthi	lengthy
interview	interview	interview
on	on	on
this	this	this
reporter	report	reporter
s	s	s
talk	talk	talk
radio	radio	radio
program	program	program
,	,	,
Aaron	aaron	Aaron
Klein	klein	Klein
Investigative	investig	Investigative
Radio	radio	Radio
,	,	,
broadcast	broadcast	broadcast
on	on	on
New	new	New
York	york	York
s	s	s
AM	am	AM
970	970	970
The	the	The
Answer	answer	Answer
and	and	and
NewsTalk	newstalk	NewsTalk
990	990	990
AM	am	AM
in	in	in
Philadelphia	philadelphia	Philadelphia
.	.	.
Events	event	Events
leading	lead	leading
to	to	to
incidentRogers	incidentrog	incidentRogers
took	took	took
listeners	listen	listener
back	back	back
to	to	to
the	the	the
spring	spring	spring
of	of	of
1978	1978	1978
when	when	when
she	she	she
traveled	travel	traveled
to	to	to
Little	littl	Little
Rock	rock	Rock
for	for	for
an	an	an
industry	industri	industry
convention	convent	convention
along	along	along
with	with	with
her	her	her
nursing	nurs	nursing
home	home	home
boss	boss	bos
,	,	,
Broaddrick	broaddrick	Broaddrick
.	.	.
The	the	The
two	two	two
shared	share	shared
a	a	a
room	room	room
at	at	at
the	the	the
city	citi	city
s	s	s
Camelot	camelot	Camelot
Hotel	hotel	Hotel
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
me	me	me
in	in	in
November	novemb	November
,	,	,
Broaddrick	broaddrick	Broaddrick
herself	herself	herself
provided	provid	provided
background	background	background
on	on	on
her	her	her
personal	person	personal
encounters	encount	encounter
with	with	with
Clinton	clinton	Clinton
leading	lead	leading
up	up	up
to	to	to
that	that	that
infamous	infam	infamous
day	day	day
.	.	.
Broaddrick	broaddrick	Broaddrick
said	said	said
Clinton	clinton	Clinton
previously	previous	previously
singled	singl	singled
her	her	her
out	out	out
during	dure	during
a	a	a
campaign	campaign	campaign
stop	stop	stop
at	at	at
her	her	her
nursing	nurs	nursing
home	home	home
.	.	.
He	he	He
would	would	would
just	just	just
sort	sort	sort
of	of	of
insinuate	insinu	insinuate
,	,	,
you	you	you
know	know	know
when	when	when
you	you	you
are	are	are
in	in	in
Little	littl	Little
Rock	rock	Rock
let	let	let
s	s	s
get	get	get
together	togeth	together
.	.	.
Let	let	Let
s	s	s
talk	talk	talk
about	about	about
the	the	the
industry	industri	industry
.	.	.
Let	let	Let
s	s	s
talk	talk	talk
about	about	about
the	the	the
needs	need	need
of	of	of
the	the	the
nursing	nurs	nursing
homes	home	home
and	and	and
I	i	I
was	was	wa
very	veri	very
excited	excit	excited
about	about	about
that	that	that
.	.	.
Broaddrick	broaddrick	Broaddrick
said	said	said
she	she	she
finally	final	finally
took	took	took
Clinton	clinton	Clinton
up	up	up
on	on	on
that	that	that
offer	offer	offer
when	when	when
she	she	she
traveled	travel	traveled
to	to	to
Little	littl	Little
Rock	rock	Rock
with	with	with
Rogers	roger	Rogers
for	for	for
the	the	the
convention	convent	convention
.	.	.
Broaddrick	broaddrick	Broaddrick
says	say	say
she	she	she
phoned	phone	phoned
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
headquarters	headquart	headquarters
to	to	to
inform	inform	inform
him	him	him
of	of	of
her	her	her
arrival	arriv	arrival
and	and	and
was	was	wa
told	told	told
by	by	by
a	a	a
receptionist	receptionist	receptionist
that	that	that
Clinton	clinton	Clinton
had	had	had
left	left	left
instructions	instruct	instruction
for	for	for
her	her	her
to	to	to
reach	reach	reach
him	him	him
at	at	at
his	his	his
private	privat	private
apartment	apart	apartment
.	.	.
I	i	I
called	call	called
his	his	his
apartment	apart	apartment
and	and	and
he	he	he
answered	answer	answered
,	,	,
Broaddrick	broaddrick	Broaddrick
recounted	recount	recounted
during	dure	during
our	our	our
November	novemb	November
interview	interview	interview
.	.	.
And	and	And
he	he	he
said	said	said
,	,	,
Well	well	Well
,	,	,
why	whi	why
don	don	don
t	t	t
we	we	we
meet	meet	meet
in	in	in
the	the	the
Camelot	camelot	Camelot
Hotel	hotel	Hotel
coffee	coffe	coffee
room	room	room
and	and	and
we	we	we
can	can	can
get	get	get
together	togeth	together
there	there	there
and	and	and
talk	talk	talk
.	.	.
And	and	And
I	i	I
said	said	said
That	that	That
would	would	would
be	be	be
fine	fine	fine
.	.	.
Clinton	clinton	Clinton
then	then	then
changed	chang	changed
the	the	the
meeting	meet	meeting
location	locat	location
from	from	from
the	the	the
hotel	hotel	hotel
coffee	coffe	coffee
shop	shop	shop
to	to	to
Broaddrick	broaddrick	Broaddrick
s	s	s
room	room	room
.	.	.
A	a	A
time	time	time
later	later	later
and	and	and
I	i	I
m	m	m
not	not	not
sure	sure	sure
how	how	how
long	long	long
it	it	it
was	was	wa
,	,	,
he	he	he
called	call	called
my	my	my
room	room	room
,	,	,
which	which	which
he	he	he
said	said	said
he	he	he
would	would	would
do	do	do
when	when	when
he	he	he
got	got	got
to	to	to
the	the	the
coffee	coffe	coffee
shop	shop	shop
.	.	.
And	and	And
he	he	he
said	said	said
,	,	,
There	there	There
are	are	are
too	too	too
many	mani	many
people	peopl	people
down	down	down
here	here	here
.	.	.
It	it	It
s	s	s
too	too	too
crowded	crowd	crowded
.	.	.
There	there	There
s	s	s
reporters	report	reporter
and	and	and
can	can	can
we	we	we
just	just	just
meet	meet	meet
in	in	in
your	your	your
room	room	room
?	?	?
And	and	And
it	it	it
sort	sort	sort
of	of	of
took	took	took
me	me	me
back	back	back
a	a	a
little	littl	little
bit	bit	bit
,	,	,
Aaron	aaron	Aaron
,	,	,
she	she	she
said	said	said
of	of	of
Clinton	clinton	Clinton
s	s	s
request	request	request
.	.	.
But	but	But
I	i	I
did	did	did
say	say	say
,	,	,
okay	okay	okay
,	,	,
I	i	I
ll	ll	ll
order	order	order
coffee	coffe	coffee
to	to	to
the	the	the
room	room	room
,	,	,
which	which	which
I	i	I
did	did	did
and	and	and
that	that	that
s	s	s
when	when	when
things	thing	thing
sort	sort	sort
of	of	of
got	got	got
out	out	out
of	of	of
hand	hand	hand
.	.	.
And	and	And
it	it	it
was	was	wa
very	veri	very
unexpected	unexpect	unexpected
.	.	.
It	it	It
was	was	wa
,	,	,
you	you	you
might	might	might
even	even	even
say	say	say
,	,	,
brutal	brutal	brutal
.	.	.
With	with	With
the	the	the
biting	bite	biting
of	of	of
my	my	my
lip	lip	lip
.	.	.
In	in	In
the	the	the
new	new	new
interview	interview	interview
,	,	,
Rogers	roger	Rogers
confirmed	confirm	confirmed
Broaddrick	broaddrick	Broaddrick
s	s	s
version	version	version
of	of	of
events	event	event
I	i	I
just	just	just
know	know	know
when	when	when
I	i	I
left	left	left
that	that	that
morning	morn	morning
it	it	it
was	was	wa
my	my	my
understanding	understand	understanding
that	that	that
she	she	she
was	was	wa
going	go	going
to	to	to
be	be	be
meeting	meet	meeting
with	with	with
Mr	mr	Mr
.	.	.
Clinton	clinton	Clinton
downstairs	downstair	downstairs
in	in	in
the	the	the
coffee	coffe	coffee
shop	shop	shop
for	for	for
a	a	a
meeting	meet	meeting
that	that	that
they	they	they
had	had	had
planned	plan	planned
ahead	ahead	ahead
of	of	of
time	time	time
to	to	to
discuss	discuss	discus
nursing	nurs	nursing
home	home	home
issues	issu	issue
.	.	.
Bloody	bloodi	Bloody
lip	lip	lip
.	.	.
Ripped	rip	Ripped
pantyhose	pantyhos	pantyhose
.	.	.
State	state	State
of	of	of
shock	shock	shock
.	.	.
Broaddrick	broaddrick	Broaddrick
previously	previous	previously
recounted	recount	recounted
the	the	the
aftermath	aftermath	aftermath
of	of	of
the	the	the
incident	incid	incident
,	,	,
when	when	when
her	her	her
friend	friend	friend
Rogers	roger	Rogers
came	came	came
back	back	back
to	to	to
the	the	the
room	room	room
after	after	after
Broaddrick	broaddrick	Broaddrick
failed	fail	failed
to	to	to
show	show	show
up	up	up
to	to	to
the	the	the
convention	convent	convention
.	.	.
In	in	In
our	our	our
radio	radio	radio
interview	interview	interview
,	,	,
Rogers	roger	Rogers
recounted	recount	recounted
what	what	what
she	she	she
says	say	say
she	she	she
saw	saw	saw
upon	upon	upon
entering	enter	entering
the	the	the
room	room	room
.	.	.
I	i	I
went	went	went
back	back	back
to	to	to
the	the	the
room	room	room
and	and	and
I	i	I
can	can	can
t	t	t
remember	rememb	remember
if	if	if
it	it	it
was	was	wa
because	becaus	because
she	she	she
didn	didn	didn
