If	if	If
anybody	anybodi	anybody
knows	know	know
when	when	when
a	a	a
president	presid	president
is	is	is
qualified	qualifi	qualified
for	for	for
impeachment	impeach	impeachment
,	,	,
it	it	it
s	s	s
David	david	David
Gergen	gergen	Gergen
.	.	.
After	after	After
all	all	all
,	,	,
he	he	he
worked	work	worked
in	in	in
the	the	the
Nixon	nixon	Nixon
Administration	administr	Administration
.	.	.
Donald	donald	Donald
Trump	trump	Trump
s	s	s
Russia	russia	Russia
scandal	scandal	scandal
has	has	ha
gotten	gotten	gotten
even	even	even
bigger	bigger	bigger
over	over	over
the	the	the
last	last	last
week	week	week
.	.	.
Just	just	Just
a	a	a
day	day	day
after	after	after
firing	fire	firing
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
,	,	,
Trump	trump	Trump
met	met	met
with	with	with
Russian	russian	Russian
officials	offici	official
in	in	in
the	the	the
Oval	oval	Oval
Office	offic	Office
and	and	and
leaked	leak	leaked
highly	high	highly
classified	classifi	classified
information	inform	information
and	and	and
compromised	compromis	compromised
the	the	the
source	sourc	source
of	of	of
that	that	that
intelligence	intellig	intelligence
and	and	and
our	our	our
own	own	own
national	nation	national
security	secur	security
.	.	.
And	and	And
now	now	now
,	,	,
there	there	there
s	s	s
a	a	a
memo	memo	memo
written	written	written
by	by	by
Comey	comey	Comey
noting	note	noting
that	that	that
Trump	trump	Trump
asked	ask	asked
him	him	him
to	to	to
drop	drop	drop
the	the	the
Russia	russia	Russia
investigation	investig	investigation
.	.	.
Interestingly	interest	Interestingly
enough	enough	enough
,	,	,
it	it	it
s	s	s
the	the	the
memo	memo	memo
that	that	that
could	could	could
end	end	end
up	up	up
bringing	bring	bringing
Trump	trump	Trump
down	down	down
.	.	.
You	you	You
see	see	see
,	,	,
asking	ask	asking
the	the	the
head	head	head
of	of	of
a	a	a
federal	feder	federal
agency	agenc	agency
to	to	to
drop	drop	drop
an	an	an
investigation	investig	investigation
and	and	and
then	then	then
firing	fire	firing
that	that	that
person	person	person
later	later	later
on	on	on
for	for	for
refusing	refus	refusing
to	to	to
do	do	do
so	so	so
is	is	is
the	the	the
very	veri	very
definition	definit	definition
of	of	of
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
and	and	and
impeding	imped	impeding
an	an	an
investigation	investig	investigation
.	.	.
As	as	As
it	it	it
turns	turn	turn
out	out	out
,	,	,
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
is	is	is
what	what	what
led	led	led
to	to	to
