Brooklyn	brooklyn	Brooklyn
College	colleg	College
is	is	is
advising	advis	advising
New	new	New
York	york	York
City	citi	City
police	polic	police
officers	offic	officer
to	to	to
use	use	use
bathrooms	bathroom	bathroom
on	on	on
the	the	the
far	far	far
end	end	end
of	of	of
campus	campus	campus
in	in	in
order	order	order
to	to	to
avoid	avoid	avoid
being	be	being
seen	seen	seen
by	by	by
students	student	student
who	who	who
might	might	might
be	be	be
offended	offend	offended
by	by	by
their	their	their
presence	presenc	presence
.	.	.
The	the	The
Excelsior	excelsior	Excelsior
,	,	,
the	the	the
college	colleg	college
s	s	s
student	student	student
newspaper	newspap	newspaper
,	,	,
reported	report	reported
last	last	last
week	week	week
that	that	that
Director	director	Director
of	of	of
Public	public	Public
Safety	safeti	Safety
Donald	donald	Donald
Wenz	wenz	Wenz
would	would	would
prefer	prefer	prefer
if	if	if
members	member	member
of	of	of
the	the	the
New	new	New
York	york	York
Police	polic	Police
Department	depart	Department
NYPD	nypd	NYPD
used	use	used
facilities	facil	facility
in	in	in
the	the	the
West	west	West
End	end	End
Building	build	Building
WEB	web	WEB
rather	rather	rather
than	than	than
walking	walk	walking
across	across	across
either	either	either
quad	quad	quad
to	to	to
use	use	use
the	the	the
bathroom	bathroom	bathroom
.	.	.

Wenz	wenz	Wenz
s	s	s
comments	comment	comment
come	come	come
in	in	in
the	the	the
wake	wake	wake
of	of	of
a	a	a
film	film	film
screening	screen	screening
of	of	of
the	the	the
movie	movi	movie
Watched	watch	Watched
,	,	,
which	which	which
documents	document	document
an	an	an
NYPD	nypd	NYPD
informant	inform	informant
who	who	who
surveilled	surveil	surveilled
Muslim	muslim	Muslim
students	student	student
on	on	on
campus	campus	campus
for	for	for
a	a	a
period	period	period
of	of	of
four	four	four
years	year	year
as	as	a
part	part	part
of	of	of
the	the	the
city	citi	city
s	s	s
counterterrorism	counterterror	counterterrorism
efforts	effort	effort
.	.	.

After	after	After
the	the	the
screening	screen	screening
,	,	,
students	student	student
were	were	were
allowed	allow	allowed
to	to	to
share	share	share
their	their	their
thoughts	thought	thought
on	on	on
having	have	having
NYPD	nypd	NYPD
officers	offic	officer
on	on	on
campus	campus	campus
.	.	.

I	i	I
disagree	disagre	disagree
with	with	with
them	them	them
being	be	being
on	on	on
campus	campus	campus
.	.	.

Especially	especi	Especially
allowing	allow	allowing
them	them	them
to	to	to
use	use	use
the	the	the
building	build	building
where	where	where
student	student	student
groups	group	group
are	are	are
held	held	held
,	,	,
one	one	one
unidentified	unidentifi	unidentified
student	student	student
remarked	remark	remarked
,	,	,
according	accord	according
to	to	to
The	the	The
Excelsior	excelsior	Excelsior
,	,	,
later	later	later
noting	note	noting
that	that	that
he	he	he
would	would	would
be	be	be
sending	send	sending
a	a	a
petition	petit	petition
to	to	to
College	colleg	College
President	presid	President
Michelle	michell	Michelle
Anderson	anderson	Anderson
,	,	,
pressuring	pressur	pressuring
her	her	her
to	to	to
issue	issu	issue
a	a	a
statement	statement	statement
that	that	that
we	we	we
do	do	do
not	not	not
want	want	want
the	the	the
