According	accord	According
to	to	to
Russian	russian	Russian
dictator	dictat	dictator
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
it	it	it
s	s	s
silly	silli	silly
to	to	to
worry	worri	worry
about	about	about
little	littl	little
things	thing	thing
like	like	like
whether	whether	whether
or	or	or
not	not	not
a	a	a
couple	coupl	couple
of	of	of
Russian	russian	Russian
ladies	ladi	lady
peed	peed	peed
on	on	on
Donald	donald	Donald
Trump	trump	Trump
s	s	s
bed	bed	bed
because	becaus	because
it	it	it
s	s	s
much	much	much
,	,	,
much	much	much
worse	wors	worse
to	to	to
publish	publish	publish
memos	memo	memo
that	that	that
reveal	reveal	reveal
these	these	these
allegations	alleg	allegation
.	.	.
Putin	putin	Putin
says	say	say
that	that	that
there	there	there
is	is	is
a	a	a
conspiracy	conspiraci	conspiracy
to	to	to
delegitimize	delegitim	delegitimize
the	the	the
man	man	man
and	and	and
his	his	his
team	team	team
of	of	of
hackers	hacker	hacker
,	,	,
fake	fake	fake
news	news	news
writers	writer	writer
,	,	,
and	and	and
trolls	troll	troll
he	he	he
worked	work	worked
hard	hard	hard
to	to	to
install	instal	install
in	in	in
the	the	the
Oval	oval	Oval
Office	offic	Office
by	by	by
hacking	hack	hacking
Trump	trump	Trump
s	s	s
political	polit	political
opponents	oppon	opponent
and	and	and
running	run	running
an	an	an
aggressive	aggress	aggressive
propaganda	propaganda	propaganda
campaign	campaign	campaign
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
Mr	mr	Mr
.	.	.
Trump	trump	Trump
,	,	,
I	i	I
have	have	have
never	never	never
met	met	met
him	him	him
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
what	what	what
he	he	he
will	will	will
do	do	do
in	in	in
the	the	the
international	intern	international
arena	arena	arena
,	,	,
so	so	so
I	i	I
have	have	have
no	no	no
reason	reason	reason
either	either	either
to	to	to
attack	attack	attack
him	him	him
,	,	,
criticize	critic	criticize
him	him	him
or	or	or
defend	defend	defend
him	him	him
,	,	,
Putin	putin	Putin
said	said	said
