Former	former	Former
reality	realiti	reality
show	show	show
star	star	star
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
repeatedly	repeat	repeatedly
refused	refus	refused
to	to	to
be	be	be
held	held	held
responsible	respons	responsible
for	for	for
the	the	the
words	word	word
that	that	that
come	come	come
out	out	out
of	of	of
his	his	his
own	own	own
mouth	mouth	mouth
,	,	,
even	even	even
when	when	when
it	it	it
s	s	s
on	on	on
tape	tape	tape
.	.	.
For	for	For
example	exampl	example
,	,	,
the	the	the
infamous	infam	infamous
Access	access	Access
Hollywood	hollywood	Hollywood
tape	tape	tape
in	in	in
which	which	which
he	he	he
suggests	suggest	suggests
that	that	that
because	becaus	because
he	he	he
s	s	s
powerful	power	powerful
,	,	,
he	he	he
can	can	can
just	just	just
grab	grab	grab
women	women	woman
by	by	by
their	their	their
p	p	p
-ssies	-ssi	-ssies
.	.	.
Trump	trump	Trump
defended	defend	defended
sexual	sexual	sexual
harasser	harass	harasser
and	and	and
Fox	fox	Fox
News	news	News
host	host	host
yeah	yeah	yeah
,	,	,
I	i	I
know	know	know
that	that	that
s	s	s
redundant	redund	redundant
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
in	in	in
the	the	the
recent	recent	recent
past	past	past
and	and	and
even	even	even
more	more	more
recently	recent	recently
,	,	,
he	he	he
has	has	ha
defended	defend	defended
alleged	alleg	alleged
pedophile	pedophil	pedophile
and	and	and
Alabama	alabama	Alabama
Senate	senat	Senate
candidate	candid	candidate
Roy	roy	Roy
Moore	moor	Moore
.	.	.
So	so	So
,	,	,
defending	defend	defending
perverts	pervert	pervert
is	is	is
just	just	just
another	anoth	another
day	day	day
for	for	for
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Here	here	Here
s	s	s
a	a	a
quick	quick	quick
reminder	remind	reminder
of	of	of
what	what	what
Trump	trump	Trump
said	said	said
on	on	on
the	the	the
p	p	p
ssy	ssi	ssy
grabbing	grab	grabbing
tape	tape	tape
You	you	You
know	know	know
I	i	I
m	m	m
automatically	automat	automatically
attracted	attract	attracted
to	to	to
beautiful	beauti	beautiful
women	women	woman
I	i	I
just	just	just
start	start	start
kissing	kiss	kissing
them	them	them
.	.	.
It	it	It
s	s	s
like	like	like
a	a	a
magnet	magnet	magnet
.	.	.
Just	just	Just
kiss	kiss	kiss
.	.	.
I	i	I
don	don	don
t	t	t
even	even	even
wait	wait	wait
.	.	.
And	and	And
when	when	when
you	you	you
re	re	re
a	a	a
star	star	star
,	,	,
they	they	they
let	let	let
you	you	you
do	do	do
it	it	it
.	.	.
You	you	You
can	can	can
do	do	do
anything	anyth	anything
.	.	.
Grab	grab	Grab
them	them	them
by	by	by
the	the	the
pussy	pussi	pussy
.	.	.
You	you	You
can	can	can
do	do	do
anything	anyth	anything
.	.	.
The	the	The
New	new	New
York	york	York
Times	time	Times
reports	report	report
that	that	that
even	even	even
after	after	after
Trump	trump	Trump
made	made	made
an	an	an
almost	almost	almost
-apology	-apolog	-apology
after	after	after
the	the	the
tape	tape	tape
was	was	wa
revealed	reveal	revealed
,	,	,
he	he	he
still	still	still
told	told	told
a	a	a
Senator	senat	Senator
and	and	and
an	an	an
adviser	advis	adviser
that	that	that
the	the	the
Access	access	Access
