There	there	There
s	s	s
no	no	no
question	question	question
that	that	that
Donald	donald	Donald
Trump	trump	Trump
is	is	is
running	run	running
a	a	a
ahem	ahem	ahem
unique	uniqu	unique
campaign	campaign	campaign
.	.	.
It	it	It
s	s	s
so	so	so
unique	uniqu	unique
that	that	that
he	he	he
s	s	s
self	self	self
-funded	-fund	-funded
it	it	it
into	into	into
being	be	being
broke	broke	broke
.	.	.
His	his	His
FEC	fec	FEC
filings	file	filing
,	,	,
through	through	through
May	may	May
31	31	31
of	of	of
this	this	this
year	year	year
,	,	,
reveal	reveal	reveal
an	an	an
awful	aw	awful
lot	lot	lot
more	more	more
than	than	than
that	that	that
,	,	,
though	though	though
.	.	.
The	the	The
campaign	campaign	campaign
has	has	ha
paid	paid	paid
millions	million	million
to	to	to
his	his	his
own	own	own
businesses	busi	business
and	and	and
property	properti	property
,	,	,
including	includ	including
his	his	his
ridiculously	ridicul	ridiculously
luxurious	luxuri	luxurious
plane	plane	plane
,	,	,
and	and	and
Mar	mar	Mar
-a-Lago	-a-lago	-a-Lago
,	,	,
his	his	his
personal	person	personal
estate	estat	estate
in	in	in
Florida	florida	Florida
.	.	.
Derek	derek	Derek
Willis	willi	Willis
,	,	,
a	a	a
journalist	journalist	journalist
at	at	at
ProPublica	propublica	ProPublica
,	,	,
tweeted	tweet	tweeted
out	out	out
a	a	a
spreadsheet	spreadsheet	spreadsheet
that	that	that
ProPublica	propublica	ProPublica
put	put	put
together	togeth	together
of	of	of
all	all	all
campaign	campaign	campaign
disbursements	disburs	disbursement
to	to	to
things	thing	thing
with	with	with
Trump	trump	Trump
in	in	in
the	the	the
name	name	name
.	.	.
In	in	In
total	total	total
,	,	,
the	the	the
campaign	campaign	campaign
has	has	ha
paid	paid	paid
nearly	near	nearly
1	1	1
.	.	.
4	4	4
million	million	million
to	to	to
Trump	trump	Trump
s	s	s
own	own	own
businesses	busi	business
since	sinc	since
he	he	he
launched	launch	launched
it	it	it
last	last	last
year	year	year
Recipients	recipi	Recipients
of	of	of
payments	payment	payment
from	from	from
Trump	trump	Trump
campaign	campaign	campaign
with	with	with
Trump	trump	Trump
in	in	in
name	name	name
,	,	,
through	through	through
May	may	May
31	31	31
.	.	.
Doesn	doesn	Doesn
t	t	t
include	includ	include
Mar	mar	Mar
-a-Lago	-a-lago	-a-Lago
planes	plane	plane
.	.	.
pic.twitter.com/JF6skaWYGF	pic.twitter.com/jf6skawygf	pic.twitter.com/JF6skaWYGF
Derek	derek	Derek
Willis	willi	Willis
@derekwillis	@derekwilli	@derekwillis
June	june	June
21	21	21
,	,	,
2016At	2016at	2016At
first	first	first
,	,	,
that	that	that
doesn	doesn	doesn
t	t	t
sound	sound	sound
like	like	like
a	a	a
lot	lot	lot
.	.	.
Maybe	mayb	Maybe
Trump	trump	Trump
is	is	is
actually	actual	actually
reining	rein	reining
himself	himself	himself
in	in	in
?	?	?
That	that	That
s	s	s
less	less	le
than	than	than
five	five	five
percent	percent	percent
of	of	of
his	his	his
total	total	total
campaign	campaign	campaign
expenditures	expenditur	expenditure
.	.	.
But	but	But
this	this	this
is	is	is
King	king	King
Donald	donald	Donald
,	,	,
and	and	and
that	that	that
s	s	s
not	not	not
nearly	near	nearly
everything	everyth	everything
.	.	.
The	the	The
campaign	campaign	campaign
has	has	ha
also	also	also
spent	spent	spent
423	423	423
,	,	,
371	371	371
for	for	for
the	the	the
use	use	use
of	of	of
Mar	mar	Mar
-a-Lago	-a-lago	-a-Lago
,	,	,
which	which	which
is	is	is
a	a	a
personal	person	personal
residence	resid	residence
,	,	,
and	and	and
roughly	rough	roughly
5	5	5
million	million	million
to	to	to
Tag	tag	Tag
Air	air	Air
,	,	,
Inc	inc	Inc
.	.	.
the	the	the
company	compani	company
that	that	that
operates	oper	operates
his	his	his
private	privat	private
Boeing	boe	Boeing
757	757	757
with	with	with
the	the	the
solid	solid	solid
gold	gold	gold
seatbelt	seatbelt	seatbelt
buckles	buckl	buckle
for	for	for
the	the	the
use	use	use
of	of	of
his	his	his
plane	plane	plane
.	.	.
That	that	That
brings	bring	brings
the	the	the
total	total	total
up	up	up
to	to	to
roughly	rough	roughly
6	6	6
.	.	.
8	8	8
million	million	million
that	that	that
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
has	has	ha
paid	paid	paid
to	to	to
him	him	him
for	for	for
one	one	one
thing	thing	thing
or	or	or
another	anoth	another
,	,	,
and	and	and
that	that	that
s	s	s
more	more	more
than	than	than
10	10	10
percent	percent	percent
of	of	of
the	the	the
63	63	63
million	million	million
that	that	that
his	his	his
campaign	campaign	campaign
has	has	ha
spent	spent	spent
since	sinc	since
he	he	he
formally	formal	formally
entered	enter	entered
the	the	the
race	race	race
last	last	last
year	year	year
.	.	.
How	how	How
does	doe	doe
he	he	he
get	get	get
away	away	away
with	with	with
that	that	that
?	?	?
Is	is	Is
it	it	it
even	even	even
legal	legal	legal
?	?	?
Back	back	Back
in	in	in
January	januari	January
,	,	,
the	the	the
Miami	miami	Miami
Herald	herald	Herald
ran	ran	ran
a	a	a
piece	piec	piece
on	on	on
these	these	these
same	same	same
expenditures	expenditur	expenditure
.	.	.
At	at	At
that	that	that
time	time	time
,	,	,
Trump	trump	Trump
had	had	had
paid	paid	paid
nearly	near	nearly
one	one	one
out	out	out
of	of	of
every	everi	every
three	three	three
campaign	campaign	campaign
dollars	dollar	dollar
to	to	to
something	someth	something
he	he	he
owned	own	owned
.	.	.
This	this	This
is	is	is
actually	actual	actually
legal	legal	legal
in	in	in
fact	fact	fact
,	,	,
federal	feder	federal
election	elect	election
law	law	law
requires	requir	requires
campaigns	campaign	campaign
to	to	to
pay	pay	pay
fair	fair	fair
market	market	market
for	for	for
goods	good	good
and	and	and
services	servic	service
rendered	render	rendered
,	,	,
even	even	even
if	if	if
they	they	they
come	come	come
from	from	from
a	a	a
candidate	candid	candidate
s	s	s
own	own	own
businesses	busi	business
but	but	but
the	the	the
sheer	sheer	sheer
amount	amount	amount
that	that	that
Trump	trump	Trump
has	has	ha
managed	manag	managed
to	to	to
send	send	send
to	to	to
himself	himself	himself
through	through	through
loopholes	loophol	loophole
in	in	in
campaign	campaign	campaign
finance	financ	finance
law	law	law
,	,	,
is	is	is
very	veri	very
unusual	unusu	unusual
.	.	.
In	in	In
short	short	short
,	,	,
he	he	he
knew	knew	knew
that	that	that
election	elect	election
law	law	law
requires	requir	requires
his	his	his
campaign	campaign	campaign
to	to	to
pay	pay	pay
for	for	for
everything	everyth	everything
,	,	,
otherwise	otherwis	otherwise
it	it	it
counts	count	count
as	as	a
an	an	an
undocumented	undocu	undocumented
campaign	campaign	campaign
contribution	contribut	contribution
.	.	.
So	so	So
,	,	,
he	he	he
probably	probabl	probably
figured	figur	figured
,	,	,
why	whi	why
not	not	not
use	use	use
his	his	his
own	own	own
businesses	busi	business
as	as	a
much	much	much
as	as	a
possible	possibl	possible
?	?	?
Then	then	Then
he	he	he
