Former	former	Former
Acting	act	Acting
Attorney	attorney	Attorney
General	general	General
Sally	salli	Sally
Yates	yate	Yates
was	was	wa
fired	fire	fired
by	by	by
Donald	donald	Donald
Trump	trump	Trump
when	when	when
she	she	she
refused	refus	refused
to	to	to
defend	defend	defend
his	his	his
travel	travel	travel
ban	ban	ban
,	,	,
which	which	which
we	we	we
all	all	all
know	know	know
is	is	is
nothing	noth	nothing
more	more	more
than	than	than
a	a	a
Muslim	muslim	Muslim
ban	ban	ban
.	.	.

On	on	On
Tuesday	tuesday	Tuesday
,	,	,
she	she	she
explained	explain	explained
to	to	to
attendees	attende	attendee
at	at	at
the	the	the
Aspen	aspen	Aspen
Ideas	idea	Ideas
Festival	festiv	Festival
in	in	in
Colorado	colorado	Colorado
why	whi	why
it	it	it
was	was	wa
that	that	that
she	she	she
couldn	couldn	couldn
t	t	t
bring	bring	bring
herself	herself	herself
to	to	to
argue	argu	argue
that	that	that
this	this	this
bill	bill	bill
wasn	wasn	wasn
t	t	t
based	base	based
on	on	on
religion	religion	religion
.	.	.

I	i	I
came	came	came
ultimately	ultim	ultimately
to	to	to
the	the	the
conclusion	conclus	conclusion
that	that	that
our	our	our
defending	defend	defending
this	this	this
travel	travel	travel
ban	ban	ban
would	would	would
require	requir	require
me	me	me
to	to	to
send	send	send
lawyers	lawyer	lawyer
of	of	of
the	the	the
Justice	justic	Justice
Department	depart	Department
to	to	to
court	court	court
to	to	to
say	say	say
this	this	this
ban	ban	ban
had	had	had
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
religion	religion	religion
that	that	that
it	it	it
was	was	wa
all	all	all
based	base	based
on	on	on
national	nation	national
security	secur	security
,	,	,
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
religion	religion	religion
,	,	,
Yates	yate	Yates
told	told	told
the	the	the
audience	audienc	audience
.	.	.

And	and	And
I	i	I
did	did	did
not	not	not
believe	believ	believe
that	that	that
to	to	to
be	be	be
a	a	a
defense	defens	defense
that	that	that
was	was	wa
grounded	ground	grounded
in	in	in
truth	truth	truth
and	and	and
I	i	I
couldn	couldn	couldn
t	t	t
send	send	send
Department	depart	Department
of	of	of
Justice	justic	Justice
lawyers	lawyer	lawyer
in	in	in
to	to	to
defend	defend	defend
something	someth	something
based	base	based
on	on	on
a	a	a
defense	defens	defense
that	that	that
I	i	I
did	did	did
not	not	not
believe	believ	believe
was	was	wa
grounded	ground	grounded
in	in	in
truth	truth	truth
.	.	.

The	the	The
Trump	trump	Trump
administration	administr	administration
did	did	did
not	not	not
