Dubbed	dub	Dubbed
the	the	the
missing	miss	missing
white	white	white
voters	voter	voter
,	,	,
Nate	nate	Nate
Silver	silver	Silver
s	s	s
FiveThirtyEight	fivethirtyeight	FiveThirtyEight
wrote	wrote	wrote
an	an	an
in	in	in
depth	depth	depth
analysis	analysi	analysis
of	of	of
what	what	what
Donald	donald	Donald
Trump	trump	Trump
needs	need	need
to	to	to
do	do	do
in	in	in
order	order	order
to	to	to
win	win	win
Register	regist	Register
between	between	between
5	5	5
to	to	to
47	47	47
million	million	million
white	white	white
voters	voter	voter
starting	start	starting
now	now	now
until	until	until
election	elect	election
day	day	day
.	.	.
Here	here	Here
s	s	s
a	a	a
scary	scari	scary
stat	stat	stat
for	for	for
Democrats	democrat	Democrats
In	in	In
2012	2012	2012
,	,	,
President	presid	President
Obama	obama	Obama
won	won	won
re	re	re
-election	-elect	-election
by	by	by
almost	almost	almost
5	5	5
million	million	million
votes	vote	vote
,	,	,
but	but	but
about	about	about
47	47	47
million	million	million
eligible	elig	eligible
white	white	white
voters	voter	voter
without	without	without
a	a	a
college	colleg	college
degree	degre	degree
including	includ	including
24	24	24
million	million	million
men	men	men
didn	didn	didn
t	t	t
bother	bother	bother
to	to	to
vote	vote	vote
.	.	.

In	in	In
2016	2016	2016
,	,	,
these	these	these
nonvoters	nonvot	nonvoters
are	are	are
part	part	part
of	of	of
the	the	the
demographic	demograph	demographic
that	that	that
is	is	is
most	most	most
strongly	strong	strongly
in	in	in
favor	favor	favor
of	of	of
Donald	donald	Donald
Trump	trump	Trump
.	.	.
If	if	If
Trump	trump	Trump
rouses	rous	rous
even	even	even
a	a	a
fraction	fraction	fraction
of	of	of
these	these	these
notoriously	notori	notoriously
disaffected	disaffect	disaffected
Americans	american	Americans
like	like	like
this	this	this
grease	greas	grease
-smudged	-smudg	-smudged
,	,	,
61	61	61
-year-old	-year-old	-year-old
first	first	first
-time	-time	-time
voter	voter	voter
in	in	in
western	western	western
Pennsylvania	pennsylvania	Pennsylvania
he	he	he
could	could	could
surge	surg	surge
to	to	to
victory	victori	victory
.	.	.

There	there	There
s	s	s
just	just	just
one	one	one
catch	catch	catch
If	if	If
we	we	we
re	re	re
on	on	on
the	the	the
cusp	cusp	cusp
of	of	of
a	a	a
blue	blue	blue
-collar	-collar	-collar
Great	great	Great
Awakening	awaken	Awakening
,	,	,
it	it	it
s	s	s
not	not	not
yet	yet	yet
showing	show	showing
up	up	up
in	in	in
the	the	the
registration	registr	registration
data	data	data
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
Trump	trump	Trump
has	has	ha
all	all	all
this	this	this
support	support	support
from	from	from
this	this	this
major	major	major
demographic	demograph	demographic
that	that	that
could	could	could
deliver	deliv	deliver
him	him	him
to	to	to
a	a	a
landslide	landslid	landslide
victory	victori	victory
but	but	but
they	they	they
aren	aren	aren
t	t	t
registered	regist	registered
.	.	.

These	these	These
missing	miss	missing
